Source,Target,Weight
31,25,72
31,15,29
31,19,3
31,0,87
31,16,8
31,1,23
31,8,3
31,26,26
31,30,27
31,33,1
31,28,52
31,17,20
31,3,79
31,13,67
31,20,37
31,32,1
31,2,118
31,14,50
6,5,156
6,23,110
6,19,4
6,24,178
6,22,197
6,7,304
6,8,17
6,10,127
6,9,193
6,12,99
6,33,12
6,18,160
6,21,60
6,4,98
6,29,13
6,27,83
6,11,145
6,34,2
25,15,83
25,19,2
25,0,235
25,16,27
25,1,78
25,8,10
25,26,87
25,30,76
25,33,9
25,28,165
25,17,67
25,3,231
25,13,177
25,20,102
25,32,2
25,2,292
25,14,161
5,23,78
5,19,3
5,24,139
5,22,153
5,7,245
5,8,6
5,10,73
5,9,125
5,12,72
5,33,9
5,18,120
5,21,40
5,4,68
5,29,6
5,27,63
5,11,73
23,19,2
23,24,126
23,22,132
23,7,213
23,8,7
23,10,78
23,9,95
23,12,54
23,33,7
23,18,103
23,21,28
23,4,60
23,29,12
23,27,47
23,11,86
15,19,2
15,0,95
15,16,21
15,1,26
15,8,1
15,26,37
15,30,27
15,33,4
15,28,67
15,17,25
15,3,92
15,13,88
15,20,59
15,32,1
15,2,127
15,34,2
15,14,78
19,19,1
19,24,5
19,0,4
19,22,3
19,1,1
19,7,8
19,10,3
19,30,2
19,9,1
19,12,1
19,33,2
19,18,2
19,3,3
19,13,4
19,20,1
19,4,1
19,2,5
19,27,2
19,11,8
24,22,233
24,7,347
24,8,7
24,10,113
24,9,215
24,12,109
24,33,4
24,18,168
24,21,68
24,4,90
24,29,12
24,27,63
24,11,128
24,34,1
0,16,22
0,1,70
0,8,10
0,26,103
0,30,74
0,33,12
0,28,222
0,17,81
0,3,269
0,13,186
0,20,138
0,32,2
0,2,365
0,34,3
0,14,193
22,7,429
22,8,13
22,10,122
22,9,254
22,12,125
22,33,5
22,18,211
22,21,63
22,4,80
22,29,13
22,27,69
22,11,160
16,1,6
16,8,2
16,26,14
16,30,8
16,28,17
16,17,10
16,3,30
16,13,29
16,20,27
16,32,1
16,2,38
16,14,28
1,8,3
1,26,25
1,30,19
1,33,4
1,28,60
1,17,24
1,3,66
1,13,61
1,20,40
1,32,1
1,2,103
1,14,54
7,8,28
7,10,186
7,9,363
7,12,171
7,33,13
7,18,307
7,21,109
7,4,130
7,29,24
7,27,125
7,11,233
7,34,1
8,8,6
8,26,4
8,10,7
8,9,9
8,12,5
8,33,1
8,28,14
8,18,15
8,17,1
8,21,4
8,3,15
8,13,4
8,20,8
8,4,2
8,29,1
8,2,13
8,27,9
8,11,12
8,34,1
8,14,3
26,30,29
26,28,80
26,17,25
26,3,103
26,13,80
26,20,44
26,32,1
26,2,136
26,34,1
26,14,75
10,9,135
10,12,64
10,33,5
10,18,90
10,21,36
10,4,63
10,29,18
10,27,44
10,11,82
10,34,2
30,33,1
30,28,56
30,17,21
30,3,70
30,13,57
30,20,46
30,2,89
30,34,1
30,14,50
9,12,102
9,33,2
9,18,187
9,21,58
9,4,71
9,29,18
9,27,64
9,11,135
9,34,1
12,33,5
12,18,85
12,21,33
12,4,42
12,29,12
12,27,58
12,11,69
12,34,2
33,33,1
33,28,3
33,18,9
33,17,2
33,21,3
33,3,3
33,13,7
33,20,9
33,4,8
33,2,7
33,27,2
33,11,6
33,14,7
28,17,57
28,3,210
28,13,146
28,20,98
28,32,2
28,2,280
28,14,149
18,21,50
18,4,69
18,29,9
18,27,46
18,11,113
17,3,98
17,13,70
17,20,49
17,32,1
17,2,109
17,14,94
21,4,26
21,29,3
21,27,19
21,11,35
3,13,188
3,20,136
3,32,1
3,2,387
3,34,1
3,14,179
13,20,133
13,32,5
13,2,233
13,34,3
13,14,157
20,32,2
20,2,183
20,34,2
20,14,120
4,29,15
4,27,34
4,11,60
32,32,10
32,2,4
32,14,2
29,27,7
29,11,10
2,34,3
2,14,246
27,11,44
11,34,4
