Source,Target,Weight
31,25,131
31,15,44
31,19,1
31,0,162
31,16,16
31,1,50
31,8,3
31,26,42
31,30,36
31,33,2
31,28,89
31,17,39
31,3,145
31,13,89
31,20,53
31,32,2
31,2,228
31,34,1
31,14,109
6,5,267
6,23,243
6,19,4
6,24,340
6,22,451
6,7,656
6,8,25
6,10,239
6,9,414
6,12,188
6,33,6
6,18,330
6,21,103
6,4,153
6,32,2
6,29,29
6,27,154
6,11,290
6,34,4
25,15,114
25,19,5
25,0,351
25,16,26
25,1,100
25,8,11
25,26,144
25,30,109
25,33,9
25,28,253
25,17,108
25,3,341
25,13,240
25,20,140
25,32,5
25,2,488
25,34,2
25,14,233
5,23,138
5,19,3
5,24,222
5,22,310
5,7,410
5,8,10
5,10,154
5,9,260
5,12,124
5,33,6
5,18,204
5,21,68
5,4,97
5,32,1
5,29,20
5,27,99
5,11,159
23,19,3
23,24,249
23,22,312
23,7,445
23,8,16
23,10,119
23,9,231
23,12,118
23,33,4
23,18,172
23,21,54
23,4,106
23,32,1
23,29,14
23,27,87
23,11,169
23,34,1
15,19,2
15,0,154
15,16,26
15,1,45
15,8,5
15,26,64
15,30,37
15,33,1
15,28,100
15,17,40
15,3,152
15,13,109
15,20,87
15,32,2
15,2,198
15,34,2
15,14,91
19,19,1
19,24,4
19,0,7
19,22,3
19,16,2
19,1,3
19,7,4
19,8,2
19,26,3
19,30,2
19,9,3
19,12,2
19,28,2
19,18,3
19,17,3
19,21,4
19,3,6
19,13,1
19,20,3
19,4,2
19,2,3
19,27,1
19,11,4
19,34,4
19,14,3
24,22,557
24,7,717
24,8,10
24,10,249
24,9,432
24,12,198
24,33,9
24,18,290
24,21,98
24,4,130
24,32,2
24,29,17
24,27,127
24,11,251
24,34,1
0,16,44
0,1,133
0,8,12
0,26,161
0,30,115
0,33,9
0,28,339
0,17,135
0,3,466
0,13,285
0,20,216
0,32,6
0,2,715
0,34,5
0,14,346
22,7,1027
22,8,34
22,10,259
22,9,617
22,12,228
22,33,14
22,18,429
22,21,129
22,4,165
22,32,4
22,29,24
22,27,144
22,11,402
22,34,3
16,1,20
16,8,2
16,26,21
16,30,10
16,28,27
16,17,11
16,3,40
16,13,36
16,20,32
16,32,1
16,2,59
16,34,2
16,14,25
1,8,4
1,26,53
1,30,31
1,33,7
1,28,101
1,17,37
1,3,112
1,13,90
1,20,62
1,32,1
1,2,193
1,34,2
1,14,89
7,8,39
7,10,373
7,9,825
7,12,347
7,33,15
7,18,593
7,21,182
7,4,253
7,32,4
7,29,35
7,27,224
7,11,546
7,34,3
8,8,10
8,26,6
8,10,10
8,30,5
8,9,17
8,12,7
8,33,3
8,28,9
8,18,14
8,17,2
8,21,8
8,3,14
8,13,10
8,20,13
8,4,11
8,2,17
8,27,6
8,11,16
8,34,2
8,14,1
26,30,64
26,33,6
26,28,117
26,17,45
26,3,201
26,13,132
26,20,82
26,32,4
26,2,240
26,34,1
26,14,133
10,9,242
10,12,142
10,33,9
10,18,165
10,21,52
10,4,115
10,32,3
10,29,12
10,27,97
10,11,133
10,34,2
30,33,1
30,28,62
30,17,45
30,3,118
30,13,91
30,20,58
30,32,3
30,2,179
30,34,1
30,14,97
9,12,194
9,33,10
9,18,351
9,21,115
9,4,150
9,32,5
9,29,21
9,27,133
9,11,301
9,34,2
12,33,5
12,18,154
12,21,50
12,4,98
12,32,3
12,29,13
12,27,111
12,11,141
12,34,1
33,33,1
33,28,8
33,18,5
33,17,1
33,21,3
33,3,5
33,13,4
33,20,2
33,4,13
33,2,10
33,27,5
33,11,6
33,14,4
28,17,100
28,3,317
28,13,195
28,20,135
28,32,10
28,2,467
28,34,3
28,14,213
18,21,85
18,4,122
18,32,2
18,29,14
18,27,123
18,11,232
18,34,2
17,3,164
17,13,91
17,20,54
17,32,3
17,2,202
17,14,183
21,4,43
21,29,5
21,27,30
21,11,57
21,34,1
3,13,260
3,20,176
3,32,7
3,2,661
3,34,9
3,14,298
13,20,161
13,32,5
13,2,400
13,34,5
13,14,225
20,32,7
20,2,283
20,34,5
20,14,143
4,32,5
4,29,13
4,27,68
4,11,98
4,34,3
32,2,7
32,11,2
32,34,2
32,14,1
29,27,16
29,11,14
29,34,1
2,34,6
2,14,489
27,11,97
27,34,1
11,34,2
34,34,2
34,14,3
