Source,Target,Weight
31,25,220
31,15,68
31,19,4
31,0,277
31,16,21
31,1,73
31,8,6
31,26,98
31,30,86
31,33,5
31,28,189
31,17,39
31,3,197
31,13,161
31,20,87
31,32,1
31,2,386
31,34,3
31,14,110
6,5,445
6,23,342
6,19,6
6,24,557
6,22,648
6,7,1041
6,8,33
6,10,448
6,9,598
6,12,318
6,33,22
6,18,462
6,21,150
6,4,225
6,32,9
6,29,32
6,27,185
6,11,480
6,34,8
25,15,156
25,19,11
25,0,648
25,16,62
25,1,189
25,8,16
25,26,288
25,30,216
25,33,13
25,28,494
25,17,145
25,3,512
25,13,422
25,20,208
25,32,2
25,2,847
25,34,11
25,14,271
5,23,292
5,19,9
5,24,440
5,22,492
5,7,817
5,8,27
5,10,284
5,9,432
5,12,237
5,33,9
5,18,313
5,21,135
5,4,156
5,32,4
5,29,22
5,27,160
5,11,347
5,34,6
23,19,2
23,24,370
23,22,433
23,7,692
23,8,18
23,10,240
23,9,363
23,12,196
23,33,10
23,18,294
23,21,89
23,4,144
23,32,3
23,29,20
23,27,125
23,11,300
23,34,7
15,19,2
15,0,195
15,16,22
15,1,54
15,8,10
15,26,97
15,30,65
15,33,4
15,28,145
15,17,48
15,3,151
15,13,137
15,20,82
15,32,1
15,2,256
15,34,3
15,14,82
19,19,1
19,24,3
19,0,12
19,22,7
19,16,1
19,1,1
19,7,15
19,8,1
19,26,5
19,10,10
19,30,2
19,9,6
19,12,3
19,33,1
19,28,12
19,18,4
19,17,4
19,3,6
19,13,10
19,20,11
19,4,4
19,29,2
19,2,13
19,27,3
19,11,3
19,34,1
19,14,3
24,22,743
24,7,1112
24,8,26
24,10,372
24,9,611
24,12,309
24,33,18
24,18,508
24,21,159
24,4,186
24,32,5
24,29,29
24,27,184
24,11,466
24,34,6
0,16,66
0,1,269
0,8,19
0,26,355
0,30,264
0,33,10
0,28,715
0,17,169
0,3,675
0,13,487
0,20,289
0,32,1
0,2,1173
0,34,16
0,14,345
22,7,1493
22,8,43
22,10,419
22,9,813
22,12,314
22,33,23
22,18,640
22,21,184
22,4,208
22,32,3
22,29,26
22,27,192
22,11,673
22,34,7
16,1,21
16,8,4
16,26,36
16,30,32
16,28,48
16,17,16
16,3,50
16,13,62
16,20,31
16,2,105
16,34,2
16,14,40
1,8,3
1,26,84
1,30,67
1,33,7
1,28,193
1,17,30
1,3,180
1,13,143
1,20,79
1,32,1
1,2,364
1,34,5
1,14,88
7,8,63
7,10,722
7,9,1195
7,12,548
7,33,30
7,18,942
7,21,285
7,4,344
7,32,11
7,29,61
7,27,357
7,11,1016
7,34,15
8,8,26
8,26,4
8,10,26
8,30,4
8,9,22
8,12,9
8,33,7
8,28,16
8,18,31
8,17,5
8,21,5
8,3,15
8,13,12
8,20,13
8,4,10
8,29,2
8,2,23
8,27,10
8,11,25
8,34,5
8,14,8
26,30,124
26,33,8
26,28,263
26,17,73
26,3,240
26,13,221
26,20,112
26,32,1
26,2,458
26,34,10
26,14,135
10,9,435
10,12,213
10,33,12
10,18,337
10,21,120
10,4,177
10,32,4
10,29,22
10,27,146
10,11,314
10,34,5
30,33,2
30,28,238
30,17,47
30,3,224
30,13,155
30,20,112
30,2,365
30,34,5
30,14,116
9,12,303
9,33,18
9,18,512
9,21,155
9,4,171
9,32,7
9,29,23
9,27,181
9,11,515
9,34,5
12,33,5
12,18,262
12,21,84
12,4,130
12,32,3
12,29,26
12,27,155
12,11,233
12,34,5
33,33,2
33,28,15
33,18,10
33,17,3
33,21,5
33,3,8
33,13,7
33,20,5
33,4,7
33,32,1
33,29,2
33,2,19
33,27,5
33,11,9
33,14,4
28,17,140
28,3,513
28,13,387
28,20,225
28,32,2
28,2,941
28,34,11
28,14,295
18,21,130
18,4,153
18,32,6
18,29,25
18,27,139
18,11,428
18,34,7
17,3,166
17,13,102
17,20,62
17,32,2
17,2,242
17,34,4
17,14,137
21,4,55
21,32,1
21,29,13
21,27,56
21,11,129
21,34,2
3,13,360
3,20,227
3,2,862
3,34,13
3,14,223
13,20,221
13,32,1
13,2,621
13,34,8
13,14,247
20,2,394
20,34,6
20,14,135
4,32,1
4,29,22
4,27,95
4,11,179
4,34,3
32,2,2
32,27,1
32,11,3
32,34,1
29,27,8
29,11,23
2,34,22
2,14,500
27,11,162
27,34,2
11,34,8
34,34,3
34,14,4
