Source,Target,Weight
31,25,112
31,15,41
31,19,1
31,0,154
31,16,10
31,1,48
31,8,3
31,26,64
31,30,44
31,33,3
31,28,119
31,17,30
31,3,117
31,13,95
31,20,60
31,32,1
31,2,210
31,14,57
6,5,251
6,23,211
6,19,6
6,24,279
6,22,313
6,7,527
6,8,20
6,10,288
6,9,328
6,12,204
6,33,5
6,18,258
6,21,85
6,4,149
6,32,3
6,29,24
6,27,121
6,11,250
6,34,5
25,15,118
25,19,2
25,0,347
25,16,43
25,1,101
25,8,13
25,26,169
25,30,139
25,33,8
25,28,297
25,17,97
25,3,281
25,13,279
25,20,166
25,32,4
25,2,485
25,34,6
25,14,156
5,23,149
5,19,3
5,24,232
5,22,231
5,7,379
5,8,9
5,10,204
5,9,224
5,12,154
5,33,5
5,18,195
5,21,57
5,4,121
5,32,2
5,29,24
5,27,98
5,11,181
5,34,3
23,19,1
23,24,204
23,22,198
23,7,308
23,8,11
23,10,155
23,9,181
23,12,107
23,33,7
23,18,147
23,21,55
23,4,106
23,32,1
23,29,15
23,27,77
23,11,151
15,0,124
15,16,35
15,1,47
15,8,5
15,26,62
15,30,41
15,33,2
15,28,107
15,17,46
15,3,117
15,13,117
15,20,73
15,32,1
15,2,181
15,34,3
15,14,68
19,19,10
19,24,3
19,0,2
19,22,4
19,1,1
19,7,4
19,8,4
19,10,8
19,30,2
19,9,5
19,12,3
19,28,2
19,18,3
19,21,3
19,4,2
19,29,1
19,2,4
19,27,1
19,11,3
24,22,297
24,7,499
24,8,9
24,10,217
24,9,270
24,12,168
24,33,6
24,18,225
24,21,95
24,4,122
24,32,4
24,29,16
24,27,87
24,11,212
24,34,2
0,16,32
0,1,128
0,8,14
0,26,187
0,30,145
0,33,9
0,28,365
0,17,95
0,3,338
0,13,278
0,20,188
0,32,1
0,2,603
0,34,10
0,14,206
22,7,589
22,8,24
22,10,217
22,9,324
22,12,149
22,33,8
22,18,260
22,21,83
22,4,126
22,32,2
22,29,23
22,27,94
22,11,259
22,34,2
16,1,13
16,8,1
16,26,15
16,30,13
16,33,2
16,28,41
16,17,9
16,3,29
16,13,51
16,20,29
16,32,2
16,2,52
16,34,2
16,14,22
1,8,2
1,26,60
1,30,42
1,33,2
1,28,92
1,17,28
1,3,97
1,13,94
1,20,52
1,32,5
1,2,190
1,34,7
1,14,46
7,8,21
7,10,396
7,9,503
7,12,284
7,33,15
7,18,418
7,21,159
7,4,215
7,32,6
7,29,34
7,27,197
7,11,393
7,34,7
8,8,31
8,26,7
8,10,9
8,30,4
8,9,16
8,12,4
8,33,10
8,28,6
8,18,7
8,17,3
8,21,7
8,3,9
8,13,10
8,20,9
8,4,6
8,32,4
8,29,2
8,2,19
8,27,10
8,11,14
8,34,14
8,14,6
26,30,68
26,33,4
26,28,126
26,17,43
26,3,150
26,13,137
26,20,93
26,32,2
26,2,258
26,34,2
26,14,83
10,9,219
10,12,135
10,33,6
10,18,192
10,21,64
10,4,114
10,32,2
10,29,18
10,27,93
10,11,163
10,34,5
30,33,2
30,28,135
30,17,39
30,3,117
30,13,121
30,20,93
30,2,204
30,34,3
30,14,62
9,12,146
9,33,5
9,18,211
9,21,86
9,4,126
9,32,2
9,29,11
9,27,92
9,11,219
9,34,2
12,33,6
12,18,136
12,21,46
12,4,89
12,32,4
12,29,11
12,27,76
12,11,120
33,33,6
33,28,7
33,18,5
33,17,2
33,21,3
33,3,8
33,13,7
33,20,6
33,4,2
33,32,1
33,2,14
33,27,3
33,11,9
33,34,1
33,14,8
28,17,77
28,3,266
28,13,263
28,20,140
28,32,3
28,2,486
28,34,7
28,14,169
18,21,81
18,4,114
18,32,3
18,29,26
18,27,104
18,11,201
18,34,4
17,3,87
17,13,93
17,20,47
17,32,3
17,2,146
17,34,1
17,14,89
21,4,40
21,32,1
21,29,7
21,27,25
21,11,62
3,13,230
3,20,146
3,32,2
3,2,456
3,34,6
3,14,134
13,20,178
13,32,4
13,2,410
13,34,7
13,14,184
20,32,1
20,2,244
20,34,4
20,14,119
4,32,2
4,29,15
4,27,54
4,11,129
4,34,1
32,29,1
32,2,5
32,27,2
32,11,1
32,34,3
32,14,3
29,27,5
29,11,20
2,34,13
2,14,267
27,11,89
27,34,1
11,34,1
34,34,12
34,14,6
