Source,Target,Weight
31,25,83
31,15,33
31,0,95
31,16,13
31,1,30
31,8,1
31,26,42
31,30,37
31,33,2
31,28,63
31,17,44
31,3,86
31,13,92
31,20,37
31,32,2
31,2,113
31,34,6
31,14,90
6,5,150
6,23,115
6,19,2
6,24,148
6,22,171
6,7,226
6,8,8
6,10,113
6,9,156
6,12,115
6,33,9
6,18,154
6,21,54
6,4,91
6,32,2
6,29,17
6,27,66
6,11,149
6,34,2
25,15,78
25,19,3
25,0,219
25,16,34
25,1,75
25,8,5
25,26,113
25,30,95
25,33,8
25,28,175
25,17,97
25,3,215
25,13,238
25,20,114
25,32,2
25,2,289
25,34,7
25,14,222
5,23,89
5,19,3
5,24,127
5,22,142
5,7,188
5,8,6
5,10,105
5,9,129
5,12,98
5,33,8
5,18,115
5,21,47
5,4,83
5,32,2
5,29,13
5,27,59
5,11,96
23,19,2
23,24,108
23,22,102
23,7,152
23,8,7
23,10,73
23,9,97
23,12,76
23,33,5
23,18,83
23,21,29
23,4,57
23,32,1
23,29,15
23,27,59
23,11,106
23,34,1
15,19,3
15,0,86
15,16,31
15,1,23
15,8,4
15,26,43
15,30,45
15,33,2
15,28,72
15,17,60
15,3,88
15,13,106
15,20,65
15,2,118
15,34,4
15,14,117
19,19,9
19,24,2
19,0,3
19,22,4
19,16,1
19,7,4
19,8,3
19,26,2
19,10,4
19,30,1
19,9,4
19,12,4
19,33,2
19,28,2
19,18,2
19,17,1
19,3,3
19,13,7
19,20,6
19,4,1
19,2,3
19,27,2
19,11,3
19,34,10
19,14,3
24,22,171
24,7,227
24,8,3
24,10,100
24,9,146
24,12,118
24,33,5
24,18,132
24,21,38
24,4,66
24,32,4
24,29,18
24,27,67
24,11,109
24,34,3
0,16,31
0,1,78
0,8,9
0,26,114
0,30,84
0,33,10
0,28,200
0,17,115
0,3,222
0,13,252
0,20,132
0,32,4
0,2,330
0,34,3
0,14,247
22,7,296
22,8,11
22,10,121
22,9,184
22,12,120
22,33,6
22,18,170
22,21,56
22,4,75
22,32,1
22,29,14
22,27,59
22,11,131
22,34,2
16,1,14
16,8,2
16,26,17
16,30,21
16,33,2
16,28,25
16,17,16
16,3,33
16,13,57
16,20,28
16,32,1
16,2,42
16,14,50
1,8,1
1,26,42
1,30,32
1,33,3
1,28,51
1,17,46
1,3,70
1,13,71
1,20,40
1,32,2
1,2,95
1,34,1
1,14,76
7,8,10
7,10,156
7,9,234
7,12,168
7,33,8
7,18,202
7,21,67
7,4,111
7,32,2
7,29,28
7,27,79
7,11,192
7,34,5
8,8,6
8,26,3
8,10,6
8,30,5
8,9,11
8,12,7
8,33,6
8,28,7
8,18,13
8,17,4
8,21,2
8,3,7
8,13,10
8,20,4
8,4,3
8,32,2
8,29,1
8,2,12
8,27,5
8,11,11
8,34,2
8,14,11
26,30,42
26,33,3
26,28,84
26,17,47
26,3,104
26,13,121
26,20,64
26,2,135
26,14,117
10,9,96
10,12,91
10,33,10
10,18,95
10,21,27
10,4,68
10,32,3
10,29,13
10,27,48
10,11,95
10,34,1
30,33,3
30,28,73
30,17,44
30,3,94
30,13,115
30,20,60
30,32,2
30,2,113
30,34,4
30,14,93
9,12,117
9,33,7
9,18,149
9,21,49
9,4,70
9,32,3
9,29,9
9,27,57
9,11,125
9,34,2
12,33,6
12,18,110
12,21,26
12,4,69
12,29,15
12,27,57
12,11,83
12,34,1
33,33,6
33,28,4
33,18,4
33,17,1
33,21,3
33,3,1
33,13,9
33,20,3
33,4,5
33,32,1
33,29,1
33,2,9
33,27,3
33,11,7
33,14,7
28,17,103
28,3,179
28,13,197
28,20,114
28,32,1
28,2,261
28,34,7
28,14,191
18,21,43
18,4,67
18,29,9
18,27,53
18,11,119
17,3,139
17,13,116
17,20,55
17,32,1
17,2,170
17,34,2
17,14,212
21,4,31
21,32,2
21,29,6
21,27,17
21,11,38
21,34,1
3,13,221
3,20,111
3,32,3
3,2,296
3,34,9
3,14,197
13,20,164
13,32,3
13,2,285
13,34,9
13,14,255
20,32,3
20,2,143
20,34,2
20,14,117
4,29,13
4,27,38
4,11,67
4,34,2
32,29,1
32,2,6
32,34,1
32,14,4
29,27,10
29,11,13
2,34,10
2,14,373
27,11,58
27,34,2
34,34,2
34,14,4
