Source,Target,Weight
31,25,66
31,15,28
31,19,2
31,0,56
31,16,8
31,1,17
31,8,2
31,26,31
31,30,25
31,33,2
31,28,45
31,17,52
31,3,65
31,13,65
31,20,37
31,32,1
31,2,90
31,14,75
6,5,114
6,23,79
6,19,6
6,24,94
6,22,125
6,7,187
6,8,12
6,10,118
6,9,107
6,12,96
6,33,4
6,18,93
6,21,37
6,4,70
6,32,2
6,29,17
6,27,56
6,11,91
6,34,1
25,15,70
25,19,2
25,0,198
25,16,23
25,1,64
25,8,4
25,26,99
25,30,82
25,33,5
25,28,141
25,17,110
25,3,176
25,13,209
25,20,117
25,32,3
25,2,256
25,34,5
25,14,204
5,23,76
5,19,1
5,24,99
5,22,107
5,7,149
5,8,8
5,10,72
5,9,91
5,12,61
5,33,2
5,18,68
5,21,37
5,4,62
5,32,1
5,29,7
5,27,59
5,11,58
5,34,2
23,19,1
23,24,52
23,22,62
23,7,105
23,8,4
23,10,52
23,9,43
23,12,51
23,33,3
23,18,44
23,21,21
23,4,42
23,32,2
23,29,5
23,27,33
23,11,42
23,34,1
15,0,71
15,16,14
15,1,19
15,8,4
15,26,30
15,30,26
15,33,1
15,28,47
15,17,57
15,3,65
15,13,74
15,20,55
15,2,107
15,34,3
15,14,97
19,19,6
19,24,2
19,0,2
19,22,3
19,16,1
19,1,2
19,7,5
19,8,1
19,26,3
19,30,2
19,9,3
19,12,1
19,33,4
19,28,4
19,18,2
19,17,2
19,3,2
19,20,1
19,4,1
19,29,1
19,2,3
19,27,2
19,11,3
19,14,3
24,22,93
24,7,143
24,8,5
24,10,67
24,9,83
24,12,70
24,33,1
24,18,64
24,21,35
24,4,54
24,32,2
24,29,9
24,27,47
24,11,59
0,16,18
0,1,52
0,8,6
0,26,79
0,30,101
0,33,3
0,28,159
0,17,120
0,3,194
0,13,196
0,20,128
0,32,2
0,2,269
0,34,3
0,14,256
22,7,183
22,8,13
22,10,79
22,9,101
22,12,69
22,33,5
22,18,98
22,21,35
22,4,36
22,32,3
22,29,9
22,27,54
22,11,76
22,34,1
16,1,9
16,26,8
16,30,12
16,28,20
16,17,15
16,3,27
16,13,32
16,20,21
16,2,36
16,14,31
1,8,2
1,26,25
1,30,23
1,33,3
1,28,37
1,17,37
1,3,57
1,13,63
1,20,36
1,32,2
1,2,85
1,14,55
7,8,12
7,10,119
7,9,158
7,12,103
7,33,6
7,18,129
7,21,57
7,4,88
7,32,2
7,29,20
7,27,78
7,11,110
7,34,2
8,8,3
8,26,2
8,10,4
8,30,1
8,9,3
8,12,1
8,28,3
8,18,4
8,17,2
8,21,1
8,3,3
8,13,4
8,20,4
8,4,1
8,2,8
8,27,3
8,11,5
8,14,6
26,30,38
26,33,6
26,28,78
26,17,51
26,3,102
26,13,95
26,20,54
26,32,1
26,2,137
26,34,2
26,14,79
10,9,73
10,12,61
10,33,5
10,18,62
10,21,24
10,4,51
10,32,2
10,29,11
10,27,39
10,11,61
10,34,1
30,33,1
30,28,66
30,17,66
30,3,95
30,13,93
30,20,58
30,2,112
30,34,4
30,14,97
9,12,53
9,33,4
9,18,81
9,21,35
9,4,47
9,32,1
9,29,6
9,27,50
9,11,72
12,33,3
12,18,57
12,21,23
12,4,38
12,32,1
12,29,6
12,27,51
12,11,41
33,28,4
33,18,5
33,17,2
33,21,1
33,3,4
33,13,9
33,20,6
33,4,7
33,32,1
33,29,1
33,2,8
33,27,3
33,11,2
33,34,1
33,14,6
28,17,97
28,3,132
28,13,140
28,20,127
28,2,213
28,34,1
28,14,160
18,21,30
18,4,46
18,29,9
18,27,44
18,11,65
17,3,148
17,13,139
17,20,102
17,2,173
17,34,3
17,14,236
21,4,11
21,32,1
21,29,3
21,27,12
21,11,24
3,13,199
3,20,122
3,32,2
3,2,260
3,34,2
3,14,160
13,20,171
13,32,5
13,2,258
13,34,4
13,14,236
20,32,1
20,2,173
20,14,155
4,32,1
4,29,10
4,27,35
4,11,49
4,34,1
32,2,2
32,11,2
32,14,3
29,27,7
29,11,6
2,34,4
2,14,300
27,11,38
27,34,1
11,34,2
34,14,6
