Source,Target,Weight
31,25,180
31,15,90
31,19,3
31,0,259
31,16,18
31,1,59
31,8,9
31,26,99
31,30,69
31,33,5
31,28,151
31,17,248
31,3,285
31,13,164
31,20,124
31,32,2
31,2,341
31,34,2
31,14,359
6,5,536
6,23,270
6,19,9
6,24,407
6,22,824
6,7,808
6,8,32
6,10,319
6,9,493
6,12,371
6,33,23
6,18,329
6,21,142
6,4,201
6,32,6
6,29,41
6,27,168
6,11,307
6,34,10
25,15,179
25,19,10
25,0,714
25,16,62
25,1,205
25,8,20
25,26,254
25,30,169
25,33,11
25,28,425
25,17,562
25,3,673
25,13,470
25,20,264
25,32,5
25,2,828
25,34,8
25,14,859
5,23,356
5,19,10
5,24,628
5,22,1252
5,7,1140
5,8,24
5,10,349
5,9,683
5,12,568
5,33,15
5,18,483
5,21,195
5,4,219
5,32,3
5,29,48
5,27,191
5,11,363
5,34,8
23,19,5
23,24,310
23,22,574
23,7,562
23,8,8
23,10,181
23,9,320
23,12,253
23,33,15
23,18,225
23,21,84
23,4,113
23,32,4
23,29,19
23,27,93
23,11,178
23,34,7
15,19,4
15,0,258
15,16,41
15,1,75
15,8,9
15,26,102
15,30,84
15,33,6
15,28,163
15,17,336
15,3,280
15,13,186
15,20,177
15,32,1
15,2,305
15,34,1
15,14,451
19,19,1
19,24,5
19,0,17
19,22,8
19,1,3
19,7,17
19,8,3
19,26,4
19,10,4
19,30,2
19,9,8
19,12,4
19,33,2
19,28,11
19,18,6
19,17,5
19,21,6
19,3,14
19,13,10
19,20,6
19,4,5
19,32,1
19,2,15
19,27,6
19,11,5
19,34,2
19,14,12
24,22,1042
24,7,969
24,8,19
24,10,266
24,9,567
24,12,440
24,33,13
24,18,370
24,21,157
24,4,170
24,32,4
24,29,24
24,27,133
24,11,293
24,34,11
0,16,88
0,1,238
0,8,24
0,26,352
0,30,219
0,33,19
0,28,645
0,17,988
0,3,1007
0,13,615
0,20,455
0,32,11
0,2,1330
0,34,13
0,14,1389
22,7,1919
22,8,37
22,10,532
22,9,1214
22,12,817
22,33,22
22,18,836
22,21,334
22,4,330
22,32,5
22,29,65
22,27,267
22,11,683
22,34,8
16,1,27
16,8,3
16,26,33
16,30,26
16,33,3
16,28,56
16,17,70
16,3,84
16,13,72
16,20,63
16,32,2
16,2,100
16,14,106
1,8,5
1,26,84
1,30,53
1,33,3
1,28,164
1,17,208
1,3,246
1,13,160
1,20,113
1,32,2
1,2,332
1,34,2
1,14,330
7,8,41
7,10,465
7,9,1109
7,12,792
7,33,25
7,18,802
7,21,289
7,4,298
7,32,6
7,29,55
7,27,261
7,11,644
7,34,12
8,8,7
8,26,11
8,10,18
8,30,7
8,9,25
8,12,25
8,33,6
8,28,19
8,18,18
8,17,20
8,21,5
8,3,24
8,13,15
8,20,10
8,4,14
8,32,1
8,2,19
8,27,4
8,11,19
8,34,8
8,14,27
26,30,87
26,33,9
26,28,231
26,17,315
26,3,390
26,13,271
26,20,192
26,32,4
26,2,409
26,34,7
26,14,456
10,10,1
10,9,299
10,12,275
10,33,20
10,18,201
10,21,100
10,4,136
10,32,3
10,29,28
10,27,117
10,11,181
10,34,6
30,33,6
30,28,146
30,17,247
30,3,239
30,13,187
30,20,112
30,32,1
30,2,277
30,34,4
30,14,333
9,12,473
9,33,9
9,18,450
9,21,190
9,4,160
9,32,4
9,29,34
9,27,136
9,11,385
9,34,9
12,12,1
12,33,20
12,18,351
12,21,151
12,4,200
12,32,6
12,29,35
12,27,186
12,11,273
12,34,10
33,33,11
33,28,19
33,18,17
33,17,16
33,21,5
33,3,25
33,13,20
33,20,18
33,4,6
33,32,1
33,2,27
33,27,7
33,11,9
33,34,2
33,14,23
28,17,612
28,3,636
28,13,400
28,20,308
28,32,9
28,2,792
28,34,6
28,14,849
18,21,129
18,4,119
18,32,5
18,29,32
18,27,104
18,11,263
18,34,1
17,17,1
17,3,1157
17,13,551
17,20,537
17,32,11
17,2,1273
17,34,11
17,14,1875
21,21,1
21,4,62
21,32,2
21,29,12
21,27,32
21,11,99
3,13,621
3,20,447
3,32,7
3,2,1320
3,34,12
3,14,1293
13,20,386
13,32,15
13,2,706
13,34,6
13,14,822
20,32,9
20,2,542
20,34,8
20,14,713
4,32,1
4,29,29
4,27,92
4,11,128
4,34,5
32,32,16
32,2,18
32,27,1
32,11,1
32,14,8
29,27,16
29,11,20
29,34,1
2,34,17
2,14,1717
27,11,94
27,34,4
11,34,7
34,34,3
34,14,14
