Source,Target,Weight
31,25,89
31,15,86
31,19,2
31,0,142
31,16,8
31,1,41
31,26,39
31,30,38
31,33,1
31,28,92
31,17,50
31,3,141
31,13,83
31,20,51
31,2,220
31,34,6
31,14,112
6,5,90
6,23,82
6,19,1
6,24,151
6,22,217
6,7,295
6,8,13
6,10,88
6,9,171
6,12,87
6,33,7
6,18,155
6,21,64
6,4,58
6,32,2
6,29,15
6,27,59
6,11,113
6,34,2
25,15,131
25,19,2
25,0,290
25,16,25
25,1,70
25,8,5
25,26,129
25,30,78
25,33,7
25,28,211
25,17,132
25,3,314
25,13,228
25,20,92
25,32,3
25,2,417
25,34,4
25,14,276
5,23,71
5,24,140
5,22,160
5,7,226
5,8,10
5,10,67
5,9,131
5,12,59
5,33,8
5,18,131
5,21,42
5,4,33
5,32,1
5,29,10
5,27,30
5,11,91
5,34,2
23,24,161
23,22,216
23,7,259
23,8,11
23,10,60
23,9,155
23,12,56
23,33,3
23,18,136
23,21,45
23,4,38
23,32,2
23,29,8
23,27,31
23,11,87
23,34,1
15,19,1
15,0,196
15,16,18
15,1,54
15,8,4
15,26,77
15,30,54
15,33,2
15,28,133
15,17,100
15,3,185
15,13,132
15,20,113
15,32,1
15,2,301
15,34,1
15,14,221
19,24,2
19,0,1
19,22,2
19,1,1
19,7,2
19,26,2
19,30,1
19,9,1
19,28,3
19,18,1
19,21,2
19,3,3
19,13,3
19,20,2
19,4,1
19,32,1
19,2,4
19,14,1
24,22,447
24,7,540
24,8,12
24,10,118
24,9,363
24,12,136
24,33,3
24,18,351
24,21,95
24,4,57
24,32,1
24,29,13
24,27,76
24,11,168
24,34,5
0,16,31
0,1,93
0,8,10
0,26,155
0,30,99
0,33,7
0,28,315
0,17,152
0,3,395
0,13,245
0,20,148
0,32,3
0,2,611
0,34,6
0,14,379
22,7,750
22,8,23
22,10,136
22,9,489
22,12,163
22,33,8
22,18,464
22,21,122
22,4,63
22,32,1
22,29,17
22,27,87
22,11,275
22,34,3
16,1,6
16,26,17
16,30,13
16,28,33
16,17,10
16,3,31
16,13,44
16,20,29
16,2,53
16,14,35
1,8,2
1,26,47
1,30,35
1,33,1
1,28,74
1,17,44
1,3,94
1,13,63
1,20,36
1,32,1
1,2,144
1,34,3
1,14,107
7,8,35
7,10,205
7,9,620
7,12,233
7,33,13
7,18,593
7,21,174
7,4,101
7,32,2
7,29,25
7,27,143
7,11,372
7,34,3
8,8,11
8,26,3
8,10,4
8,30,4
8,9,12
8,12,4
8,33,4
8,28,8
8,18,15
8,17,2
8,21,7
8,3,5
8,13,5
8,20,5
8,4,3
8,29,1
8,2,8
8,27,4
8,11,8
8,14,4
26,30,56
26,33,5
26,28,116
26,17,74
26,3,176
26,13,117
26,20,79
26,32,1
26,2,250
26,34,6
26,14,169
10,9,110
10,12,76
10,33,5
10,18,103
10,21,41
10,4,39
10,32,2
10,29,9
10,27,34
10,11,78
10,34,3
30,33,3
30,28,74
30,17,47
30,3,126
30,13,88
30,20,53
30,32,1
30,2,153
30,34,2
30,14,114
9,12,142
9,33,8
9,18,388
9,21,107
9,4,60
9,32,1
9,29,14
9,27,76
9,11,232
9,34,2
12,33,6
12,18,108
12,21,31
12,4,42
12,29,10
12,27,60
12,11,76
12,34,1
33,33,1
33,28,4
33,18,5
33,17,2
33,21,2
33,3,6
33,13,4
33,20,2
33,4,5
33,32,1
33,2,6
33,27,3
33,11,7
33,34,2
33,14,9
28,17,130
28,3,276
28,13,218
28,20,137
28,32,3
28,2,474
28,34,5
28,14,296
18,21,102
18,4,52
18,29,14
18,27,85
18,11,203
18,34,4
17,3,207
17,13,147
17,20,68
17,32,1
17,2,277
17,14,313
21,4,15
21,32,2
21,29,8
21,27,27
21,11,59
3,13,267
3,20,145
3,32,1
3,2,592
3,34,2
3,14,378
13,20,138
13,32,3
13,2,382
13,34,5
13,14,306
20,32,2
20,2,227
20,34,1
20,14,180
4,29,9
4,27,29
4,11,49
4,34,1
32,29,1
32,2,6
32,14,4
29,27,5
29,11,10
2,34,12
2,14,601
27,11,59
27,34,1
11,34,2
34,14,3
