Source,Target,Weight
31,25,211
31,15,86
31,19,2
31,0,298
31,16,21
31,1,77
31,8,15
31,26,97
31,30,71
31,33,5
31,28,214
31,17,104
31,3,421
31,13,183
31,20,84
31,32,5
31,2,464
31,34,5
31,14,275
6,5,494
6,23,348
6,19,13
6,24,636
6,22,964
6,7,1292
6,8,39
6,10,446
6,9,793
6,12,414
6,33,31
6,18,568
6,21,197
6,4,267
6,32,5
6,29,50
6,27,258
6,11,611
6,34,4
25,15,186
25,19,11
25,0,776
25,16,52
25,1,187
25,8,31
25,26,326
25,30,217
25,33,13
25,28,614
25,17,276
25,3,1095
25,13,555
25,20,210
25,32,4
25,2,1162
25,34,12
25,14,712
5,23,316
5,19,5
5,24,506
5,22,664
5,7,968
5,8,23
5,10,296
5,9,602
5,12,347
5,33,15
5,18,429
5,21,136
5,4,198
5,32,2
5,29,35
5,27,200
5,11,386
5,34,6
23,19,4
23,24,447
23,22,621
23,7,868
23,8,21
23,10,208
23,9,462
23,12,243
23,33,12
23,18,342
23,21,97
23,4,163
23,32,2
23,29,26
23,27,142
23,11,402
15,19,3
15,0,233
15,16,43
15,1,62
15,8,5
15,26,102
15,30,94
15,33,2
15,28,184
15,17,98
15,3,366
15,13,190
15,20,114
15,32,5
15,2,393
15,34,4
15,14,274
19,24,9
19,0,4
19,22,13
19,16,1
19,1,3
19,7,19
19,8,3
19,26,3
19,10,2
19,9,8
19,12,5
19,33,5
19,28,10
19,18,6
19,17,5
19,21,5
19,3,13
19,13,12
19,20,6
19,4,2
19,32,4
19,29,2
19,2,15
19,27,3
19,11,10
19,34,1
19,14,6
24,22,1159
24,7,1545
24,8,37
24,10,383
24,9,950
24,12,465
24,33,24
24,18,674
24,21,175
24,4,258
24,32,5
24,29,41
24,27,237
24,11,674
24,34,6
0,16,53
0,1,261
0,8,29
0,26,389
0,30,255
0,33,17
0,28,878
0,17,328
0,3,1479
0,13,662
0,20,291
0,32,11
0,2,1684
0,34,17
0,14,1038
22,7,2297
22,8,62
22,10,491
22,9,1410
22,12,574
22,33,31
22,18,1077
22,21,256
22,4,292
22,32,7
22,29,47
22,27,308
22,11,1137
22,34,10
16,1,16
16,8,2
16,26,35
16,30,26
16,28,57
16,17,25
16,3,101
16,13,71
16,20,40
16,2,96
16,34,2
16,14,69
1,8,10
1,26,110
1,30,67
1,33,9
1,28,219
1,17,92
1,3,363
1,13,188
1,20,90
1,32,3
1,2,435
1,34,6
1,14,232
7,8,96
7,10,730
7,9,1855
7,12,832
7,33,42
7,18,1412
7,21,374
7,4,441
7,32,8
7,29,62
7,27,443
7,11,1442
7,34,12
8,8,20
8,26,16
8,10,19
8,30,8
8,9,42
8,12,23
8,33,15
8,28,29
8,18,41
8,17,6
8,21,9
8,3,40
8,13,21
8,20,13
8,4,12
8,32,2
8,29,2
8,2,56
8,27,10
8,11,41
8,34,2
8,14,15
26,30,127
26,33,6
26,28,333
26,17,166
26,3,644
26,13,300
26,20,154
26,32,4
26,2,637
26,34,5
26,14,420
10,9,449
10,12,272
10,33,14
10,18,353
10,21,110
10,4,176
10,32,3
10,29,32
10,27,183
10,11,333
10,34,5
30,33,7
30,28,198
30,17,111
30,3,385
30,13,236
30,20,114
30,32,4
30,2,423
30,34,7
30,14,277
9,12,500
9,33,22
9,18,849
9,21,215
9,4,258
9,32,5
9,29,39
9,27,260
9,11,904
9,34,8
12,33,18
12,18,384
12,21,104
12,4,196
12,32,1
12,29,33
12,27,212
12,11,362
12,34,4
33,33,7
33,28,18
33,18,20
33,17,5
33,21,10
33,3,22
33,13,13
33,20,6
33,4,8
33,32,7
33,29,2
33,2,31
33,27,10
33,11,23
33,34,4
33,14,16
28,17,302
28,3,1137
28,13,563
28,20,268
28,32,9
28,2,1336
28,34,20
28,14,778
18,21,162
18,4,188
18,32,6
18,29,39
18,27,189
18,11,688
18,34,6
17,3,605
17,13,328
17,20,142
17,32,3
17,2,591
17,34,4
17,14,571
21,4,58
21,32,2
21,29,13
21,27,54
21,11,156
21,34,4
3,13,911
3,20,397
3,32,5
3,2,2261
3,34,27
3,14,1381
13,20,281
13,32,10
13,2,1026
13,34,15
13,14,716
20,32,8
20,2,494
20,34,14
20,14,354
4,32,1
4,29,31
4,27,112
4,11,222
4,34,4
32,32,1
32,29,1
32,2,18
32,27,1
32,11,6
32,34,4
32,14,11
29,27,14
29,11,39
2,34,34
2,14,1592
27,11,221
27,34,1
11,34,8
34,34,2
34,14,17
