Source,Target,Weight
31,25,222
31,15,57
31,19,1
31,0,272
31,16,25
31,1,96
31,8,4
31,26,118
31,30,80
31,33,9
31,28,224
31,17,43
31,3,245
31,13,185
31,20,102
31,32,2
31,2,410
31,34,9
31,14,138
6,5,251
6,23,180
6,19,10
6,24,320
6,22,435
6,7,601
6,8,36
6,10,281
6,9,369
6,12,200
6,33,13
6,18,337
6,21,116
6,4,154
6,32,2
6,29,26
6,27,107
6,11,292
6,34,6
25,15,152
25,19,3
25,0,655
25,16,50
25,1,209
25,8,23
25,26,266
25,30,187
25,33,13
25,28,490
25,17,168
25,3,570
25,13,462
25,20,202
25,32,6
25,2,868
25,34,14
25,14,347
5,23,143
5,19,9
5,24,242
5,22,273
5,7,412
5,8,14
5,10,185
5,9,236
5,12,160
5,33,12
5,18,205
5,21,77
5,4,112
5,32,4
5,29,20
5,27,92
5,11,182
5,34,4
23,19,2
23,24,244
23,22,300
23,7,422
23,8,17
23,10,159
23,9,231
23,12,126
23,33,8
23,18,201
23,21,61
23,4,88
23,32,4
23,29,13
23,27,76
23,11,182
23,34,2
15,19,1
15,0,196
15,16,27
15,1,60
15,8,5
15,26,73
15,30,76
15,33,4
15,28,155
15,17,53
15,3,153
15,13,184
15,20,85
15,32,2
15,2,263
15,34,2
15,14,112
19,19,1
19,24,2
19,0,3
19,22,6
19,7,10
19,8,8
19,26,1
19,10,4
19,30,1
19,9,4
19,12,3
19,33,1
19,28,3
19,18,8
19,3,1
19,13,2
19,20,2
19,4,5
19,2,4
19,27,3
19,11,6
19,34,1
19,14,2
24,22,500
24,7,654
24,8,22
24,10,215
24,9,391
24,12,218
24,33,11
24,18,320
24,21,94
24,4,119
24,32,5
24,29,19
24,27,112
24,11,279
24,34,5
0,16,52
0,1,241
0,8,18
0,26,304
0,30,232
0,33,18
0,28,623
0,17,167
0,3,654
0,13,465
0,20,278
0,32,5
0,2,1087
0,34,13
0,14,403
22,7,961
22,8,46
22,10,289
22,9,561
22,12,224
22,33,15
22,18,467
22,21,137
22,4,140
22,32,2
22,29,19
22,27,122
22,11,442
22,34,5
16,1,25
16,8,2
16,26,23
16,30,23
16,33,4
16,28,59
16,17,14
16,3,56
16,13,64
16,20,41
16,32,1
16,2,77
16,34,1
16,14,36
1,8,8
1,26,91
1,30,63
1,33,7
1,28,179
1,17,49
1,3,207
1,13,168
1,20,70
1,32,3
1,2,362
1,34,5
1,14,118
7,8,53
7,10,449
7,9,767
7,12,338
7,33,20
7,18,652
7,21,203
7,4,211
7,32,6
7,29,26
7,27,189
7,11,552
7,34,8
8,8,12
8,26,10
8,10,11
8,30,7
8,9,28
8,12,16
8,33,5
8,28,21
8,18,28
8,17,4
8,21,5
8,3,21
8,13,12
8,20,5
8,4,10
8,32,3
8,29,1
8,2,27
8,27,8
8,11,23
8,34,2
8,14,9
26,30,80
26,33,5
26,28,249
26,17,66
26,3,253
26,13,215
26,20,109
26,32,2
26,2,422
26,34,7
26,14,163
10,9,265
10,12,157
10,33,11
10,18,198
10,21,79
10,4,116
10,32,3
10,29,15
10,27,91
10,11,176
10,34,6
30,33,7
30,28,174
30,17,57
30,3,197
30,13,186
30,20,116
30,32,1
30,2,313
30,34,4
30,14,115
9,12,209
9,33,18
9,18,371
9,21,137
9,4,120
9,32,4
9,29,16
9,27,90
9,11,338
9,34,6
12,33,6
12,18,162
12,21,54
12,4,95
12,32,3
12,29,9
12,27,106
12,11,140
12,34,4
33,33,3
33,28,9
33,18,8
33,17,3
33,21,2
33,3,14
33,13,19
33,20,9
33,4,6
33,32,3
33,29,1
33,2,22
33,27,4
33,11,15
33,34,3
33,14,4
28,17,136
28,3,510
28,13,411
28,20,251
28,32,7
28,2,869
28,34,9
28,14,325
18,21,94
18,4,108
18,32,4
18,29,22
18,27,101
18,11,295
18,34,4
17,17,1
17,3,176
17,13,155
17,20,88
17,32,2
17,2,267
17,34,5
17,14,163
21,4,46
21,29,7
21,27,31
21,11,77
21,34,1
3,13,437
3,20,254
3,32,3
3,2,892
3,34,9
3,14,286
13,20,258
13,32,6
13,2,628
13,34,15
13,14,331
20,32,3
20,2,415
20,34,12
20,14,165
4,32,1
4,29,19
4,27,64
4,11,107
4,34,3
32,29,1
32,2,10
32,27,1
32,11,4
32,34,1
32,14,3
29,27,9
29,11,17
2,34,17
2,14,562
27,11,82
27,34,3
11,34,2
34,14,4
