Source,Target,Weight
31,25,187
31,15,65
31,19,2
31,0,234
31,16,13
31,1,83
31,8,4
31,26,131
31,30,54
31,33,2
31,28,195
31,17,42
31,3,199
31,13,130
31,20,101
31,2,399
31,34,5
31,14,133
6,5,334
6,23,230
6,19,4
6,24,448
6,22,551
6,7,842
6,8,33
6,10,359
6,9,477
6,12,238
6,33,15
6,18,428
6,21,137
6,4,171
6,32,2
6,29,42
6,27,165
6,11,403
6,34,4
25,15,175
25,19,5
25,0,531
25,16,57
25,1,159
25,8,17
25,26,251
25,30,202
25,33,9
25,28,472
25,17,145
25,3,454
25,13,392
25,20,192
25,32,2
25,2,814
25,34,17
25,14,292
5,23,177
5,19,4
5,24,344
5,22,368
5,7,596
5,8,21
5,10,227
5,9,328
5,12,199
5,33,10
5,18,278
5,21,96
5,4,115
5,32,1
5,29,25
5,27,123
5,11,251
23,19,2
23,24,311
23,22,376
23,7,529
23,8,13
23,10,180
23,9,259
23,12,147
23,33,7
23,18,266
23,21,62
23,4,97
23,32,3
23,29,22
23,27,77
23,11,242
23,34,2
15,19,1
15,0,170
15,16,26
15,1,57
15,8,5
15,26,76
15,30,73
15,33,5
15,28,149
15,17,67
15,3,146
15,13,161
15,20,87
15,32,1
15,2,280
15,34,1
15,14,113
19,24,4
19,0,4
19,22,6
19,16,1
19,1,3
19,7,9
19,8,5
19,26,1
19,10,2
19,30,1
19,9,2
19,12,4
19,33,2
19,28,7
19,18,5
19,17,1
19,3,4
19,13,2
19,20,2
19,4,4
19,2,6
19,11,2
19,14,2
24,22,650
24,7,944
24,8,22
24,10,295
24,9,513
24,12,284
24,33,12
24,18,481
24,21,141
24,4,144
24,32,2
24,29,25
24,27,135
24,11,414
24,34,6
0,16,47
0,1,214
0,8,25
0,26,286
0,30,192
0,33,11
0,28,617
0,17,180
0,3,575
0,13,394
0,20,283
0,32,3
0,2,1049
0,34,20
0,14,423
22,7,1305
22,8,41
22,10,340
22,9,661
22,12,284
22,33,14
22,18,660
22,21,163
22,4,163
22,32,2
22,29,28
22,27,184
22,11,611
22,34,6
16,1,24
16,8,3
16,26,22
16,30,17
16,33,1
16,28,54
16,17,20
16,3,40
16,13,50
16,20,39
16,2,79
16,34,3
16,14,30
1,8,2
1,26,97
1,30,54
1,33,4
1,28,181
1,17,55
1,3,182
1,13,138
1,20,81
1,32,2
1,2,362
1,34,4
1,14,138
7,8,52
7,10,517
7,9,967
7,12,475
7,33,24
7,18,945
7,21,257
7,4,263
7,32,7
7,29,39
7,27,292
7,11,855
7,34,11
8,8,15
8,26,9
8,10,22
8,30,10
8,9,32
8,12,17
8,33,13
8,28,13
8,18,24
8,17,8
8,21,8
8,3,18
8,13,16
8,20,9
8,4,9
8,29,4
8,2,26
8,27,7
8,11,27
8,34,6
8,14,8
26,30,108
26,33,1
26,28,262
26,17,85
26,3,251
26,13,213
26,20,143
26,32,3
26,2,447
26,34,5
26,14,166
10,9,274
10,12,197
10,33,21
10,18,297
10,21,89
10,4,145
10,32,2
10,29,28
10,27,115
10,11,234
10,34,5
30,33,1
30,28,208
30,17,66
30,3,198
30,13,166
30,20,89
30,2,320
30,34,1
30,14,112
9,9,1
9,12,231
9,33,14
9,18,498
9,21,142
9,4,137
9,32,1
9,29,23
9,27,126
9,11,438
9,34,6
12,33,10
12,18,260
12,21,74
12,4,118
12,32,1
12,29,16
12,27,124
12,11,220
12,34,5
33,33,2
33,28,9
33,18,16
33,17,2
33,21,6
33,3,12
33,13,10
33,20,6
33,4,5
33,32,1
33,29,2
33,2,15
33,27,2
33,11,11
33,34,2
33,14,9
28,17,178
28,3,485
28,13,384
28,20,272
28,32,2
28,2,947
28,34,16
28,14,365
18,21,125
18,4,135
18,32,4
18,29,25
18,27,133
18,11,428
18,34,5
17,3,172
17,13,133
17,20,76
17,2,273
17,34,4
17,14,193
21,4,38
21,32,1
21,29,5
21,27,46
21,11,108
21,34,4
3,13,356
3,20,233
3,32,4
3,2,849
3,34,7
3,14,288
13,20,272
13,32,3
13,2,623
13,34,12
13,14,287
20,32,2
20,2,441
20,34,7
20,14,187
4,29,15
4,27,62
4,11,139
4,34,2
32,32,3
32,2,2
32,11,5
32,14,1
29,27,13
29,11,29
2,34,28
2,14,608
27,11,124
11,34,4
34,34,4
34,14,8
