Source,Target,Weight
31,25,209
31,15,65
31,19,1
31,0,288
31,16,22
31,1,78
31,8,8
31,26,95
31,30,77
31,33,5
31,28,161
31,17,241
31,3,263
31,13,182
31,20,118
31,32,8
31,2,395
31,34,1
31,14,388
6,5,661
6,23,344
6,19,7
6,24,519
6,22,981
6,7,1018
6,8,40
6,10,336
6,9,571
6,12,480
6,33,27
6,18,423
6,21,164
6,4,226
6,32,6
6,29,52
6,27,175
6,11,402
6,34,9
25,15,167
25,19,11
25,0,817
25,16,57
25,1,200
25,8,25
25,26,274
25,30,216
25,33,20
25,28,448
25,17,651
25,3,719
25,13,556
25,20,264
25,32,15
25,2,990
25,34,18
25,14,1031
5,5,1
5,23,414
5,19,10
5,24,696
5,22,1342
5,7,1272
5,8,38
5,10,332
5,9,725
5,12,593
5,33,32
5,18,512
5,21,180
5,4,236
5,32,9
5,29,70
5,27,235
5,11,428
5,34,10
23,19,8
23,24,418
23,22,806
23,7,847
23,8,28
23,10,187
23,9,438
23,12,316
23,33,13
23,18,294
23,21,119
23,4,141
23,32,5
23,29,33
23,27,115
23,11,273
23,34,4
15,19,4
15,0,253
15,16,39
15,1,56
15,8,7
15,26,74
15,30,59
15,33,7
15,28,161
15,17,276
15,3,222
15,13,218
15,20,129
15,32,2
15,2,326
15,34,3
15,14,399
19,24,10
19,0,14
19,22,17
19,16,2
19,1,3
19,7,19
19,8,5
19,26,3
19,10,5
19,30,2
19,9,10
19,12,8
19,33,1
19,28,6
19,18,9
19,17,14
19,21,6
19,3,10
19,13,9
19,20,5
19,4,3
19,32,1
19,2,22
19,27,3
19,11,9
19,34,3
19,14,21
24,22,1362
24,7,1330
24,8,33
24,10,269
24,9,762
24,12,563
24,33,26
24,18,476
24,21,190
24,4,203
24,32,3
24,29,39
24,27,167
24,11,414
24,34,11
0,16,52
0,1,292
0,8,32
0,26,351
0,30,297
0,33,29
0,28,716
0,17,1058
0,3,1060
0,13,711
0,20,435
0,32,15
0,2,1650
0,34,22
0,14,1667
22,7,2487
22,8,73
22,10,544
22,9,1446
22,12,982
22,33,51
22,18,1028
22,21,380
22,4,381
22,32,12
22,29,77
22,27,311
22,11,879
22,34,11
16,1,19
16,8,2
16,26,28
16,30,32
16,33,1
16,28,40
16,17,72
16,3,73
16,13,77
16,20,46
16,32,6
16,2,98
16,34,3
16,14,105
1,8,9
1,26,82
1,30,56
1,33,3
1,28,166
1,17,201
1,3,220
1,13,191
1,20,102
1,32,6
1,2,381
1,34,7
1,14,337
7,7,1
7,8,84
7,10,547
7,9,1433
7,12,997
7,33,53
7,18,1027
7,21,374
7,4,388
7,32,12
7,29,69
7,27,322
7,11,910
7,34,13
8,8,24
8,26,9
8,10,13
8,30,6
8,9,27
8,12,33
8,33,9
8,28,22
8,18,31
8,17,27
8,21,9
8,3,28
8,13,18
8,20,15
8,4,17
8,32,16
8,29,5
8,2,48
8,27,7
8,11,23
8,34,6
8,14,40
26,30,129
26,33,9
26,28,230
26,17,320
26,3,328
26,13,242
26,20,170
26,32,9
26,2,480
26,34,3
26,14,497
10,9,323
10,12,295
10,33,15
10,18,222
10,21,82
10,4,143
10,32,5
10,29,31
10,27,113
10,11,203
10,34,6
30,33,6
30,28,178
30,17,242
30,3,251
30,13,219
30,20,120
30,32,10
30,2,363
30,34,4
30,14,363
9,12,514
9,33,28
9,18,566
9,21,202
9,4,206
9,32,11
9,29,42
9,27,159
9,11,496
9,34,10
12,33,16
12,18,371
12,21,141
12,4,206
12,32,9
12,29,49
12,27,233
12,11,348
12,34,2
33,33,2
33,28,15
33,18,20
33,17,28
33,21,9
33,3,35
33,13,24
33,20,16
33,4,14
33,32,1
33,29,1
33,2,38
33,27,15
33,11,21
33,34,5
33,14,36
28,17,598
28,3,577
28,13,458
28,20,275
28,32,15
28,2,935
28,34,9
28,14,945
18,21,148
18,4,180
18,32,5
18,29,28
18,27,139
18,11,339
18,34,4
17,3,1125
17,13,680
17,20,460
17,32,9
17,2,1544
17,34,22
17,14,2058
21,4,60
21,29,15
21,27,46
21,11,127
3,13,648
3,20,386
3,32,5
3,2,1425
3,34,17
3,14,1390
13,20,361
13,32,14
13,2,934
13,34,14
13,14,1031
20,32,7
20,2,548
20,34,5
20,14,710
4,32,2
4,29,26
4,27,99
4,11,168
4,34,4
32,32,8
32,29,2
32,2,21
32,27,7
32,11,4
32,34,2
32,14,18
29,27,22
29,11,31
29,34,1
2,34,29
2,14,2199
27,11,147
27,34,4
11,34,5
34,34,4
34,14,32
