Source,Target,Weight
31,25,59
31,15,40
31,0,83
31,16,4
31,1,37
31,8,5
31,26,41
31,30,32
31,33,6
31,28,49
31,17,30
31,3,64
31,13,75
31,20,45
31,2,110
31,34,1
31,14,62
6,5,110
6,23,93
6,19,3
6,24,135
6,22,158
6,7,252
6,8,8
6,10,126
6,9,146
6,12,108
6,33,17
6,18,148
6,21,63
6,4,99
6,32,2
6,29,23
6,27,83
6,11,124
6,34,2
25,15,89
25,19,3
25,0,211
25,16,18
25,1,75
25,8,6
25,26,76
25,30,69
25,33,9
25,28,133
25,17,110
25,3,173
25,13,188
25,20,101
25,32,3
25,2,246
25,34,2
25,14,175
5,23,60
5,19,4
5,24,99
5,22,89
5,7,170
5,8,9
5,10,71
5,9,91
5,12,74
5,33,5
5,18,87
5,21,47
5,4,46
5,29,14
5,27,45
5,11,80
5,34,4
23,19,2
23,24,100
23,22,99
23,7,169
23,8,9
23,10,59
23,9,94
23,12,59
23,33,7
23,18,88
23,21,34
23,4,43
23,29,10
23,27,40
23,11,78
23,34,2
15,19,2
15,0,93
15,16,19
15,1,26
15,8,4
15,26,40
15,30,46
15,33,3
15,28,61
15,17,53
15,3,85
15,13,89
15,20,66
15,32,3
15,2,120
15,14,83
19,24,4
19,0,3
19,22,3
19,1,1
19,7,10
19,26,1
19,10,3
19,30,1
19,9,5
19,33,1
19,28,4
19,18,4
19,17,1
19,21,1
19,3,1
19,13,3
19,20,3
19,4,1
19,29,1
19,2,2
19,27,1
19,11,4
19,14,2
24,22,156
24,7,258
24,8,10
24,10,83
24,9,153
24,12,104
24,33,4
24,18,146
24,21,63
24,4,63
24,32,1
24,29,16
24,27,65
24,11,109
24,34,3
0,16,26
0,1,66
0,8,10
0,26,101
0,30,86
0,33,8
0,28,175
0,17,126
0,3,210
0,13,210
0,20,136
0,32,4
0,2,320
0,34,4
0,14,199
22,7,283
22,8,13
22,10,99
22,9,168
22,12,87
22,33,9
22,18,158
22,21,61
22,4,67
22,29,17
22,27,60
22,11,111
22,34,2
16,1,8
16,8,1
16,26,21
16,30,12
16,28,16
16,17,4
16,3,21
16,13,28
16,20,26
16,32,1
16,2,25
16,14,19
1,8,4
1,26,25
1,30,25
1,33,4
1,28,62
1,17,35
1,3,50
1,13,63
1,20,38
1,32,1
1,2,101
1,34,2
1,14,55
7,8,15
7,10,180
7,9,270
7,12,169
7,33,15
7,18,243
7,21,117
7,4,111
7,32,2
7,29,23
7,27,133
7,11,201
7,34,5
8,8,22
8,26,8
8,10,14
8,30,2
8,9,9
8,12,7
8,33,4
8,28,8
8,18,11
8,17,1
8,21,2
8,3,4
8,13,13
8,20,8
8,4,11
8,32,1
8,29,1
8,2,12
8,27,9
8,11,5
8,34,2
8,14,8
26,30,42
26,33,4
26,28,67
26,17,46
26,3,99
26,13,97
26,20,77
26,2,128
26,34,2
26,14,74
10,9,101
10,12,73
10,33,10
10,18,96
10,21,42
10,4,61
10,32,1
10,29,14
10,27,49
10,11,88
10,34,1
30,33,3
30,28,68
30,17,40
30,3,83
30,13,80
30,20,60
30,2,118
30,34,4
30,14,67
9,12,100
9,33,9
9,18,139
9,21,67
9,4,63
9,29,8
9,27,65
9,11,113
9,34,2
12,33,5
12,18,87
12,21,32
12,4,60
12,29,12
12,27,62
12,11,84
12,34,1
33,28,5
33,18,8
33,17,5
33,21,2
33,3,7
33,13,12
33,20,3
33,4,4
33,32,1
33,2,11
33,27,5
33,11,7
33,34,3
33,14,9
28,17,85
28,3,129
28,13,146
28,20,109
28,32,3
28,2,224
28,34,3
28,14,133
18,21,56
18,4,61
18,29,9
18,27,74
18,11,98
18,34,3
17,3,135
17,13,121
17,20,68
17,32,3
17,2,156
17,14,194
21,4,26
21,29,9
21,27,35
21,11,40
3,13,184
3,20,108
3,32,2
3,2,278
3,14,166
13,20,131
13,32,1
13,2,282
13,34,1
13,14,196
20,32,2
20,2,180
20,34,2
20,14,143
4,32,3
4,29,15
4,27,35
4,11,67
4,34,2
32,32,3
32,2,1
32,11,2
32,34,2
32,14,5
29,27,9
29,11,13
2,34,3
2,14,259
27,11,61
34,34,1
34,14,3
