Source,Target,Weight
31,25,105
31,15,56
31,19,1
31,0,173
31,16,7
31,1,47
31,8,4
31,26,89
31,30,51
31,33,4
31,28,141
31,17,117
31,3,182
31,13,136
31,20,85
31,32,1
31,2,280
31,34,4
31,14,212
6,5,169
6,23,145
6,19,4
6,24,190
6,22,335
6,7,408
6,8,14
6,10,195
6,9,266
6,12,156
6,33,4
6,18,189
6,21,41
6,4,118
6,32,2
6,29,12
6,27,79
6,11,206
6,34,6
25,15,129
25,19,3
25,0,337
25,16,32
25,1,86
25,8,4
25,26,169
25,30,90
25,33,11
25,28,227
25,17,161
25,3,345
25,13,265
25,20,185
25,32,2
25,2,508
25,34,6
25,14,360
5,23,116
5,19,4
5,24,192
5,22,306
5,7,365
5,8,17
5,10,122
5,9,223
5,12,144
5,33,7
5,18,175
5,21,59
5,4,63
5,32,2
5,29,13
5,27,72
5,11,176
5,34,1
23,19,1
23,24,226
23,22,260
23,7,348
23,8,10
23,10,130
23,9,183
23,12,115
23,33,5
23,18,174
23,21,39
23,4,89
23,32,1
23,29,5
23,27,57
23,11,160
23,34,3
15,19,2
15,0,152
15,16,20
15,1,60
15,8,8
15,26,82
15,30,46
15,28,115
15,17,99
15,3,191
15,13,136
15,20,105
15,32,1
15,2,242
15,34,2
15,14,204
19,19,1
19,24,4
19,0,4
19,22,5
19,7,10
19,8,13
19,26,2
19,10,6
19,30,3
19,9,4
19,12,5
19,33,1
19,28,1
19,18,5
19,21,1
19,3,1
19,13,3
19,20,3
19,4,3
19,32,1
19,29,2
19,2,3
19,27,2
19,11,5
19,34,1
19,14,2
24,22,514
24,7,601
24,8,21
24,10,204
24,9,363
24,12,246
24,33,7
24,18,302
24,21,83
24,4,123
24,29,15
24,27,95
24,11,299
24,34,3
0,16,38
0,1,140
0,8,11
0,26,233
0,30,131
0,33,10
0,28,387
0,17,303
0,3,510
0,13,346
0,20,261
0,32,2
0,2,764
0,34,8
0,14,625
22,7,992
22,8,31
22,10,289
22,9,618
22,12,322
22,33,6
22,18,528
22,21,126
22,4,173
22,32,1
22,29,18
22,27,141
22,11,498
22,34,2
16,1,12
16,8,3
16,26,29
16,30,13
16,28,38
16,17,26
16,3,42
16,13,49
16,20,36
16,32,1
16,2,71
16,34,2
16,14,39
1,8,4
1,26,56
1,30,37
1,33,5
1,28,108
1,17,98
1,3,139
1,13,94
1,20,73
1,2,233
1,34,3
1,14,181
7,8,34
7,10,369
7,9,708
7,12,430
7,33,14
7,18,605
7,21,164
7,4,221
7,32,2
7,29,26
7,27,183
7,11,597
7,34,9
8,8,49
8,26,9
8,10,11
8,30,3
8,9,18
8,12,9
8,33,15
8,28,16
8,18,21
8,17,7
8,21,2
8,3,11
8,13,12
8,20,7
8,4,10
8,32,19
8,29,5
8,2,21
8,27,4
8,11,21
8,34,7
8,14,13
26,30,72
26,33,4
26,28,192
26,17,177
26,3,262
26,13,185
26,20,163
26,32,3
26,2,401
26,34,2
26,14,317
10,9,213
10,12,166
10,33,6
10,18,170
10,21,54
10,4,111
10,29,10
10,27,73
10,11,189
10,34,7
30,33,2
30,28,97
30,17,102
30,3,145
30,13,131
30,20,98
30,32,2
30,2,223
30,34,3
30,14,181
9,12,237
9,33,7
9,18,369
9,21,84
9,4,132
9,32,2
9,29,16
9,27,96
9,11,359
9,34,2
12,33,10
12,18,195
12,21,51
12,4,110
12,32,2
12,29,10
12,27,104
12,11,195
12,34,5
33,33,1
33,28,8
33,18,6
33,17,9
33,21,1
33,3,13
33,13,14
33,20,11
33,4,10
33,32,2
33,2,14
33,27,2
33,11,8
33,34,2
33,14,16
28,17,237
28,3,382
28,13,262
28,20,216
28,32,2
28,2,630
28,34,5
28,14,495
18,21,75
18,4,110
18,32,3
18,29,9
18,27,104
18,11,295
18,34,5
17,3,392
17,13,215
17,20,184
17,2,528
17,34,2
17,14,637
21,4,30
21,29,3
21,27,26
21,11,65
21,34,1
3,13,351
3,20,304
3,32,4
3,2,776
3,34,7
3,14,607
13,20,262
13,32,5
13,2,494
13,34,10
13,14,417
20,32,1
20,2,420
20,34,3
20,14,358
4,32,1
4,29,10
4,27,69
4,11,125
4,34,3
32,32,2
32,2,1
32,27,2
32,11,2
32,34,4
32,14,4
29,27,2
29,11,16
2,34,12
2,14,955
27,11,98
27,34,1
34,34,3
34,14,8
