Source,Target,Weight
31,25,95
31,15,32
31,0,88
31,16,13
31,1,31
31,8,6
31,26,45
31,30,41
31,33,4
31,28,89
31,17,43
31,3,109
31,13,110
31,20,88
31,32,1
31,2,130
31,34,1
31,14,102
6,5,120
6,23,116
6,19,4
6,24,124
6,22,188
6,7,254
6,8,14
6,10,130
6,9,153
6,12,132
6,33,17
6,18,123
6,21,51
6,4,127
6,32,4
6,29,19
6,27,84
6,11,142
6,34,4
25,15,70
25,19,9
25,0,207
25,16,26
25,1,76
25,8,13
25,26,107
25,30,82
25,33,10
25,28,186
25,17,83
25,3,228
25,13,268
25,20,189
25,32,2
25,2,287
25,34,3
25,14,228
5,23,66
5,19,2
5,24,66
5,22,104
5,7,160
5,8,11
5,10,70
5,9,102
5,12,72
5,33,8
5,18,69
5,21,37
5,4,58
5,32,2
5,29,9
5,27,39
5,11,67
23,19,3
23,24,71
23,22,86
23,7,137
23,8,5
23,10,77
23,9,79
23,12,64
23,33,7
23,18,72
23,21,27
23,4,55
23,32,4
23,29,10
23,27,36
23,11,65
23,34,1
15,19,4
15,0,78
15,16,17
15,1,15
15,8,5
15,26,40
15,30,27
15,33,5
15,28,72
15,17,41
15,3,101
15,13,110
15,20,85
15,2,121
15,34,4
15,14,97
19,19,1
19,24,2
19,0,3
19,22,3
19,16,1
19,1,2
19,7,8
19,8,14
19,26,3
19,10,3
19,30,3
19,9,1
19,12,2
19,33,3
19,28,8
19,18,1
19,17,1
19,3,8
19,13,9
19,20,10
19,4,5
19,32,3
19,29,1
19,2,16
19,27,3
19,11,5
19,34,4
19,14,6
24,22,129
24,7,166
24,8,7
24,10,81
24,9,90
24,12,101
24,33,8
24,18,79
24,21,31
24,4,67
24,29,12
24,27,46
24,11,79
0,16,34
0,1,74
0,8,9
0,26,98
0,30,80
0,33,8
0,28,190
0,17,100
0,3,229
0,13,260
0,20,178
0,32,3
0,2,304
0,34,1
0,14,231
22,7,257
22,8,11
22,10,97
22,9,125
22,12,134
22,33,7
22,18,95
22,21,45
22,4,104
22,32,4
22,29,14
22,27,82
22,11,133
22,34,1
16,1,11
16,8,2
16,26,15
16,30,11
16,33,2
16,28,22
16,17,11
16,3,26
16,13,43
16,20,35
16,32,2
16,2,40
16,14,19
1,8,1
1,26,43
1,30,19
1,33,3
1,28,58
1,17,32
1,3,83
1,13,82
1,20,72
1,32,1
1,2,105
1,14,57
7,8,17
7,10,146
7,9,197
7,12,191
7,33,14
7,18,169
7,21,57
7,4,148
7,32,5
7,29,20
7,27,107
7,11,184
7,34,3
8,8,27
8,26,8
8,10,10
8,30,5
8,9,10
8,12,9
8,33,12
8,28,12
8,18,9
8,17,4
8,21,6
8,3,16
8,13,19
8,20,15
8,4,9
8,32,10
8,29,2
8,2,17
8,27,5
8,11,5
8,34,3
8,14,12
26,30,56
26,33,8
26,28,113
26,17,51
26,3,117
26,13,158
26,20,137
26,32,2
26,2,175
26,34,3
26,14,135
10,9,95
10,12,84
10,33,9
10,18,94
10,21,30
10,4,65
10,32,1
10,29,15
10,27,55
10,11,75
10,34,3
30,33,3
30,28,66
30,17,43
30,3,96
30,13,132
30,20,89
30,32,2
30,2,141
30,34,2
30,14,99
9,12,109
9,33,3
9,18,97
9,21,30
9,4,65
9,29,9
9,27,60
9,11,105
9,34,2
12,33,4
12,18,90
12,21,30
12,4,86
12,29,7
12,27,79
12,11,91
12,34,3
33,33,4
33,28,11
33,18,6
33,17,2
33,21,4
33,3,7
33,13,12
33,20,12
33,4,10
33,29,1
33,2,18
33,27,4
33,11,9
33,34,2
33,14,8
28,17,92
28,3,178
28,13,264
28,20,183
28,32,3
28,2,313
28,34,4
28,14,222
18,21,35
18,4,61
18,29,21
18,27,49
18,11,86
18,34,2
17,3,159
17,13,152
17,20,93
17,32,1
17,2,160
17,34,2
17,14,202
21,4,22
21,32,2
21,29,1
21,27,10
21,11,36
3,13,283
3,20,209
3,32,4
3,2,343
3,34,5
3,14,252
13,20,309
13,32,4
13,2,439
13,34,8
13,14,338
20,32,8
20,2,304
20,34,6
20,14,242
4,32,3
4,29,9
4,27,42
4,11,69
4,34,2
32,32,1
32,2,3
32,27,2
32,11,1
32,34,1
32,14,3
29,27,7
29,11,9
29,34,1
2,34,7
2,14,381
27,11,55
27,34,1
11,34,1
34,34,3
34,14,7
