Source,Target,Weight
31,25,218
31,15,102
31,19,2
31,0,318
31,16,27
31,1,65
31,8,13
31,26,89
31,30,80
31,33,10
31,28,186
31,17,194
31,3,373
31,13,176
31,20,108
31,32,3
31,2,486
31,34,10
31,14,377
6,5,494
6,23,303
6,19,9
6,24,451
6,22,719
6,7,874
6,8,38
6,10,373
6,9,608
6,12,319
6,33,20
6,18,454
6,21,151
6,4,254
6,32,13
6,29,54
6,27,163
6,11,416
6,34,10
25,15,285
25,19,6
25,0,804
25,16,67
25,1,232
25,8,26
25,26,309
25,30,232
25,33,27
25,28,547
25,17,545
25,3,906
25,13,505
25,20,276
25,32,8
25,2,1104
25,34,24
25,14,981
5,23,358
5,19,21
5,24,689
5,22,981
5,7,1067
5,8,38
5,10,385
5,9,774
5,12,438
5,33,27
5,18,559
5,21,196
5,4,248
5,32,7
5,29,49
5,27,205
5,11,430
5,34,10
23,19,12
23,24,483
23,22,674
23,7,817
23,8,30
23,10,277
23,9,535
23,12,264
23,33,12
23,18,395
23,21,117
23,4,168
23,32,9
23,29,37
23,27,134
23,11,318
23,34,3
15,19,3
15,0,389
15,16,58
15,1,98
15,8,14
15,26,145
15,30,104
15,33,8
15,28,237
15,17,312
15,3,446
15,13,253
15,20,163
15,32,3
15,2,528
15,34,7
15,14,498
19,19,1
19,24,15
19,0,12
19,22,23
19,16,2
19,7,30
19,8,10
19,26,7
19,10,9
19,30,1
19,9,19
19,12,7
19,33,6
19,28,7
19,18,14
19,17,7
19,21,6
19,3,9
19,13,6
19,20,2
19,4,12
19,32,2
19,29,1
19,2,12
19,27,3
19,11,11
19,34,9
19,14,14
24,22,1407
24,7,1508
24,8,35
24,10,426
24,9,1080
24,12,539
24,33,24
24,18,744
24,21,196
24,4,259
24,32,8
24,29,40
24,27,180
24,11,527
24,34,7
0,16,91
0,1,285
0,8,35
0,26,385
0,30,267
0,33,42
0,28,729
0,17,789
0,3,1277
0,13,617
0,20,391
0,32,7
0,2,1670
0,34,25
0,14,1467
22,7,2325
22,8,88
22,10,689
22,9,1748
22,12,715
22,33,48
22,18,1200
22,21,335
22,4,377
22,32,12
22,29,60
22,27,287
22,11,948
22,34,11
16,1,26
16,8,8
16,26,53
16,30,33
16,33,4
16,28,65
16,17,55
16,3,101
16,13,96
16,20,69
16,2,117
16,34,5
16,14,108
1,8,9
1,26,93
1,30,52
1,33,11
1,28,204
1,17,168
1,3,326
1,13,161
1,20,123
1,32,2
1,2,447
1,34,6
1,14,322
7,8,114
7,10,810
7,9,1829
7,12,800
7,33,56
7,18,1331
7,21,369
7,4,445
7,32,14
7,29,74
7,27,322
7,11,1090
7,34,10
8,8,20
8,26,11
8,10,38
8,30,9
8,9,61
8,12,28
8,33,18
8,28,21
8,18,46
8,17,20
8,21,10
8,3,45
8,13,21
8,20,19
8,4,18
8,32,7
8,29,1
8,2,51
8,27,14
8,11,48
8,34,16
8,14,29
26,30,121
26,33,13
26,28,277
26,17,353
26,3,534
26,13,292
26,20,179
26,32,4
26,2,601
26,34,18
26,14,582
10,9,570
10,12,324
10,33,14
10,18,405
10,21,140
10,4,227
10,32,11
10,29,39
10,27,160
10,11,359
10,34,4
30,33,7
30,28,179
30,17,191
30,3,289
30,13,212
30,20,133
30,32,2
30,2,337
30,34,8
30,14,329
9,12,529
9,33,34
9,18,961
9,21,261
9,4,280
9,32,13
9,29,47
9,27,210
9,11,752
9,34,8
12,33,17
12,18,418
12,21,133
12,4,220
12,32,4
12,29,39
12,27,188
12,11,339
12,34,4
33,33,2
33,28,22
33,18,27
33,17,16
33,21,6
33,3,36
33,13,29
33,20,13
33,4,11
33,32,2
33,29,3
33,2,41
33,27,7
33,11,24
33,34,7
33,14,46
28,17,527
28,3,783
28,13,454
28,20,343
28,32,11
28,2,1112
28,34,18
28,14,925
18,21,203
18,4,219
18,32,6
18,29,45
18,27,168
18,11,529
18,34,6
17,3,1163
17,13,456
17,20,310
17,32,8
17,2,1294
17,34,11
17,14,1625
21,4,79
21,32,5
21,29,7
21,27,53
21,11,150
21,34,1
3,13,648
3,20,407
3,32,9
3,2,1880
3,34,27
3,14,1673
13,20,367
13,32,4
13,2,790
13,34,14
13,14,737
20,32,3
20,2,594
20,34,14
20,14,536
4,32,6
4,29,28
4,27,111
4,11,208
4,34,3
32,32,3
32,29,1
32,2,7
32,27,3
32,11,7
32,34,4
32,14,11
29,27,17
29,11,36
29,34,2
2,34,37
2,14,2140
27,11,144
11,34,9
34,34,2
34,14,34
