Source,Target,Weight
31,25,88
31,15,33
31,19,1
31,0,120
31,16,12
31,1,25
31,8,3
31,26,37
31,30,39
31,33,2
31,28,74
31,17,73
31,3,117
31,13,97
31,20,62
31,32,1
31,2,157
31,14,130
6,5,156
6,23,148
6,19,4
6,24,178
6,22,251
6,7,305
6,8,10
6,10,167
6,9,228
6,12,163
6,33,4
6,18,158
6,21,49
6,4,102
6,32,6
6,29,16
6,27,91
6,11,160
6,34,1
25,15,96
25,19,3
25,0,263
25,16,21
25,1,77
25,8,9
25,26,127
25,30,110
25,33,6
25,28,188
25,17,140
25,3,269
25,13,278
25,20,151
25,32,5
25,2,355
25,34,7
25,14,289
5,23,110
5,19,5
5,24,178
5,22,199
5,7,290
5,8,11
5,10,122
5,9,200
5,12,127
5,33,8
5,18,126
5,21,44
5,4,93
5,32,1
5,29,14
5,27,80
5,11,131
23,19,4
23,24,160
23,22,200
23,7,276
23,8,13
23,10,111
23,9,169
23,12,111
23,33,8
23,18,144
23,21,33
23,4,76
23,32,3
23,29,12
23,27,67
23,11,119
23,34,1
15,19,2
15,0,116
15,16,25
15,1,29
15,8,2
15,26,59
15,30,38
15,33,6
15,28,76
15,17,92
15,3,138
15,13,119
15,20,96
15,32,1
15,2,162
15,34,1
15,14,151
19,24,5
19,0,4
19,22,3
19,1,1
19,7,8
19,8,7
19,26,4
19,10,6
19,9,3
19,12,3
19,28,3
19,18,2
19,17,1
19,21,1
19,3,4
19,13,3
19,20,3
19,4,1
19,2,3
19,27,3
19,11,4
19,34,1
19,14,3
24,22,342
24,7,449
24,8,11
24,10,165
24,9,315
24,12,211
24,33,4
24,18,210
24,21,72
24,4,93
24,32,3
24,29,15
24,27,86
24,11,160
24,34,1
0,16,40
0,1,83
0,8,10
0,26,130
0,30,111
0,33,14
0,28,223
0,17,203
0,3,352
0,13,309
0,20,208
0,32,3
0,2,481
0,34,5
0,14,406
22,7,582
22,8,25
22,10,245
22,9,423
22,12,215
22,33,16
22,18,299
22,21,80
22,4,124
22,32,4
22,29,23
22,27,100
22,11,249
22,34,3
16,1,19
16,8,3
16,26,16
16,30,8
16,28,26
16,17,20
16,3,38
16,13,44
16,20,35
16,2,48
16,34,2
16,14,41
1,8,6
1,26,39
1,30,32
1,33,6
1,28,75
1,17,59
1,3,92
1,13,95
1,20,64
1,32,1
1,2,146
1,34,3
1,14,113
7,8,26
7,10,286
7,9,489
7,12,283
7,33,14
7,18,377
7,21,91
7,4,169
7,32,5
7,29,21
7,27,158
7,11,314
7,34,2
8,8,30
8,26,3
8,10,22
8,30,6
8,9,24
8,12,9
8,33,5
8,28,18
8,18,11
8,17,3
8,21,6
8,3,9
8,13,9
8,20,12
8,4,6
8,32,1
8,2,16
8,27,3
8,11,14
8,34,8
8,14,13
26,30,55
26,33,4
26,28,128
26,17,101
26,3,138
26,13,153
26,20,101
26,32,1
26,2,211
26,14,183
10,9,225
10,12,158
10,33,12
10,18,148
10,21,47
10,4,93
10,32,2
10,29,10
10,27,69
10,11,142
30,33,4
30,28,84
30,17,82
30,3,118
30,13,126
30,20,90
30,32,2
30,2,159
30,34,7
30,14,148
9,12,208
9,33,11
9,18,263
9,21,65
9,4,108
9,32,5
9,29,10
9,27,82
9,11,228
9,34,1
12,33,8
12,18,162
12,21,60
12,4,97
12,32,3
12,29,8
12,27,99
12,11,142
12,34,1
33,33,4
33,28,10
33,18,12
33,17,4
33,21,1
33,3,7
33,13,11
33,20,8
33,4,7
33,2,10
33,27,1
33,11,5
33,34,5
33,14,9
28,17,137
28,3,257
28,13,252
28,20,157
28,32,2
28,2,337
28,34,3
28,14,274
18,21,56
18,4,82
18,29,13
18,27,58
18,11,173
18,34,1
17,3,269
17,13,214
17,20,165
17,32,2
17,2,313
17,34,2
17,14,411
21,4,30
21,29,6
21,27,23
21,11,61
3,13,308
3,20,209
3,32,4
3,2,470
3,34,3
3,14,376
13,20,249
13,32,2
13,2,413
13,34,4
13,14,383
20,32,2
20,2,302
20,34,6
20,14,266
4,32,1
4,29,13
4,27,51
4,11,91
4,34,1
32,29,1
32,2,5
32,27,3
32,11,2
32,14,6
29,27,5
29,11,9
2,34,7
2,14,538
27,11,64
11,34,1
34,34,5
34,14,10
