Source,Target,Weight
31,25,34
31,15,17
31,19,2
31,0,68
31,16,10
31,1,9
31,8,3
31,26,28
31,30,27
31,33,2
31,28,46
31,17,49
31,3,58
31,13,75
31,20,63
31,2,88
31,34,3
31,14,71
6,5,75
6,23,70
6,19,1
6,24,71
6,22,101
6,7,152
6,8,3
6,10,73
6,9,85
6,12,72
6,33,6
6,18,81
6,21,33
6,4,73
6,32,1
6,29,11
6,27,45
6,11,83
25,15,41
25,19,1
25,0,130
25,16,9
25,1,52
25,8,5
25,26,58
25,30,44
25,33,2
25,28,82
25,17,78
25,3,127
25,13,139
25,20,106
25,2,160
25,34,1
25,14,140
5,23,45
5,19,1
5,24,85
5,22,91
5,7,131
5,8,3
5,10,51
5,9,73
5,12,57
5,33,2
5,18,59
5,21,33
5,4,38
5,32,2
5,29,10
5,27,36
5,11,64
5,34,1
23,19,2
23,24,76
23,22,72
23,7,118
23,8,2
23,10,54
23,9,56
23,12,56
23,33,1
23,18,60
23,21,22
23,4,34
23,29,8
23,27,31
23,11,57
15,0,56
15,16,12
15,1,29
15,8,3
15,26,29
15,30,31
15,33,4
15,28,41
15,17,54
15,3,62
15,13,73
15,20,63
15,32,2
15,2,69
15,14,74
19,19,6
19,24,1
19,22,4
19,7,6
19,8,4
19,10,1
19,30,1
19,9,4
19,12,1
19,28,1
19,18,3
19,21,3
19,3,1
19,13,1
19,20,1
19,4,2
19,29,1
19,2,2
19,11,7
19,34,4
19,14,2
24,22,123
24,7,196
24,8,2
24,10,73
24,9,103
24,12,82
24,33,4
24,18,103
24,21,40
24,4,56
24,32,1
24,29,5
24,27,38
24,11,83
24,34,2
0,16,18
0,1,56
0,8,6
0,26,74
0,30,73
0,33,1
0,28,148
0,17,119
0,3,161
0,13,202
0,20,138
0,2,247
0,34,1
0,14,216
22,7,228
22,8,5
22,10,73
22,9,133
22,12,76
22,33,5
22,18,100
22,21,43
22,4,58
22,32,1
22,29,5
22,27,43
22,11,100
16,1,6
16,8,1
16,26,12
16,30,9
16,33,1
16,28,17
16,17,8
16,3,14
16,13,32
16,20,27
16,2,28
16,34,2
16,14,21
1,8,6
1,26,36
1,30,25
1,33,1
1,28,60
1,17,35
1,3,51
1,13,64
1,20,46
1,32,1
1,2,75
1,14,55
7,8,5
7,10,130
7,9,184
7,12,133
7,33,7
7,18,175
7,21,58
7,4,95
7,29,16
7,27,63
7,11,161
7,34,2
8,8,9
8,26,3
8,10,3
8,30,4
8,9,5
8,12,8
8,33,6
8,28,7
8,18,7
8,17,4
8,21,1
8,3,6
8,13,8
8,20,8
8,4,3
8,32,1
8,29,3
8,2,18
8,27,4
8,11,5
8,34,2
8,14,10
26,30,39
26,33,2
26,28,69
26,17,48
26,3,78
26,13,90
26,20,86
26,2,110
26,34,1
26,14,90
10,9,71
10,12,60
10,33,1
10,18,61
10,21,24
10,4,55
10,32,1
10,29,8
10,27,23
10,11,65
30,33,3
30,28,49
30,17,47
30,3,77
30,13,82
30,20,67
30,32,2
30,2,97
30,34,1
30,14,76
9,12,67
9,33,2
9,18,93
9,21,28
9,4,51
9,32,1
9,29,5
9,27,27
9,11,92
12,33,2
12,18,67
12,21,20
12,4,43
12,32,1
12,29,7
12,27,39
12,11,56
33,33,1
33,28,5
33,18,4
33,17,3
33,21,2
33,3,2
33,13,6
33,20,6
33,4,4
33,32,1
33,2,5
33,27,1
33,11,3
33,34,1
33,14,6
28,17,84
28,3,118
28,13,150
28,20,126
28,2,186
28,34,4
28,14,149
18,21,25
18,4,46
18,29,6
18,27,32
18,11,80
18,34,2
17,3,124
17,13,131
17,20,117
17,32,2
17,2,157
17,34,3
17,14,221
21,4,12
21,27,19
21,11,20
21,34,1
3,13,175
3,20,139
3,32,2
3,2,217
3,34,1
3,14,177
13,20,175
13,32,3
13,2,250
13,34,1
13,14,207
20,32,3
20,2,185
20,34,2
20,14,203
4,29,8
4,27,31
4,11,43
32,2,3
32,34,1
32,14,3
29,27,10
29,11,9
29,34,2
2,34,5
2,14,276
27,11,35
34,14,2
