Source,Target,Weight
31,25,199
31,15,67
31,19,3
31,0,322
31,16,28
31,1,72
31,8,10
31,26,93
31,30,88
31,33,5
31,28,167
31,17,303
31,3,260
31,13,196
31,20,186
31,32,2
31,2,404
31,34,5
31,14,432
6,5,416
6,23,216
6,19,7
6,24,294
6,22,605
6,7,627
6,8,20
6,10,209
6,9,362
6,12,355
6,33,18
6,18,285
6,21,96
6,4,147
6,32,8
6,29,30
6,27,100
6,11,254
6,34,7
25,15,161
25,19,9
25,0,622
25,16,45
25,1,168
25,8,19
25,26,243
25,30,207
25,33,17
25,28,358
25,17,594
25,3,634
25,13,488
25,20,416
25,32,4
25,2,830
25,34,15
25,14,938
5,23,452
5,19,8
5,24,816
5,22,1398
5,7,1331
5,8,34
5,10,318
5,9,747
5,12,783
5,33,16
5,18,523
5,21,226
5,4,211
5,32,6
5,29,64
5,27,187
5,11,415
5,34,13
23,23,1
23,19,4
23,24,468
23,22,778
23,7,771
23,8,20
23,10,173
23,9,404
23,12,377
23,33,20
23,18,290
23,21,89
23,4,118
23,32,4
23,29,19
23,27,103
23,11,244
23,34,3
15,19,8
15,0,287
15,16,29
15,1,62
15,8,13
15,26,112
15,30,94
15,33,11
15,28,148
15,17,334
15,3,280
15,13,217
15,20,237
15,32,2
15,2,332
15,34,4
15,14,476
19,24,6
19,0,12
19,22,12
19,16,1
19,1,4
19,7,12
19,8,1
19,26,3
19,10,3
19,30,3
19,9,4
19,12,8
19,28,3
19,18,2
19,17,8
19,21,1
19,3,12
19,13,11
19,20,9
19,4,5
19,32,1
19,2,15
19,27,4
19,11,7
19,34,2
19,14,15
24,22,1357
24,7,1316
24,8,34
24,10,246
24,9,726
24,12,665
24,33,20
24,18,488
24,21,200
24,4,166
24,32,6
24,29,36
24,27,139
24,11,386
24,34,5
0,16,64
0,1,199
0,8,27
0,26,301
0,30,270
0,33,23
0,28,571
0,17,1109
0,3,977
0,13,624
0,20,715
0,32,12
0,2,1441
0,34,17
0,14,1669
22,7,2309
22,8,70
22,10,472
22,9,1326
22,12,1166
22,33,23
22,18,927
22,21,336
22,4,312
22,32,18
22,29,62
22,27,252
22,11,760
22,34,10
16,1,17
16,8,3
16,26,37
16,30,25
16,33,1
16,28,43
16,17,61
16,3,59
16,13,69
16,20,80
16,32,2
16,2,81
16,34,1
16,14,95
1,8,10
1,26,89
1,30,49
1,33,5
1,28,126
1,17,197
1,3,170
1,13,165
1,20,156
1,32,2
1,2,311
1,34,6
1,14,334
7,8,69
7,10,475
7,9,1285
7,12,1123
7,33,30
7,18,912
7,21,326
7,4,314
7,32,19
7,29,64
7,27,264
7,11,775
7,34,10
8,8,22
8,26,14
8,10,10
8,30,10
8,9,37
8,12,39
8,33,7
8,28,10
8,18,26
8,17,24
8,21,11
8,3,28
8,13,18
8,20,21
8,4,14
8,32,3
8,29,4
8,2,36
8,27,12
8,11,19
8,34,7
8,14,35
26,30,119
26,33,5
26,28,211
26,17,353
26,3,326
26,13,267
26,20,311
26,32,3
26,2,426
26,34,6
26,14,523
10,9,232
10,12,307
10,33,11
10,18,192
10,21,73
10,4,119
10,32,5
10,29,22
10,27,97
10,11,164
10,34,3
30,33,8
30,28,174
30,17,332
30,3,298
30,13,242
30,20,268
30,32,2
30,2,402
30,34,5
30,14,502
9,12,597
9,33,18
9,18,490
9,21,171
9,4,182
9,32,8
9,29,30
9,27,138
9,11,409
9,34,10
12,33,18
12,18,448
12,21,159
12,4,205
12,32,8
12,29,50
12,27,179
12,11,362
12,34,13
33,33,3
33,28,21
33,18,13
33,17,21
33,21,3
33,3,29
33,13,24
33,20,20
33,4,6
33,32,1
33,29,2
33,2,39
33,27,6
33,11,13
33,34,2
33,14,36
28,17,611
28,3,555
28,13,416
28,20,452
28,32,3
28,2,782
28,34,10
28,14,889
18,21,123
18,4,144
18,32,4
18,29,31
18,27,100
18,11,276
18,34,6
17,3,1260
17,13,639
17,20,916
17,32,4
17,2,1591
17,34,17
17,14,2349
21,4,58
21,32,2
21,29,12
21,27,43
21,11,98
21,34,1
3,13,633
3,20,680
3,32,8
3,2,1324
3,34,21
3,14,1470
13,20,604
13,32,8
13,2,786
13,34,14
13,14,1002
20,32,9
20,2,938
20,34,15
20,14,1268
4,32,8
4,29,22
4,27,58
4,11,118
4,34,6
32,29,1
32,2,13
32,27,3
32,11,5
32,34,3
32,14,10
29,27,11
29,11,17
29,34,3
2,34,22
2,14,2152
27,11,111
27,34,4
11,34,6
34,34,3
34,14,28
