Source,Target,Weight
31,25,317
31,15,107
31,19,3
31,0,405
31,16,27
31,1,117
31,8,13
31,26,147
31,30,103
31,33,12
31,28,289
31,17,71
31,3,415
31,13,279
31,20,123
31,32,3
31,2,555
31,34,3
31,14,162
6,5,479
6,23,380
6,19,13
6,24,609
6,22,784
6,7,1159
6,8,38
6,10,492
6,9,774
6,12,365
6,33,24
6,18,517
6,21,188
6,4,229
6,32,8
6,29,45
6,27,188
6,11,483
6,34,9
25,15,231
25,19,2
25,0,926
25,16,72
25,1,269
25,8,24
25,26,381
25,30,315
25,33,25
25,28,643
25,17,226
25,3,980
25,13,740
25,20,299
25,32,10
25,2,1276
25,34,13
25,14,515
5,23,265
5,19,7
5,24,468
5,22,610
5,7,867
5,8,24
5,10,358
5,9,553
5,12,259
5,33,22
5,18,359
5,21,131
5,4,168
5,32,8
5,29,31
5,27,166
5,11,342
5,34,8
23,19,7
23,24,444
23,22,570
23,7,813
23,8,25
23,10,257
23,9,474
23,12,199
23,33,18
23,18,325
23,21,118
23,4,142
23,32,5
23,29,19
23,27,109
23,11,309
23,34,3
15,19,1
15,0,263
15,16,49
15,1,65
15,8,7
15,26,122
15,30,97
15,33,6
15,28,208
15,17,69
15,3,291
15,13,252
15,20,139
15,32,4
15,2,381
15,34,2
15,14,154
19,19,1
19,24,9
19,0,10
19,22,10
19,16,1
19,1,3
19,7,19
19,8,5
19,26,4
19,10,5
19,30,1
19,9,10
19,12,5
19,33,5
19,28,7
19,18,7
19,17,1
19,21,5
19,3,5
19,13,7
19,20,5
19,4,5
19,29,1
19,2,14
19,27,4
19,11,7
19,14,5
24,22,1012
24,7,1404
24,8,35
24,10,454
24,9,939
24,12,371
24,33,23
24,18,575
24,21,189
24,4,223
24,32,4
24,29,38
24,27,187
24,11,526
24,34,4
0,16,95
0,1,359
0,8,33
0,26,442
0,30,391
0,33,23
0,28,929
0,17,254
0,3,1235
0,13,829
0,20,405
0,32,10
0,2,1714
0,34,23
0,14,633
22,7,1908
22,8,54
22,10,550
22,9,1212
22,12,428
22,33,34
22,18,762
22,21,244
22,4,255
22,32,8
22,29,44
22,27,243
22,11,770
22,34,6
16,1,25
16,8,1
16,26,38
16,30,39
16,33,3
16,28,64
16,17,21
16,3,84
16,13,101
16,20,75
16,32,3
16,2,114
16,34,2
16,14,55
1,8,16
1,26,118
1,30,102
1,33,4
1,28,254
1,17,71
1,3,344
1,13,255
1,20,110
1,32,4
1,2,523
1,34,2
1,14,178
7,8,79
7,10,878
7,9,1664
7,12,666
7,33,45
7,18,1145
7,21,375
7,4,414
7,32,13
7,29,64
7,27,373
7,11,1092
7,34,8
8,8,41
8,26,12
8,10,30
8,30,12
8,9,48
8,12,19
8,33,20
8,28,28
8,18,32
8,17,2
8,21,8
8,3,18
8,13,19
8,20,13
8,4,17
8,32,4
8,29,1
8,2,54
8,27,11
8,11,39
8,34,12
8,14,22
26,30,183
26,33,10
26,28,353
26,17,105
26,3,517
26,13,396
26,20,192
26,32,9
26,2,676
26,34,4
26,14,261
10,9,596
10,12,294
10,33,15
10,18,355
10,21,131
10,4,196
10,32,7
10,29,30
10,27,167
10,11,331
10,34,3
30,33,5
30,28,297
30,17,103
30,3,420
30,13,347
30,20,176
30,32,3
30,2,545
30,34,4
30,14,200
9,12,414
9,33,33
9,18,735
9,21,210
9,4,229
9,32,8
9,29,36
9,27,234
9,11,638
9,34,8
12,33,13
12,18,280
12,21,94
12,4,138
12,32,5
12,29,21
12,27,148
12,11,253
12,34,4
33,33,4
33,28,23
33,18,21
33,17,4
33,21,7
33,3,25
33,13,19
33,20,11
33,4,5
33,32,3
33,29,3
33,2,31
33,27,12
33,11,21
33,34,1
33,14,14
28,17,203
28,3,949
28,13,644
28,20,320
28,32,8
28,2,1349
28,34,12
28,14,487
18,21,160
18,4,185
18,32,5
18,29,35
18,27,173
18,11,428
18,34,5
17,3,299
17,13,270
17,20,120
17,32,4
17,2,395
17,34,7
17,14,249
21,4,61
21,29,14
21,27,48
21,11,134
21,34,4
3,13,933
3,20,381
3,32,4
3,2,1753
3,34,12
3,14,508
13,20,380
13,32,12
13,2,1199
13,34,9
13,14,514
20,32,6
20,2,554
20,34,7
20,14,255
4,29,23
4,27,95
4,11,165
32,2,12
32,27,1
32,11,4
32,14,4
29,27,16
29,11,30
2,34,32
2,14,915
27,11,140
27,34,1
11,34,5
34,34,3
34,14,7
