Source,Target,Weight
31,25,133
31,15,44
31,19,2
31,0,172
31,16,10
31,1,35
31,8,5
31,26,75
31,30,45
31,33,7
31,28,121
31,17,64
31,3,164
31,13,155
31,20,124
31,32,4
31,2,246
31,34,2
31,14,124
6,6,1
6,5,273
6,23,216
6,19,9
6,24,300
6,22,398
6,7,605
6,8,27
6,10,232
6,9,383
6,12,241
6,33,12
6,18,259
6,21,107
6,4,163
6,32,5
6,29,30
6,27,138
6,11,270
6,34,3
25,15,92
25,19,4
25,0,382
25,16,43
25,1,99
25,8,9
25,26,172
25,30,115
25,33,9
25,28,240
25,17,181
25,3,387
25,13,375
25,20,257
25,32,5
25,2,533
25,34,4
25,14,311
5,23,199
5,19,6
5,24,316
5,22,361
5,7,562
5,8,10
5,10,205
5,9,368
5,12,243
5,33,5
5,18,212
5,21,100
5,4,151
5,32,7
5,29,28
5,27,132
5,11,213
5,34,2
23,19,4
23,24,310
23,22,381
23,7,539
23,8,17
23,10,192
23,9,300
23,12,158
23,33,13
23,18,200
23,21,84
23,4,92
23,32,5
23,29,16
23,27,102
23,11,208
23,34,2
15,19,2
15,0,133
15,16,34
15,1,40
15,8,6
15,26,48
15,30,49
15,33,3
15,28,93
15,17,66
15,3,121
15,13,140
15,20,129
15,32,2
15,2,187
15,14,122
19,19,1
19,24,4
19,0,4
19,22,7
19,7,9
19,8,5
19,26,1
19,10,8
19,30,4
19,9,8
19,12,5
19,33,6
19,28,4
19,18,5
19,17,4
19,21,4
19,3,4
19,13,6
19,20,2
19,4,1
19,32,2
19,2,8
19,27,4
19,11,4
19,14,4
24,22,674
24,7,921
24,8,18
24,10,313
24,9,595
24,12,323
24,33,10
24,18,379
24,21,130
24,4,167
24,32,2
24,29,17
24,27,150
24,11,327
24,34,5
0,16,44
0,1,127
0,8,16
0,26,221
0,30,157
0,33,14
0,28,389
0,17,182
0,3,528
0,13,434
0,20,348
0,32,4
0,2,765
0,34,6
0,14,430
22,7,1155
22,8,30
22,10,357
22,9,726
22,12,339
22,33,9
22,18,485
22,21,156
22,4,193
22,32,8
22,29,30
22,27,201
22,11,463
22,34,3
16,1,20
16,8,2
16,26,31
16,30,13
16,28,39
16,17,17
16,3,46
16,13,63
16,20,55
16,2,77
16,14,51
1,8,2
1,26,62
1,30,33
1,33,4
1,28,86
1,17,45
1,3,138
1,13,113
1,20,83
1,32,2
1,2,200
1,34,2
1,14,86
7,8,45
7,10,543
7,9,1015
7,12,497
7,33,23
7,18,717
7,21,219
7,4,290
7,32,10
7,29,48
7,27,290
7,11,638
7,34,10
8,8,16
8,26,7
8,10,14
8,30,7
8,9,23
8,12,12
8,33,10
8,28,11
8,18,18
8,17,8
8,21,5
8,3,11
8,13,14
8,20,16
8,4,7
8,32,3
8,2,24
8,27,9
8,11,21
8,34,3
8,14,11
26,30,82
26,33,4
26,28,173
26,17,109
26,3,245
26,13,233
26,20,173
26,32,4
26,2,318
26,34,6
26,14,189
10,9,326
10,12,207
10,33,13
10,18,225
10,21,92
10,4,137
10,32,2
10,29,13
10,27,125
10,11,218
10,34,3
30,33,9
30,28,102
30,17,76
30,3,161
30,13,161
30,20,147
30,32,5
30,2,220
30,34,2
30,14,131
9,12,342
9,33,15
9,18,433
9,21,153
9,4,168
9,32,9
9,29,22
9,27,174
9,11,410
9,34,4
12,33,12
12,18,219
12,21,80
12,4,136
12,32,7
12,29,22
12,27,133
12,11,185
33,33,2
33,28,8
33,18,11
33,17,3
33,21,5
33,3,10
33,13,13
33,20,11
33,4,4
33,32,1
33,29,2
33,2,22
33,27,9
33,11,9
33,34,5
33,14,9
28,17,128
28,3,361
28,13,332
28,20,246
28,32,6
28,2,540
28,34,5
28,14,288
18,18,1
18,21,92
18,4,126
18,32,5
18,29,24
18,27,109
18,11,286
18,34,3
17,3,267
17,13,232
17,20,168
17,2,324
17,34,1
17,14,334
21,4,42
21,32,2
21,29,2
21,27,48
21,11,81
21,34,3
3,13,445
3,20,323
3,32,6
3,2,733
3,34,3
3,14,387
13,20,380
13,32,8
13,2,635
13,34,7
13,14,419
20,32,7
20,2,485
20,34,3
20,14,305
4,32,4
4,29,18
4,27,75
4,11,112
32,29,1
32,2,9
32,27,2
32,11,6
32,14,7
29,27,13
29,11,24
2,34,10
2,14,625
27,11,129
27,34,3
11,34,3
34,34,1
34,14,10
