Source,Target,Weight
31,25,215
31,15,74
31,19,4
31,0,275
31,16,23
31,1,78
31,8,10
31,26,116
31,30,85
31,33,4
31,28,191
31,17,170
31,3,271
31,13,233
31,20,280
31,32,4
31,2,447
31,34,6
31,14,321
6,5,422
6,23,347
6,19,11
6,24,510
6,22,672
6,7,959
6,8,38
6,10,372
6,9,568
6,12,322
6,33,18
6,18,347
6,21,165
6,4,244
6,32,9
6,29,31
6,27,206
6,11,383
6,34,9
25,15,175
25,19,6
25,0,718
25,16,66
25,1,177
25,8,32
25,26,306
25,30,284
25,33,27
25,28,469
25,17,426
25,3,678
25,13,661
25,20,629
25,32,5
25,2,1058
25,34,8
25,14,746
5,23,374
5,19,14
5,24,668
5,22,929
5,7,1127
5,8,34
5,10,393
5,9,694
5,12,417
5,33,18
5,18,417
5,21,186
5,4,221
5,32,8
5,29,32
5,27,216
5,11,389
5,34,7
23,19,12
23,24,585
23,22,780
23,7,1054
23,8,32
23,10,295
23,9,568
23,12,298
23,33,18
23,18,372
23,21,155
23,4,177
23,32,4
23,29,25
23,27,196
23,11,366
23,34,6
15,19,2
15,0,228
15,16,57
15,1,69
15,8,12
15,26,93
15,30,106
15,33,6
15,28,162
15,17,176
15,3,222
15,13,251
15,20,254
15,2,298
15,34,1
15,14,275
19,19,2
19,24,11
19,0,12
19,22,10
19,16,2
19,1,7
19,7,37
19,8,11
19,26,4
19,10,10
19,30,5
19,9,14
19,12,11
19,33,3
19,28,9
19,18,11
19,17,7
19,21,3
19,3,13
19,13,10
19,20,12
19,4,4
19,32,1
19,29,1
19,2,15
19,27,4
19,11,12
19,34,7
19,14,10
24,22,1370
24,7,1665
24,8,36
24,10,489
24,9,1014
24,12,524
24,33,23
24,18,548
24,21,266
24,4,213
24,32,9
24,29,29
24,27,269
24,11,539
24,34,13
0,16,90
0,1,250
0,8,30
0,26,404
0,30,332
0,33,34
0,28,672
0,17,596
0,3,927
0,13,770
0,20,881
0,32,7
0,2,1566
0,34,19
0,14,1119
22,7,2384
22,8,70
22,10,643
22,9,1476
22,12,659
22,33,37
22,18,891
22,21,370
22,4,291
22,32,12
22,29,28
22,27,351
22,11,848
22,34,17
16,1,20
16,8,7
16,26,31
16,30,48
16,33,1
16,28,59
16,17,50
16,3,84
16,13,101
16,20,128
16,32,3
16,2,127
16,34,4
16,14,84
1,8,10
1,26,116
1,30,81
1,33,10
1,28,172
1,17,141
1,3,214
1,13,200
1,20,241
1,32,3
1,2,411
1,14,279
7,8,94
7,10,883
7,9,1798
7,12,895
7,33,45
7,18,1170
7,21,477
7,4,429
7,32,15
7,29,57
7,27,500
7,11,1118
7,34,23
8,8,30
8,26,22
8,10,29
8,30,17
8,9,51
8,12,31
8,33,22
8,28,24
8,18,39
8,17,9
8,21,21
8,3,25
8,13,28
8,20,32
8,4,14
8,32,10
8,29,3
8,2,45
8,27,21
8,11,21
8,34,19
8,14,21
26,30,148
26,33,7
26,28,254
26,17,267
26,3,405
26,13,354
26,20,409
26,32,6
26,2,599
26,34,6
26,14,443
10,9,543
10,12,330
10,33,24
10,18,318
10,21,152
10,4,192
10,32,8
10,29,27
10,27,177
10,11,306
10,34,8
30,33,9
30,28,206
30,17,228
30,3,330
30,13,312
30,20,335
30,32,4
30,2,527
30,34,4
30,14,395
9,12,528
9,33,23
9,18,661
9,21,286
9,4,237
9,32,10
9,29,28
9,27,246
9,11,629
9,34,12
12,12,1
12,33,18
12,18,326
12,21,127
12,4,185
12,32,3
12,29,28
12,27,254
12,11,293
12,34,9
33,33,11
33,28,20
33,18,22
33,17,17
33,21,5
33,3,26
33,13,21
33,20,26
33,4,15
33,32,1
33,29,2
33,2,36
33,27,10
33,11,17
33,34,10
33,14,32
28,17,396
28,3,602
28,13,534
28,20,646
28,32,13
28,2,1016
28,34,8
28,14,711
18,21,180
18,4,167
18,32,4
18,29,21
18,27,167
18,11,409
18,34,11
17,3,735
17,13,487
17,20,641
17,32,8
17,2,1007
17,34,10
17,14,1204
21,4,64
21,32,2
21,29,11
21,27,83
21,11,160
21,34,6
3,13,717
3,20,894
3,32,9
3,2,1355
3,34,15
3,14,920
13,20,840
13,32,10
13,2,1033
13,34,9
13,14,816
20,32,12
20,2,1364
20,34,25
20,14,1050
4,32,2
4,29,22
4,27,128
4,11,181
4,34,2
32,32,6
32,29,2
32,2,13
32,27,3
32,11,6
32,34,5
32,14,7
29,27,18
29,11,30
29,34,2
2,34,18
2,14,1665
27,11,176
27,34,6
11,34,8
34,34,3
34,14,22
