Source,Target,Weight
31,25,76
31,15,40
31,0,82
31,16,8
31,1,21
31,8,1
31,26,29
31,30,25
31,33,1
31,28,61
31,17,31
31,3,77
31,13,67
31,20,31
31,32,1
31,2,116
31,34,1
31,14,61
6,5,138
6,23,108
6,19,2
6,24,131
6,22,165
6,7,265
6,8,12
6,10,136
6,9,145
6,12,118
6,33,9
6,18,140
6,21,60
6,4,92
6,32,3
6,29,15
6,27,70
6,11,138
6,34,3
25,15,73
25,19,1
25,0,207
25,16,20
25,1,58
25,8,14
25,26,88
25,30,61
25,33,3
25,28,152
25,17,86
25,3,177
25,13,185
25,20,81
25,2,240
25,34,6
25,14,136
5,23,75
5,19,2
5,24,122
5,22,135
5,7,214
5,8,10
5,10,90
5,9,109
5,12,93
5,33,6
5,18,101
5,21,49
5,4,62
5,32,1
5,29,14
5,27,62
5,11,103
5,34,2
23,19,2
23,24,115
23,22,105
23,7,171
23,8,6
23,10,65
23,9,83
23,12,77
23,33,7
23,18,83
23,21,27
23,4,56
23,29,8
23,27,51
23,11,79
23,34,2
15,19,1
15,0,93
15,16,15
15,1,31
15,8,4
15,26,36
15,30,31
15,33,3
15,28,68
15,17,35
15,3,84
15,13,87
15,20,54
15,2,107
15,34,1
15,14,67
19,19,1
19,24,1
19,0,4
19,7,2
19,8,2
19,10,3
19,12,1
19,18,1
19,17,1
19,21,1
19,3,2
19,13,1
19,20,1
19,4,2
19,2,2
19,27,1
19,11,1
19,14,2
24,22,163
24,7,229
24,8,6
24,10,98
24,9,130
24,12,113
24,33,2
24,18,115
24,21,49
24,4,70
24,32,2
24,29,9
24,27,71
24,11,109
24,34,2
0,16,20
0,1,60
0,8,11
0,26,87
0,30,68
0,33,7
0,28,179
0,17,96
0,3,210
0,13,220
0,20,109
0,2,312
0,34,2
0,14,184
22,7,337
22,8,13
22,10,122
22,9,172
22,12,107
22,33,2
22,18,152
22,21,53
22,4,73
22,32,1
22,29,13
22,27,83
22,11,144
22,34,4
16,1,8
16,8,1
16,26,16
16,30,12
16,33,1
16,28,12
16,17,10
16,3,21
16,13,31
16,20,16
16,2,29
16,14,27
1,8,2
1,26,23
1,30,15
1,33,2
1,28,51
1,17,28
1,3,53
1,13,53
1,20,23
1,2,77
1,34,2
1,14,47
7,8,20
7,10,178
7,9,267
7,12,164
7,33,12
7,18,236
7,21,84
7,4,123
7,32,2
7,29,16
7,27,110
7,11,210
7,34,5
8,8,5
8,26,2
8,10,9
8,30,2
8,9,7
8,12,8
8,28,8
8,18,9
8,17,5
8,21,3
8,3,10
8,13,8
8,20,4
8,4,13
8,32,1
8,2,8
8,27,5
8,11,15
8,34,4
8,14,7
26,30,37
26,33,1
26,28,65
26,17,34
26,3,85
26,13,100
26,20,42
26,32,1
26,2,113
26,34,1
26,14,70
10,9,116
10,12,94
10,33,6
10,18,91
10,21,28
10,4,68
10,32,1
10,29,8
10,27,55
10,11,94
10,34,5
30,33,5
30,28,50
30,17,34
30,3,64
30,13,81
30,20,36
30,2,94
30,34,4
30,14,63
9,12,99
9,33,2
9,18,137
9,21,45
9,4,64
9,32,3
9,29,9
9,27,54
9,11,118
9,34,2
12,33,6
12,18,100
12,21,42
12,4,72
12,29,11
12,27,70
12,11,84
12,34,3
33,33,2
33,28,7
33,18,7
33,17,5
33,21,3
33,3,5
33,13,4
33,20,2
33,4,3
33,29,1
33,2,9
33,27,1
33,11,4
33,34,1
33,14,5
28,17,73
28,3,160
28,13,175
28,20,82
28,2,230
28,34,2
28,14,130
18,21,35
18,4,65
18,32,2
18,29,9
18,27,44
18,11,115
18,34,1
17,3,108
17,13,94
17,20,42
17,2,125
17,34,4
17,14,135
21,4,30
21,29,9
21,27,18
21,11,31
3,13,180
3,20,91
3,2,268
3,34,1
3,14,145
13,20,110
13,32,1
13,2,264
13,34,8
13,14,164
20,2,127
20,34,2
20,14,73
4,29,11
4,27,40
4,11,68
32,2,1
32,27,2
32,11,1
29,27,8
29,11,8
2,34,6
2,14,228
27,11,56
27,34,1
11,34,3
34,34,1
34,14,2
