Source,Target,Weight
31,25,303
31,15,108
31,19,1
31,0,382
31,16,24
31,1,105
31,8,6
31,26,133
31,30,79
31,33,8
31,28,242
31,17,141
31,3,518
31,13,166
31,20,93
31,32,1
31,2,569
31,34,5
31,14,233
6,5,624
6,23,371
6,19,17
6,24,611
6,22,825
6,7,1207
6,8,37
6,10,458
6,9,680
6,12,602
6,33,28
6,18,606
6,21,200
6,4,284
6,32,5
6,29,50
6,27,226
6,11,544
6,34,12
25,15,263
25,19,9
25,0,923
25,16,62
25,1,237
25,8,22
25,26,338
25,30,239
25,33,22
25,28,610
25,17,370
25,3,1090
25,13,478
25,20,226
25,32,7
25,2,1266
25,34,11
25,14,596
5,23,339
5,19,14
5,24,634
5,22,826
5,7,1195
5,8,38
5,10,384
5,9,646
5,12,630
5,33,25
5,18,617
5,21,190
5,4,232
5,32,2
5,29,34
5,27,222
5,11,488
5,34,11
23,19,5
23,24,416
23,22,480
23,7,735
23,8,23
23,10,202
23,9,396
23,12,340
23,33,10
23,18,327
23,21,91
23,4,166
23,32,2
23,29,20
23,27,135
23,11,321
23,34,3
15,19,1
15,0,344
15,16,45
15,1,79
15,8,15
15,26,128
15,30,95
15,33,7
15,28,211
15,17,175
15,3,447
15,13,211
15,20,144
15,32,2
15,2,476
15,34,4
15,14,284
19,24,3
19,0,6
19,22,9
19,1,1
19,7,16
19,8,4
19,26,4
19,10,6
19,30,1
19,9,8
19,12,10
19,33,1
19,28,6
19,18,11
19,17,2
19,21,2
19,3,9
19,13,5
19,20,7
19,4,6
19,2,9
19,27,2
19,11,13
19,34,4
19,14,4
24,22,965
24,7,1319
24,8,33
24,10,408
24,9,727
24,12,681
24,33,15
24,18,666
24,21,202
24,4,241
24,32,6
24,29,24
24,27,226
24,11,524
24,34,9
0,16,89
0,1,326
0,8,22
0,26,385
0,30,246
0,33,20
0,28,893
0,17,450
0,3,1461
0,13,520
0,20,282
0,32,7
0,2,1680
0,34,25
0,14,820
22,7,1876
22,8,71
22,10,463
22,9,1065
22,12,761
22,33,20
22,18,928
22,21,214
22,4,272
22,32,3
22,29,33
22,27,243
22,11,779
22,34,13
16,1,25
16,8,1
16,26,42
16,30,36
16,33,3
16,28,57
16,17,33
16,3,91
16,13,80
16,20,39
16,2,99
16,34,2
16,14,72
1,8,7
1,26,85
1,30,79
1,33,8
1,28,232
1,17,119
1,3,380
1,13,157
1,20,75
1,32,1
1,2,457
1,34,11
1,14,214
7,7,1
7,8,84
7,10,733
7,9,1449
7,12,1159
7,33,38
7,18,1286
7,21,366
7,4,463
7,32,6
7,29,52
7,27,393
7,11,1155
7,34,17
8,8,23
8,26,8
8,10,21
8,30,6
8,9,48
8,12,39
8,33,8
8,28,23
8,18,39
8,17,11
8,21,9
8,3,32
8,13,8
8,20,9
8,4,24
8,32,2
8,29,1
8,2,39
8,27,13
8,11,39
8,34,9
8,14,28
26,30,121
26,33,13
26,28,286
26,17,157
26,3,521
26,13,217
26,20,120
26,32,5
26,2,594
26,34,10
26,14,293
10,9,426
10,12,415
10,33,17
10,18,366
10,21,120
10,4,192
10,32,2
10,29,29
10,27,153
10,11,336
10,34,9
30,33,9
30,28,196
30,17,120
30,3,334
30,13,215
30,20,120
30,32,5
30,2,351
30,34,3
30,14,197
9,9,1
9,12,615
9,33,21
9,18,731
9,21,182
9,4,251
9,32,1
9,29,34
9,27,227
9,11,648
9,34,7
12,33,20
12,18,633
12,21,178
12,4,277
12,32,3
12,29,42
12,27,296
12,11,467
12,34,4
33,33,1
33,28,16
33,18,20
33,17,10
33,21,4
33,3,21
33,13,20
33,20,12
33,4,8
33,32,1
33,29,2
33,2,34
33,27,12
33,11,17
33,34,5
33,14,26
28,17,296
28,3,983
28,13,434
28,20,248
28,32,4
28,2,1223
28,34,21
28,14,551
18,21,157
18,4,221
18,32,5
18,29,39
18,27,193
18,11,540
18,34,7
17,3,731
17,13,286
17,20,128
17,32,4
17,2,674
17,34,7
17,14,521
21,4,89
21,29,16
21,27,61
21,11,140
21,34,4
3,13,574
3,20,312
3,32,10
3,2,1977
3,34,26
3,14,881
13,20,282
13,32,6
13,2,716
13,34,11
13,14,481
20,32,5
20,2,406
20,34,5
20,14,261
4,32,3
4,29,24
4,27,123
4,11,222
4,34,4
32,32,1
32,2,13
32,27,3
32,11,1
32,34,2
32,14,5
29,27,15
29,11,28
2,34,40
2,14,1144
27,11,178
27,34,4
11,34,5
34,34,7
34,14,21
