Source,Target,Weight
31,25,57
31,15,20
31,19,1
31,0,70
31,16,6
31,1,20
31,8,4
31,26,29
31,30,23
31,33,5
31,28,51
31,17,29
31,3,78
31,13,62
31,20,33
31,32,3
31,2,94
31,34,2
31,14,52
6,5,61
6,23,68
6,19,5
6,24,81
6,22,93
6,7,170
6,8,10
6,10,91
6,9,111
6,12,63
6,33,4
6,18,97
6,21,51
6,4,48
6,29,9
6,27,41
6,11,89
6,34,2
25,15,51
25,19,3
25,0,161
25,16,22
25,1,50
25,8,6
25,26,73
25,30,58
25,33,6
25,28,132
25,17,78
25,3,166
25,13,167
25,20,61
25,32,4
25,2,203
25,34,4
25,14,134
5,23,50
5,19,1
5,24,52
5,22,60
5,7,98
5,8,6
5,10,41
5,9,57
5,12,56
5,33,4
5,18,45
5,21,29
5,4,41
5,32,1
5,29,5
5,27,30
5,11,49
5,34,3
23,19,1
23,24,60
23,22,65
23,7,109
23,8,6
23,10,49
23,9,69
23,12,54
23,33,5
23,18,62
23,21,27
23,4,36
23,32,2
23,29,3
23,27,36
23,11,61
23,34,4
15,0,61
15,16,19
15,1,15
15,8,1
15,26,33
15,30,22
15,33,5
15,28,53
15,17,32
15,3,63
15,13,62
15,20,34
15,2,79
15,34,7
15,14,56
19,24,1
19,0,1
19,22,5
19,7,3
19,10,3
19,9,1
19,12,2
19,28,1
19,18,2
19,17,1
19,21,1
19,3,1
19,13,2
19,4,3
19,2,1
19,27,1
19,11,3
19,14,1
24,22,93
24,7,127
24,8,6
24,10,74
24,9,80
24,12,68
24,33,2
24,18,70
24,21,32
24,4,40
24,32,3
24,29,5
24,27,49
24,11,74
24,34,1
0,16,19
0,1,49
0,8,8
0,26,80
0,30,57
0,33,14
0,28,148
0,17,67
0,3,180
0,13,173
0,20,87
0,32,6
0,2,258
0,34,4
0,14,155
22,7,173
22,8,11
22,10,77
22,9,95
22,12,56
22,33,5
22,18,87
22,21,29
22,4,50
22,32,1
22,29,3
22,27,35
22,11,96
16,1,12
16,26,7
16,30,13
16,28,15
16,17,9
16,3,18
16,13,27
16,20,11
16,32,1
16,2,25
16,14,16
1,8,1
1,26,31
1,30,18
1,33,2
1,28,40
1,17,19
1,3,44
1,13,55
1,20,19
1,2,69
1,34,1
1,14,38
7,8,16
7,10,123
7,9,158
7,12,106
7,33,7
7,18,142
7,21,49
7,4,67
7,32,2
7,29,9
7,27,66
7,11,130
7,34,4
8,8,14
8,10,10
8,30,2
8,9,8
8,12,8
8,33,10
8,28,10
8,18,6
8,17,1
8,21,1
8,3,7
8,13,4
8,20,6
8,4,2
8,32,1
8,29,1
8,2,13
8,27,6
8,11,12
8,34,5
8,14,5
26,30,36
26,33,3
26,28,57
26,17,29
26,3,90
26,13,86
26,20,52
26,32,1
26,2,99
26,34,1
26,14,75
10,9,81
10,12,62
10,33,4
10,18,74
10,21,26
10,4,54
10,32,2
10,29,3
10,27,38
10,11,52
10,34,3
30,33,3
30,28,58
30,17,25
30,3,53
30,13,69
30,20,34
30,32,2
30,2,83
30,34,3
30,14,60
9,12,73
9,33,5
9,18,81
9,21,30
9,4,44
9,32,1
9,29,3
9,27,32
9,11,86
9,34,3
12,33,1
12,18,58
12,21,21
12,4,45
12,32,3
12,29,3
12,27,40
12,11,55
12,34,2
33,28,13
33,18,4
33,17,4
33,21,3
33,3,6
33,13,12
33,20,7
33,4,2
33,2,13
33,27,1
33,11,4
33,34,3
33,14,10
28,17,66
28,3,146
28,13,137
28,20,79
28,32,3
28,2,215
28,34,2
28,14,120
18,21,29
18,4,39
18,32,4
18,29,7
18,27,33
18,11,71
18,34,4
17,3,90
17,13,92
17,20,49
17,32,2
17,2,113
17,34,2
17,14,101
21,4,17
21,29,4
21,27,18
21,11,22
21,34,1
3,13,152
3,20,82
3,32,5
3,2,228
3,34,4
3,14,118
13,20,107
13,32,4
13,2,225
13,34,5
13,14,155
20,32,3
20,2,122
20,34,2
20,14,67
4,29,6
4,27,32
4,11,50
4,34,4
32,2,2
32,11,2
32,14,2
29,27,6
29,11,7
2,34,6
2,14,194
27,11,34
27,34,2
11,34,4
34,34,4
34,14,4
