Source,Target,Weight
31,25,75
31,15,48
31,0,90
31,16,12
31,1,29
31,8,3
31,26,37
31,30,34
31,33,6
31,28,68
31,17,22
31,3,84
31,13,52
31,20,133
31,32,2
31,2,113
31,34,1
31,14,58
6,5,253
6,23,193
6,19,7
6,24,276
6,22,268
6,7,405
6,8,17
6,10,202
6,9,263
6,12,187
6,33,11
6,18,234
6,21,86
6,4,181
6,32,4
6,29,33
6,27,140
6,11,220
6,34,6
25,15,100
25,19,3
25,0,206
25,16,31
25,1,51
25,8,7
25,26,78
25,30,65
25,33,5
25,28,138
25,17,74
25,3,167
25,13,147
25,20,292
25,32,1
25,2,260
25,34,4
25,14,149
5,23,133
5,19,4
5,24,224
5,22,212
5,7,318
5,8,12
5,10,188
5,9,186
5,12,157
5,33,8
5,18,175
5,21,54
5,4,128
5,32,3
5,29,27
5,27,112
5,11,155
5,34,2
23,19,3
23,24,161
23,22,156
23,7,243
23,8,5
23,10,119
23,9,127
23,12,118
23,33,8
23,18,137
23,21,42
23,4,102
23,29,20
23,27,67
23,11,128
23,34,3
15,19,2
15,0,137
15,16,32
15,1,37
15,8,3
15,26,57
15,30,49
15,33,2
15,28,115
15,17,56
15,3,110
15,13,88
15,20,228
15,32,1
15,2,178
15,34,1
15,14,100
19,24,2
19,0,2
19,22,4
19,1,1
19,7,10
19,10,4
19,30,1
19,9,2
19,12,5
19,33,1
19,28,6
19,18,3
19,17,2
19,21,4
19,3,5
19,13,2
19,20,2
19,4,3
19,2,5
19,27,4
19,11,3
19,14,2
24,22,253
24,7,364
24,8,17
24,10,187
24,9,224
24,12,167
24,33,9
24,18,203
24,21,66
24,4,137
24,32,4
24,29,30
24,27,106
24,11,156
24,34,3
0,16,32
0,1,63
0,8,6
0,26,96
0,30,92
0,33,11
0,28,224
0,17,90
0,3,210
0,13,168
0,20,390
0,32,4
0,2,340
0,34,2
0,14,201
22,7,414
22,8,17
22,10,169
22,9,222
22,12,154
22,33,11
22,18,219
22,21,80
22,4,136
22,32,1
22,29,23
22,27,111
22,11,185
22,34,5
16,1,10
16,8,2
16,26,22
16,30,18
16,28,29
16,17,18
16,3,24
16,13,42
16,20,80
16,2,43
16,14,25
1,8,4
1,26,29
1,30,24
1,33,2
1,28,44
1,17,22
1,3,47
1,13,46
1,20,93
1,32,1
1,2,93
1,34,1
1,14,50
7,8,14
7,10,238
7,9,307
7,12,234
7,33,13
7,18,298
7,21,107
7,4,197
7,32,1
7,29,37
7,27,161
7,11,252
7,34,7
8,8,11
8,26,1
8,10,6
8,30,1
8,9,9
8,12,1
8,33,1
8,28,3
8,18,7
8,17,4
8,21,1
8,3,3
8,13,5
8,20,14
8,4,8
8,32,3
8,29,3
8,2,10
8,27,2
8,11,8
8,34,1
8,14,2
26,30,39
26,33,5
26,28,87
26,17,28
26,3,93
26,13,62
26,20,151
26,32,1
26,2,140
26,34,1
26,14,60
10,9,163
10,12,152
10,33,13
10,18,160
10,21,43
10,4,139
10,32,2
10,29,20
10,27,111
10,11,125
10,34,3
30,33,2
30,28,60
30,17,30
30,3,71
30,13,59
30,20,140
30,32,1
30,2,104
30,34,1
30,14,49
9,12,127
9,33,8
9,18,187
9,21,61
9,4,136
9,32,1
9,29,20
9,27,101
9,11,153
9,34,3
12,33,7
12,18,160
12,21,44
12,4,120
12,32,1
12,29,13
12,27,121
12,11,139
12,34,1
33,28,9
33,18,10
33,17,1
33,21,1
33,3,4
33,13,6
33,20,10
33,4,7
33,29,2
33,2,11
33,27,7
33,11,6
33,14,8
28,17,57
28,3,150
28,13,133
28,20,270
28,32,1
28,2,250
28,34,1
28,14,130
18,21,58
18,4,125
18,32,2
18,29,16
18,27,97
18,11,163
18,34,2
17,3,88
17,13,69
17,20,133
17,32,1
17,2,127
17,14,131
21,4,46
21,32,1
21,29,9
21,27,26
21,11,46
21,34,1
3,13,139
3,20,304
3,32,3
3,2,287
3,34,3
3,14,147
13,20,253
13,32,4
13,2,208
13,34,3
13,14,129
20,32,4
20,2,472
20,34,7
20,14,271
4,32,1
4,29,21
4,27,88
4,11,116
4,34,3
32,29,1
32,2,3
32,27,1
32,11,2
32,14,1
29,27,11
29,11,18
2,34,5
2,14,216
27,11,89
27,34,2
11,34,3
34,14,1
