Source,Target,Weight
31,25,84
31,15,27
31,19,2
31,0,93
31,16,11
31,1,24
31,8,5
31,26,43
31,30,37
31,33,2
31,28,72
31,17,31
31,3,82
31,13,102
31,20,37
31,32,4
31,2,126
31,34,3
31,14,73
6,5,150
6,23,128
6,19,4
6,24,180
6,22,193
6,7,294
6,8,12
6,10,180
6,9,196
6,12,153
6,33,13
6,18,178
6,21,69
6,4,101
6,32,3
6,29,13
6,27,94
6,11,157
6,34,5
25,15,84
25,19,1
25,0,242
25,16,25
25,1,89
25,8,9
25,26,116
25,30,97
25,33,5
25,28,183
25,17,105
25,3,247
25,13,257
25,20,101
25,32,5
25,2,335
25,34,6
25,14,181
5,23,93
5,19,1
5,24,126
5,22,129
5,7,198
5,8,12
5,10,125
5,9,120
5,12,95
5,33,5
5,18,97
5,21,32
5,4,66
5,32,1
5,29,9
5,27,67
5,11,125
5,34,6
23,19,2
23,24,102
23,22,110
23,7,171
23,8,9
23,10,90
23,9,106
23,12,66
23,33,6
23,18,91
23,21,32
23,4,70
23,32,3
23,29,9
23,27,37
23,11,92
23,34,2
15,19,5
15,0,93
15,16,20
15,1,34
15,8,2
15,26,41
15,30,31
15,33,4
15,28,75
15,17,49
15,3,88
15,13,104
15,20,45
15,32,1
15,2,132
15,34,1
15,14,80
19,19,2
19,24,2
19,0,4
19,22,4
19,16,2
19,1,1
19,7,5
19,8,7
19,26,4
19,30,3
19,9,3
19,33,2
19,28,3
19,18,2
19,17,3
19,3,2
19,13,3
19,20,3
19,32,3
19,29,1
19,2,5
19,27,1
19,11,1
19,34,1
19,14,4
24,22,216
24,7,295
24,8,9
24,10,147
24,9,173
24,12,137
24,33,4
24,18,162
24,21,53
24,4,80
24,29,10
24,27,69
24,11,119
24,34,2
0,16,28
0,1,91
0,8,7
0,26,115
0,30,93
0,33,9
0,28,218
0,17,108
0,3,247
0,13,270
0,20,114
0,32,3
0,2,396
0,34,6
0,14,218
22,7,356
22,8,15
22,10,148
22,9,201
22,12,142
22,33,7
22,18,189
22,21,46
22,4,77
22,32,1
22,29,10
22,27,75
22,11,178
22,34,3
16,1,12
16,8,1
16,26,15
16,30,15
16,33,2
16,28,27
16,17,11
16,3,26
16,13,53
16,20,20
16,2,49
16,14,31
1,8,2
1,26,40
1,30,29
1,33,6
1,28,87
1,17,28
1,3,90
1,13,105
1,20,39
1,2,139
1,34,1
1,14,77
7,8,14
7,10,230
7,9,281
7,12,205
7,33,13
7,18,264
7,21,81
7,4,126
7,32,2
7,29,9
7,27,119
7,11,241
7,34,5
8,8,8
8,26,3
8,10,5
8,30,1
8,9,8
8,12,7
8,33,3
8,28,5
8,18,7
8,17,3
8,21,8
8,3,6
8,13,6
8,20,4
8,4,9
8,32,3
8,2,15
8,27,4
8,11,6
8,34,1
8,14,4
26,30,44
26,33,3
26,28,80
26,17,39
26,3,120
26,13,118
26,20,52
26,32,3
26,2,161
26,14,88
10,9,136
10,12,121
10,33,6
10,18,128
10,21,46
10,4,78
10,32,3
10,29,9
10,27,65
10,11,114
10,34,1
30,33,6
30,28,94
30,17,34
30,3,103
30,13,118
30,20,51
30,32,1
30,2,132
30,34,1
30,14,79
9,12,111
9,33,4
9,18,160
9,21,64
9,4,73
9,32,5
9,29,8
9,27,66
9,11,153
9,34,4
12,33,7
12,18,126
12,21,44
12,4,68
12,32,1
12,29,6
12,27,77
12,11,113
12,34,1
33,33,1
33,28,11
33,18,9
33,17,3
33,21,4
33,3,3
33,13,11
33,20,7
33,4,10
33,29,1
33,2,11
33,27,7
33,11,7
33,14,9
28,17,85
28,3,196
28,13,227
28,20,101
28,32,2
28,2,303
28,34,5
28,14,173
18,21,52
18,4,65
18,32,2
18,29,12
18,27,77
18,11,136
18,34,3
17,3,114
17,13,117
17,20,31
17,32,3
17,2,172
17,34,2
17,14,156
21,4,28
21,32,3
21,29,2
21,27,22
21,11,43
21,34,2
3,13,249
3,20,88
3,32,5
3,2,362
3,34,3
3,14,193
13,20,149
13,32,6
13,2,381
13,34,4
13,14,222
20,32,3
20,2,147
20,34,4
20,14,82
4,32,2
4,29,10
4,27,36
4,11,74
4,34,1
32,29,1
32,2,8
32,27,1
32,11,1
32,34,2
32,14,4
29,27,5
29,11,4
2,34,10
2,14,304
27,11,58
27,34,2
11,34,1
34,34,1
34,14,1
