Source,Target,Weight
31,25,174
31,15,69
31,19,1
31,0,213
31,16,18
31,1,50
31,8,5
31,26,82
31,30,70
31,33,3
31,28,164
31,17,52
31,3,177
31,13,141
31,20,54
31,32,2
31,2,295
31,34,4
31,14,139
6,5,220
6,23,181
6,19,7
6,24,317
6,22,407
6,7,583
6,8,17
6,10,292
6,9,362
6,12,256
6,33,18
6,18,272
6,21,104
6,4,155
6,32,6
6,29,26
6,27,131
6,11,306
6,34,5
25,15,159
25,19,6
25,0,492
25,16,45
25,1,146
25,8,19
25,26,222
25,30,181
25,33,9
25,28,367
25,17,170
25,3,475
25,13,382
25,20,171
25,32,3
25,2,630
25,34,6
25,14,335
5,23,125
5,19,3
5,24,268
5,22,297
5,7,428
5,8,8
5,10,220
5,9,267
5,12,160
5,33,14
5,18,181
5,21,65
5,4,107
5,32,5
5,29,14
5,27,93
5,11,197
5,34,3
23,19,4
23,24,242
23,22,255
23,7,408
23,8,10
23,10,190
23,9,235
23,12,131
23,33,8
23,18,172
23,21,62
23,4,78
23,32,4
23,29,15
23,27,83
23,11,150
23,34,3
15,19,2
15,0,195
15,16,34
15,1,52
15,8,6
15,26,91
15,30,74
15,33,6
15,28,148
15,17,84
15,3,199
15,13,196
15,20,78
15,32,4
15,2,267
15,34,1
15,14,158
19,24,5
19,0,2
19,22,7
19,16,1
19,7,12
19,26,1
19,10,7
19,30,1
19,9,6
19,12,6
19,28,6
19,18,4
19,17,1
19,21,1
19,3,5
19,13,7
19,20,3
19,4,5
19,29,1
19,2,7
19,27,4
19,11,3
19,34,4
19,14,6
24,22,607
24,7,797
24,8,7
24,10,321
24,9,457
24,12,264
24,33,14
24,18,349
24,21,100
24,4,143
24,32,5
24,29,9
24,27,153
24,11,314
24,34,5
0,16,36
0,1,183
0,8,10
0,26,242
0,30,216
0,33,14
0,28,496
0,17,201
0,3,594
0,13,429
0,20,215
0,32,3
0,2,886
0,34,8
0,14,490
22,7,1042
22,8,23
22,10,374
22,9,647
22,12,295
22,33,17
22,18,476
22,21,149
22,4,163
22,32,7
22,29,25
22,27,169
22,11,468
22,34,4
16,1,20
16,8,4
16,26,27
16,30,25
16,33,1
16,28,45
16,17,13
16,3,59
16,13,61
16,20,37
16,32,1
16,2,69
16,14,52
1,8,9
1,26,75
1,30,74
1,33,3
1,28,144
1,17,68
1,3,157
1,13,146
1,20,65
1,32,1
1,2,281
1,34,2
1,14,136
7,8,31
7,10,542
7,9,860
7,12,443
7,33,31
7,18,642
7,21,202
7,4,270
7,32,6
7,29,39
7,27,272
7,11,659
7,34,4
8,8,20
8,26,9
8,10,10
8,30,5
8,9,15
8,12,8
8,33,1
8,28,11
8,18,11
8,17,4
8,21,4
8,3,12
8,13,11
8,20,7
8,4,7
8,32,4
8,29,1
8,2,23
8,27,7
8,11,12
8,34,3
8,14,11
26,30,107
26,33,9
26,28,196
26,17,103
26,3,254
26,13,183
26,20,114
26,32,2
26,2,360
26,34,7
26,14,187
10,9,325
10,12,221
10,33,13
10,18,238
10,21,93
10,4,150
10,32,1
10,29,18
10,27,112
10,11,252
30,33,3
30,28,168
30,17,107
30,3,233
30,13,217
30,20,93
30,32,1
30,2,324
30,14,186
9,12,284
9,33,17
9,18,380
9,21,110
9,4,129
9,32,1
9,29,23
9,27,137
9,11,371
9,34,2
12,33,10
12,18,171
12,21,57
12,4,133
12,32,4
12,29,11
12,27,138
12,11,184
12,34,1
33,33,1
33,28,18
33,18,16
33,17,3
33,21,11
33,3,10
33,13,16
33,20,13
33,4,9
33,32,1
33,29,5
33,2,19
33,27,6
33,11,14
33,34,2
33,14,10
28,17,186
28,3,461
28,13,372
28,20,197
28,32,4
28,2,699
28,34,7
28,14,361
18,21,76
18,4,140
18,32,3
18,29,16
18,27,115
18,11,285
18,34,3
17,3,264
17,13,219
17,20,93
17,32,4
17,2,359
17,34,1
17,14,384
21,4,44
21,32,2
21,29,7
21,27,51
21,11,93
21,34,1
3,13,437
3,20,166
3,32,2
3,2,772
3,34,8
3,14,404
13,20,246
13,32,5
13,2,602
13,34,9
13,14,395
20,2,308
20,34,4
20,14,171
4,32,2
4,29,14
4,27,73
4,11,105
4,34,2
32,29,1
32,2,6
32,27,1
32,11,3
32,14,8
29,27,20
29,11,22
2,34,16
2,14,700
27,11,130
27,34,3
11,34,2
34,14,3
