Source,Target,Weight
31,25,91
31,15,46
31,19,3
31,0,128
31,16,17
31,1,35
31,8,5
31,26,44
31,30,38
31,33,3
31,28,98
31,17,55
31,3,143
31,13,53
31,20,40
31,32,2
31,2,198
31,34,1
31,14,114
6,5,371
6,23,214
6,19,7
6,24,404
6,22,507
6,7,697
6,8,32
6,10,261
6,9,362
6,12,229
6,33,21
6,18,281
6,21,125
6,4,154
6,32,6
6,29,28
6,27,105
6,11,285
6,34,8
25,15,102
25,19,3
25,0,367
25,16,43
25,1,102
25,8,9
25,26,141
25,30,111
25,33,8
25,28,263
25,17,159
25,3,350
25,13,158
25,20,72
25,32,3
25,2,498
25,34,4
25,14,286
5,23,186
5,19,2
5,24,394
5,22,521
5,7,656
5,8,29
5,10,227
5,9,334
5,12,224
5,33,11
5,18,264
5,21,85
5,4,128
5,32,6
5,29,19
5,27,75
5,11,232
5,34,3
23,19,4
23,24,273
23,22,348
23,7,437
23,8,16
23,10,148
23,9,210
23,12,124
23,33,8
23,18,166
23,21,55
23,4,99
23,32,2
23,29,13
23,27,63
23,11,189
15,15,1
15,0,132
15,16,30
15,1,43
15,8,3
15,26,57
15,30,54
15,33,1
15,28,93
15,17,73
15,3,122
15,13,75
15,20,48
15,32,3
15,2,191
15,34,4
15,14,128
19,24,5
19,0,8
19,22,4
19,16,1
19,7,6
19,8,2
19,26,1
19,10,6
19,30,2
19,9,1
19,33,1
19,28,4
19,18,1
19,17,2
19,21,1
19,3,4
19,13,3
19,20,3
19,4,1
19,32,1
19,2,3
19,27,3
19,11,6
19,34,1
19,14,3
24,22,739
24,7,883
24,8,28
24,10,246
24,9,467
24,12,267
24,33,13
24,18,370
24,21,125
24,4,139
24,32,1
24,29,15
24,27,110
24,11,290
24,34,3
0,16,46
0,1,140
0,8,9
0,26,160
0,30,119
0,33,9
0,28,364
0,17,192
0,3,450
0,13,170
0,20,103
0,32,4
0,2,668
0,34,7
0,14,385
22,7,1241
22,8,39
22,10,313
22,9,646
22,12,341
22,33,11
22,18,518
22,21,152
22,4,163
22,32,7
22,29,19
22,27,114
22,11,457
22,34,3
16,1,9
16,8,1
16,26,16
16,30,16
16,28,51
16,17,22
16,3,41
16,13,35
16,20,23
16,32,2
16,2,77
16,34,2
16,14,42
1,8,3
1,26,38
1,30,31
1,28,97
1,17,54
1,3,124
1,13,52
1,20,25
1,32,1
1,2,194
1,34,3
1,14,101
7,8,47
7,10,434
7,9,805
7,12,444
7,33,19
7,18,647
7,21,215
7,4,227
7,32,7
7,29,27
7,27,143
7,11,582
7,34,4
8,8,29
8,26,2
8,10,18
8,30,4
8,9,19
8,12,12
8,33,9
8,28,11
8,18,26
8,17,3
8,21,7
8,3,8
8,13,5
8,20,3
8,4,9
8,32,2
8,29,2
8,2,16
8,27,5
8,11,12
8,34,1
8,14,6
26,30,63
26,33,3
26,28,115
26,17,81
26,3,167
26,13,69
26,20,43
26,2,231
26,34,2
26,14,139
10,9,216
10,12,166
10,33,5
10,18,167
10,21,77
10,4,110
10,32,5
10,29,11
10,27,62
10,11,168
10,34,2
30,30,1
30,33,1
30,28,86
30,17,65
30,3,108
30,13,63
30,20,47
30,32,1
30,2,168
30,34,1
30,14,89
9,12,206
9,33,9
9,18,355
9,21,102
9,4,121
9,32,1
9,29,12
9,27,69
9,11,282
9,34,2
12,33,5
12,18,184
12,21,71
12,4,97
12,32,5
12,29,12
12,27,72
12,11,146
12,34,3
33,33,7
33,28,5
33,18,11
33,17,1
33,21,5
33,3,12
33,13,4
33,20,4
33,4,8
33,32,2
33,2,10
33,27,4
33,11,10
33,34,4
33,14,2
28,17,168
28,3,332
28,13,142
28,20,105
28,32,4
28,2,525
28,34,6
28,14,298
18,21,81
18,4,94
18,29,16
18,27,66
18,11,227
18,34,3
17,3,270
17,13,80
17,20,39
17,32,2
17,2,356
17,34,4
17,14,335
21,4,44
21,32,1
21,29,2
21,27,26
21,11,66
3,13,147
3,20,78
3,32,1
3,2,614
3,34,3
3,14,366
13,20,70
13,32,4
13,2,216
13,34,8
13,14,140
20,32,1
20,2,152
20,14,93
4,32,2
4,29,13
4,27,46
4,11,87
4,34,3
32,29,1
32,2,6
32,27,1
32,11,6
32,14,3
29,27,7
29,11,14
29,34,1
2,34,11
2,14,570
27,11,68
27,34,1
11,34,6
34,34,3
34,14,6
