Source,Target,Weight
31,25,246
31,15,97
31,19,5
31,0,347
31,16,20
31,1,86
31,8,3
31,26,111
31,30,73
31,33,7
31,28,237
31,17,117
31,3,296
31,13,125
31,20,75
31,32,2
31,2,479
31,34,5
31,14,297
6,5,556
6,23,370
6,19,13
6,24,560
6,22,829
6,7,1033
6,8,39
6,10,476
6,9,617
6,12,386
6,33,23
6,18,523
6,21,175
6,4,272
6,32,10
6,29,50
6,27,187
6,11,487
6,34,8
25,15,229
25,19,4
25,0,848
25,16,77
25,1,219
25,8,14
25,26,327
25,30,191
25,33,10
25,28,543
25,17,327
25,3,730
25,13,289
25,20,153
25,32,11
25,2,1066
25,34,14
25,14,657
5,23,340
5,19,11
5,24,544
5,22,819
5,7,1024
5,8,28
5,10,436
5,9,560
5,12,401
5,33,22
5,18,462
5,21,162
5,4,229
5,32,13
5,29,40
5,27,190
5,11,360
5,34,1
23,19,10
23,24,409
23,22,554
23,7,690
23,8,17
23,10,288
23,9,377
23,12,218
23,33,17
23,18,338
23,21,110
23,4,167
23,32,8
23,29,31
23,27,120
23,11,298
23,34,4
15,19,3
15,0,334
15,16,44
15,1,100
15,8,6
15,26,138
15,30,90
15,33,1
15,28,213
15,17,172
15,3,275
15,13,135
15,20,78
15,32,2
15,2,445
15,34,10
15,14,338
19,19,5
19,24,9
19,0,11
19,22,11
19,1,3
19,7,19
19,8,5
19,26,5
19,10,6
19,30,3
19,9,7
19,12,4
19,33,4
19,28,7
19,18,6
19,17,3
19,21,6
19,3,9
19,13,3
19,20,3
19,4,3
19,2,17
19,27,2
19,11,10
19,14,10
24,22,969
24,7,1160
24,8,36
24,10,395
24,9,650
24,12,408
24,33,20
24,18,517
24,21,150
24,4,212
24,32,9
24,29,32
24,27,181
24,11,420
24,34,6
0,16,85
0,1,308
0,8,20
0,26,413
0,30,255
0,33,26
0,28,801
0,17,497
0,3,1047
0,13,402
0,20,222
0,32,12
0,2,1633
0,34,25
0,14,1049
22,7,1829
22,8,80
22,10,579
22,9,1026
22,12,553
22,33,29
22,18,885
22,21,264
22,4,294
22,32,10
22,29,54
22,27,265
22,11,782
22,34,10
16,1,26
16,8,3
16,26,44
16,30,31
16,33,3
16,28,66
16,17,40
16,3,88
16,13,69
16,20,43
16,2,113
16,34,2
16,14,80
1,8,4
1,26,118
1,30,56
1,33,4
1,28,198
1,17,127
1,3,267
1,13,96
1,20,50
1,32,4
1,2,452
1,34,4
1,14,236
7,8,85
7,10,779
7,9,1226
7,12,717
7,33,30
7,18,1054
7,21,322
7,4,374
7,32,13
7,29,66
7,27,357
7,11,935
7,34,13
8,8,34
8,26,10
8,10,38
8,30,9
8,9,44
8,12,22
8,33,13
8,28,15
8,18,46
8,17,7
8,21,8
8,3,20
8,13,10
8,20,9
8,4,10
8,32,9
8,29,4
8,2,29
8,27,14
8,11,43
8,34,10
8,14,15
26,30,115
26,33,9
26,28,269
26,17,187
26,3,393
26,13,194
26,20,122
26,32,1
26,2,591
26,34,7
26,14,345
10,9,416
10,12,317
10,33,17
10,18,410
10,21,152
10,4,222
10,32,8
10,29,19
10,27,175
10,11,341
10,34,2
30,33,4
30,28,178
30,17,93
30,3,205
30,13,110
30,20,67
30,32,2
30,2,341
30,34,4
30,14,221
9,12,400
9,33,21
9,18,575
9,21,165
9,4,242
9,32,10
9,29,28
9,27,169
9,11,497
9,34,6
12,33,13
12,18,357
12,21,97
12,4,194
12,32,5
12,29,31
12,27,173
12,11,274
12,34,6
33,33,1
33,28,19
33,18,22
33,17,8
33,21,11
33,3,11
33,13,8
33,20,10
33,4,13
33,32,2
33,29,2
33,2,28
33,27,4
33,11,14
33,34,2
33,14,19
28,17,327
28,3,681
28,13,267
28,20,213
28,32,13
28,2,1103
28,34,16
28,14,690
18,21,150
18,4,201
18,32,5
18,29,23
18,27,153
18,11,472
18,34,4
17,3,506
17,13,174
17,20,126
17,32,1
17,2,757
17,34,9
17,14,744
21,4,69
21,32,2
21,29,16
21,27,44
21,11,103
21,34,1
3,13,301
3,20,197
3,32,4
3,2,1388
3,34,15
3,14,777
13,20,142
13,32,6
13,2,472
13,34,9
13,14,329
20,32,4
20,2,343
20,34,4
20,14,254
4,32,4
4,29,23
4,27,108
4,11,192
4,34,5
32,29,1
32,2,13
32,11,7
32,34,2
32,14,10
29,27,20
29,11,29
29,34,1
2,34,32
2,14,1418
27,11,133
11,34,7
34,14,19
