Source,Target,Weight
31,25,94
31,15,37
31,19,3
31,0,122
31,16,14
31,1,30
31,8,3
31,26,62
31,30,38
31,33,5
31,28,63
31,17,37
31,3,106
31,13,90
31,20,49
31,32,3
31,2,150
31,34,1
31,14,81
6,5,163
6,23,137
6,19,3
6,24,190
6,22,205
6,7,318
6,8,15
6,10,173
6,9,209
6,12,147
6,33,9
6,18,146
6,21,64
6,4,128
6,32,1
6,29,28
6,27,115
6,11,175
6,34,3
25,15,88
25,19,4
25,0,256
25,16,32
25,1,79
25,8,6
25,26,126
25,30,107
25,33,11
25,28,192
25,17,82
25,3,251
25,13,253
25,20,173
25,32,3
25,2,332
25,34,4
25,14,193
5,23,105
5,19,4
5,24,130
5,22,133
5,7,225
5,8,5
5,10,118
5,9,132
5,12,105
5,33,9
5,18,109
5,21,49
5,4,91
5,29,19
5,27,71
5,11,97
5,34,5
23,19,4
23,24,113
23,22,137
23,7,209
23,8,11
23,10,116
23,9,114
23,12,89
23,33,4
23,18,88
23,21,42
23,4,75
23,32,1
23,29,20
23,27,57
23,11,102
15,0,96
15,16,18
15,1,18
15,8,4
15,26,39
15,30,28
15,33,2
15,28,66
15,17,35
15,3,93
15,13,86
15,20,76
15,32,1
15,2,144
15,34,1
15,14,67
19,19,1
19,24,4
19,0,4
19,16,1
19,7,5
19,8,2
19,26,1
19,10,5
19,30,1
19,9,4
19,12,3
19,33,1
19,28,4
19,18,2
19,17,1
19,21,2
19,3,3
19,13,5
19,20,2
19,4,2
19,32,3
19,2,4
19,27,1
19,11,2
19,34,2
19,14,3
24,22,164
24,7,267
24,8,6
24,10,108
24,9,156
24,12,110
24,33,1
24,18,108
24,21,58
24,4,77
24,29,18
24,27,75
24,11,122
24,34,1
0,16,31
0,1,62
0,8,10
0,26,121
0,30,90
0,33,10
0,28,203
0,17,93
0,3,243
0,13,239
0,20,168
0,32,4
0,2,363
0,34,2
0,14,208
22,7,330
22,8,9
22,10,132
22,9,184
22,12,114
22,33,5
22,18,125
22,21,50
22,4,85
22,32,2
22,29,12
22,27,91
22,11,126
22,34,1
16,1,12
16,8,1
16,26,20
16,30,10
16,33,2
16,28,27
16,17,9
16,3,33
16,13,27
16,20,35
16,32,3
16,2,37
16,14,25
1,8,4
1,26,44
1,30,35
1,33,2
1,28,78
1,17,21
1,3,63
1,13,82
1,20,59
1,2,116
1,34,1
1,14,57
7,8,18
7,10,211
7,9,283
7,12,209
7,33,9
7,18,199
7,21,90
7,4,158
7,32,4
7,29,26
7,27,165
7,11,209
7,34,3
8,8,13
8,26,7
8,10,7
8,30,3
8,9,8
8,12,8
8,33,6
8,28,9
8,18,7
8,17,6
8,21,3
8,3,8
8,13,9
8,20,5
8,4,9
8,32,5
8,29,1
8,2,12
8,27,4
8,11,9
8,34,2
8,14,7
26,30,54
26,33,5
26,28,90
26,17,47
26,3,116
26,13,126
26,20,83
26,32,2
26,2,158
26,34,4
26,14,80
10,9,146
10,12,109
10,33,6
10,18,93
10,21,41
10,4,85
10,32,2
10,29,16
10,27,60
10,11,101
10,34,2
30,33,1
30,28,76
30,17,35
30,3,101
30,13,113
30,20,75
30,2,125
30,34,2
30,14,59
9,12,99
9,33,8
9,18,119
9,21,52
9,4,91
9,32,2
9,29,13
9,27,81
9,11,133
9,34,2
12,33,9
12,18,83
12,21,35
12,4,83
12,32,1
12,29,16
12,27,91
12,11,88
12,34,3
33,28,9
33,18,5
33,17,4
33,21,2
33,3,8
33,13,10
33,20,10
33,4,5
33,29,2
33,2,11
33,27,7
33,11,8
33,14,7
28,17,67
28,3,186
28,13,212
28,20,136
28,32,3
28,2,291
28,34,5
28,14,170
18,21,39
18,4,75
18,32,3
18,29,10
18,27,53
18,11,93
18,34,4
17,3,110
17,13,90
17,20,55
17,32,2
17,2,134
17,34,3
17,14,108
21,4,32
21,32,1
21,29,4
21,27,23
21,11,40
21,34,2
3,13,218
3,20,141
3,32,1
3,2,340
3,34,3
3,14,154
13,20,188
13,32,3
13,2,319
13,34,6
13,14,201
20,32,2
20,2,230
20,34,2
20,14,131
4,32,2
4,29,16
4,27,51
4,11,77
4,34,1
32,2,3
32,11,1
32,34,1
32,14,5
29,27,9
29,11,20
29,34,1
2,34,4
2,14,260
27,11,69
27,34,2
11,34,2
34,14,2
