Source,Target,Weight
31,25,292
31,15,153
31,19,2
31,0,430
31,16,19
31,1,118
31,8,9
31,26,126
31,30,100
31,33,7
31,28,218
31,17,99
31,3,463
31,13,157
31,20,129
31,2,588
31,34,11
31,14,282
6,5,524
6,23,420
6,19,10
6,24,699
6,22,891
6,7,1303
6,8,57
6,10,455
6,9,846
6,12,361
6,33,29
6,18,648
6,21,234
6,4,293
6,32,4
6,29,55
6,27,251
6,11,535
6,34,12
25,15,406
25,19,6
25,0,992
25,16,86
25,1,279
25,8,19
25,26,360
25,30,274
25,33,26
25,28,693
25,17,279
25,3,1130
25,13,448
25,20,347
25,32,3
25,2,1357
25,34,14
25,14,762
5,23,287
5,19,12
5,24,527
5,22,623
5,7,917
5,8,25
5,10,280
5,9,527
5,12,265
5,33,21
5,18,442
5,21,178
5,4,185
5,32,4
5,29,43
5,27,175
5,11,329
5,34,5
23,19,10
23,24,488
23,22,586
23,7,874
23,8,28
23,10,256
23,9,508
23,12,210
23,33,17
23,18,408
23,21,131
23,4,203
23,32,4
23,29,32
23,27,154
23,11,356
23,34,7
15,19,1
15,0,513
15,16,65
15,1,139
15,8,13
15,26,154
15,30,142
15,33,11
15,28,292
15,17,194
15,3,596
15,13,203
15,20,245
15,32,3
15,2,715
15,34,5
15,14,489
19,24,5
19,0,12
19,22,10
19,16,4
19,1,3
19,7,16
19,8,5
19,26,4
19,10,11
19,30,3
19,9,13
19,12,5
19,33,1
19,28,9
19,18,11
19,17,1
19,21,4
19,3,12
19,13,5
19,20,8
19,4,12
19,32,1
19,29,1
19,2,15
19,27,10
19,11,8
19,34,2
19,14,7
24,22,1117
24,7,1516
24,8,34
24,10,420
24,9,946
24,12,382
24,33,33
24,18,767
24,21,252
24,4,253
24,32,4
24,29,32
24,27,194
24,11,546
24,34,3
0,16,102
0,1,364
0,8,39
0,26,402
0,30,318
0,33,25
0,28,885
0,17,314
0,3,1468
0,13,475
0,20,480
0,32,8
0,2,1833
0,34,27
0,14,997
22,7,2005
22,8,72
22,10,480
22,9,1254
22,12,430
22,33,27
22,18,996
22,21,327
22,4,288
22,32,8
22,29,56
22,27,232
22,11,751
22,34,12
16,1,34
16,8,6
16,26,41
16,30,34
16,33,3
16,28,78
16,17,33
16,3,96
16,13,93
16,20,86
16,32,1
16,2,137
16,34,1
16,14,81
1,8,5
1,26,116
1,30,99
1,33,4
1,28,236
1,17,91
1,3,395
1,13,150
1,20,134
1,32,2
1,2,538
1,34,5
1,14,258
7,8,96
7,10,749
7,9,1687
7,12,630
7,33,55
7,18,1428
7,21,479
7,4,478
7,32,8
7,29,92
7,27,385
7,11,1097
7,34,20
8,8,51
8,26,14
8,10,33
8,30,8
8,9,58
8,12,12
8,33,24
8,28,25
8,18,53
8,17,9
8,21,15
8,3,40
8,13,16
8,20,18
8,4,21
8,32,4
8,29,7
8,2,49
8,27,14
8,11,41
8,34,15
8,14,22
26,30,128
26,33,19
26,28,297
26,17,119
26,3,485
26,13,206
26,20,223
26,32,4
26,2,566
26,34,6
26,14,313
10,9,445
10,12,233
10,33,14
10,18,348
10,21,142
10,4,200
10,32,3
10,29,37
10,27,155
10,11,274
10,34,8
30,33,11
30,28,218
30,17,116
30,3,380
30,13,181
30,20,160
30,32,1
30,2,438
30,34,9
30,14,245
9,12,386
9,33,32
9,18,831
9,21,294
9,4,276
9,32,8
9,29,58
9,27,239
9,11,637
9,34,10
12,33,11
12,18,308
12,21,125
12,4,168
12,32,5
12,29,34
12,27,170
12,11,215
12,34,8
33,33,2
33,28,22
33,18,27
33,17,12
33,21,10
33,3,34
33,13,21
33,20,14
33,4,4
33,32,1
33,29,1
33,2,51
33,27,7
33,11,20
33,34,6
33,14,27
28,17,206
28,3,970
28,13,384
28,20,353
28,32,7
28,2,1256
28,34,17
28,14,654
18,21,269
18,4,239
18,32,5
18,29,46
18,27,192
18,11,531
18,34,8
17,3,462
17,13,172
17,20,155
17,32,2
17,2,505
17,34,5
17,14,485
21,4,78
21,32,2
21,29,17
21,27,73
21,11,156
21,34,1
3,13,521
3,20,479
3,32,5
3,2,2021
3,34,26
3,14,1116
13,20,328
13,32,5
13,2,671
13,34,7
13,14,410
20,32,2
20,2,644
20,34,9
20,14,397
4,32,3
4,29,37
4,27,123
4,11,186
4,34,7
32,29,3
32,2,7
32,27,3
32,11,5
32,14,5
29,27,25
29,11,44
29,34,2
2,34,33
2,14,1426
27,11,147
27,34,8
11,34,7
34,34,3
34,14,16
14,14,1
