Source,Target,Weight
31,25,78
31,15,28
31,19,3
31,0,91
31,16,18
31,1,29
31,8,3
31,26,41
31,30,31
31,33,3
31,28,89
31,17,16
31,3,73
31,13,93
31,20,38
31,32,1
31,2,115
31,34,2
31,14,31
6,5,182
6,23,126
6,19,6
6,24,156
6,22,144
6,7,293
6,8,11
6,10,186
6,9,160
6,12,112
6,33,11
6,18,126
6,21,62
6,4,118
6,32,1
6,29,20
6,27,93
6,11,148
6,34,4
25,15,81
25,19,4
25,0,237
25,16,38
25,1,77
25,8,12
25,26,113
25,30,93
25,33,4
25,28,207
25,17,64
25,3,202
25,13,227
25,20,111
25,32,4
25,2,304
25,34,6
25,14,109
5,23,94
5,19,4
5,24,129
5,22,135
5,7,232
5,8,12
5,10,140
5,9,136
5,12,102
5,33,12
5,18,117
5,21,56
5,4,72
5,32,2
5,29,17
5,27,66
5,11,107
5,34,3
23,24,103
23,22,111
23,7,183
23,8,9
23,10,101
23,9,110
23,12,63
23,33,5
23,18,87
23,21,32
23,4,74
23,29,7
23,27,52
23,11,74
23,34,2
15,19,2
15,0,84
15,16,24
15,1,19
15,8,5
15,26,30
15,30,25
15,33,2
15,28,64
15,17,24
15,3,60
15,13,78
15,20,58
15,32,1
15,2,102
15,34,1
15,14,57
19,19,2
19,24,6
19,0,3
19,22,2
19,7,5
19,10,7
19,30,1
19,9,1
19,12,3
19,33,3
19,18,5
19,21,1
19,3,2
19,13,2
19,20,3
19,4,3
19,29,1
19,2,4
19,27,2
19,11,3
19,14,2
24,22,169
24,7,272
24,8,12
24,10,131
24,9,141
24,12,118
24,33,7
24,18,123
24,21,54
24,4,82
24,32,1
24,29,13
24,27,66
24,11,106
24,34,1
0,16,29
0,1,86
0,8,7
0,26,113
0,30,97
0,33,8
0,28,218
0,17,86
0,3,215
0,13,237
0,20,134
0,32,1
0,2,338
0,34,5
0,14,134
22,7,284
22,8,12
22,10,134
22,9,148
22,12,105
22,33,7
22,18,127
22,21,43
22,4,71
22,32,1
22,29,11
22,27,63
22,11,131
22,34,4
16,1,5
16,26,15
16,30,11
16,33,1
16,28,28
16,17,4
16,3,24
16,13,38
16,20,17
16,32,1
16,2,32
16,14,20
1,8,2
1,26,35
1,30,29
1,33,2
1,28,77
1,17,20
1,3,81
1,13,80
1,20,45
1,32,3
1,2,121
1,34,2
1,14,28
7,8,20
7,10,225
7,9,222
7,12,169
7,33,9
7,18,205
7,21,87
7,4,141
7,32,1
7,29,29
7,27,113
7,11,203
7,34,6
8,8,9
8,26,5
8,10,14
8,30,1
8,9,10
8,12,8
8,33,1
8,28,10
8,18,12
8,17,2
8,21,5
8,3,5
8,13,8
8,20,5
8,4,7
8,32,3
8,29,2
8,2,8
8,27,4
8,11,8
8,34,10
8,14,2
26,30,51
26,33,2
26,28,105
26,17,41
26,3,97
26,13,115
26,20,60
26,32,1
26,2,155
26,34,1
26,14,64
10,9,117
10,12,89
10,33,7
10,18,98
10,21,49
10,4,94
10,29,17
10,27,67
10,11,103
10,34,3
30,33,1
30,28,79
30,17,34
30,3,80
30,13,96
30,20,50
30,32,1
30,2,125
30,34,2
30,14,44
9,12,101
9,33,6
9,18,110
9,21,48
9,4,67
9,32,2
9,29,11
9,27,64
9,11,105
9,34,3
12,33,5
12,18,75
12,21,32
12,4,56
12,29,6
12,27,64
12,11,73
12,34,1
33,28,9
33,18,7
33,17,1
33,21,3
33,3,3
33,13,4
33,20,5
33,4,4
33,29,2
33,2,9
33,27,4
33,11,6
33,14,3
28,17,68
28,3,187
28,13,203
28,20,113
28,32,2
28,2,269
28,14,128
18,21,48
18,4,62
18,32,1
18,29,8
18,27,60
18,11,93
18,34,2
17,3,68
17,13,71
17,20,46
17,2,106
17,34,1
17,14,61
21,4,22
21,32,1
21,29,2
21,27,20
21,11,37
3,13,191
3,20,72
3,2,290
3,34,2
3,14,78
13,20,138
13,32,2
13,2,293
13,34,5
13,14,150
20,32,1
20,2,151
20,14,71
4,32,3
4,29,16
4,27,43
4,11,79
4,34,2
32,32,6
32,2,2
32,27,1
32,11,2
32,34,5
32,14,2
29,27,12
29,11,14
2,34,5
2,14,180
27,11,58
27,34,1
11,34,2
