Source,Target,Weight
31,25,215
31,15,57
31,19,3
31,0,276
31,16,11
31,1,87
31,8,5
31,26,122
31,30,88
31,33,6
31,28,211
31,17,41
31,3,205
31,13,183
31,20,93
31,32,3
31,2,378
31,34,1
31,14,97
6,5,321
6,23,288
6,19,7
6,24,467
6,22,540
6,7,822
6,8,28
6,10,369
6,9,509
6,12,264
6,33,6
6,18,332
6,21,130
6,4,174
6,32,3
6,29,26
6,27,175
6,11,377
6,34,4
25,15,146
25,19,8
25,0,664
25,16,50
25,1,205
25,8,21
25,26,296
25,30,254
25,33,16
25,28,515
25,17,146
25,3,529
25,13,436
25,20,199
25,32,4
25,2,888
25,34,14
25,14,269
5,23,210
5,19,7
5,24,405
5,22,398
5,7,609
5,8,27
5,10,255
5,9,356
5,12,205
5,33,6
5,18,246
5,21,106
5,4,131
5,32,4
5,29,16
5,27,132
5,11,246
5,34,4
23,19,5
23,24,357
23,22,424
23,7,626
23,8,17
23,10,216
23,9,361
23,12,157
23,33,11
23,18,270
23,21,83
23,4,123
23,32,3
23,29,21
23,27,98
23,11,274
23,34,2
15,19,2
15,0,157
15,16,26
15,1,58
15,8,3
15,26,88
15,30,69
15,33,2
15,28,139
15,17,41
15,3,153
15,13,133
15,20,74
15,32,2
15,2,248
15,14,96
19,24,5
19,0,6
19,22,9
19,16,1
19,1,1
19,7,6
19,8,5
19,26,2
19,10,6
19,30,2
19,9,5
19,12,2
19,33,1
19,28,4
19,18,5
19,17,4
19,21,1
19,3,6
19,13,5
19,20,3
19,4,2
19,29,1
19,2,9
19,27,5
19,11,3
19,34,1
19,14,1
24,22,751
24,7,1121
24,8,34
24,10,414
24,9,622
24,12,290
24,33,16
24,18,484
24,21,182
24,4,173
24,32,3
24,29,21
24,27,163
24,11,460
24,34,5
0,16,59
0,1,277
0,8,19
0,26,313
0,30,300
0,33,20
0,28,679
0,17,150
0,3,644
0,13,456
0,20,279
0,32,6
0,2,1175
0,34,13
0,14,336
22,7,1387
22,8,47
22,10,405
22,9,820
22,12,282
22,33,17
22,18,606
22,21,163
22,4,173
22,32,5
22,29,24
22,27,164
22,11,615
22,34,4
16,1,15
16,8,2
16,26,37
16,30,24
16,33,1
16,28,55
16,17,22
16,3,60
16,13,65
16,20,40
16,32,2
16,2,91
16,14,32
1,8,7
1,26,99
1,30,99
1,33,5
1,28,235
1,17,47
1,3,180
1,13,164
1,20,92
1,32,3
1,2,423
1,34,1
1,14,107
7,8,73
7,10,674
7,9,1157
7,12,461
7,33,22
7,18,844
7,21,271
7,4,276
7,32,6
7,29,45
7,27,277
7,11,851
7,34,11
8,8,45
8,26,8
8,10,25
8,30,7
8,9,41
8,12,14
8,33,15
8,28,22
8,18,28
8,17,3
8,21,5
8,3,14
8,13,15
8,20,11
8,4,5
8,32,5
8,29,5
8,2,29
8,27,4
8,11,34
8,34,11
8,14,8
26,30,147
26,33,9
26,28,262
26,17,83
26,3,254
26,13,249
26,20,134
26,32,3
26,2,490
26,34,5
26,14,137
10,9,411
10,12,199
10,33,9
10,18,303
10,21,112
10,4,157
10,32,2
10,29,21
10,27,109
10,11,295
10,34,4
30,33,6
30,28,241
30,17,69
30,3,259
30,13,202
30,20,131
30,32,1
30,2,436
30,34,1
30,14,120
9,12,240
9,33,12
9,18,472
9,21,160
9,4,175
9,32,10
9,29,28
9,27,143
9,11,503
9,34,5
12,33,6
12,18,215
12,21,90
12,4,121
12,29,20
12,27,128
12,11,214
12,34,3
33,33,4
33,28,17
33,18,8
33,17,3
33,21,3
33,3,10
33,13,8
33,20,8
33,4,8
33,32,1
33,29,1
33,2,28
33,27,3
33,11,13
33,34,3
33,14,10
28,17,141
28,3,514
28,13,415
28,20,231
28,32,10
28,2,968
28,34,7
28,14,251
18,21,124
18,4,127
18,32,1
18,29,23
18,27,137
18,11,366
18,34,5
17,3,137
17,13,141
17,20,75
17,32,1
17,2,236
17,34,4
17,14,117
21,4,55
21,32,1
21,29,10
21,27,54
21,11,102
21,34,3
3,13,375
3,20,217
3,32,5
3,2,905
3,34,9
3,14,232
13,20,277
13,32,2
13,2,672
13,34,8
13,14,270
20,32,6
20,2,398
20,34,3
20,14,153
4,32,2
4,29,20
4,27,71
4,11,140
4,34,4
32,32,1
32,2,10
32,27,4
32,11,1
32,34,4
32,14,3
29,27,13
29,11,29
2,2,1
2,34,13
2,14,445
27,11,132
27,34,2
11,34,3
34,34,1
34,14,5
