Source,Target,Weight
31,25,303
31,15,125
31,19,2
31,0,322
31,16,25
31,1,81
31,8,13
31,26,141
31,30,106
31,33,3
31,28,259
31,17,176
31,3,323
31,13,173
31,20,102
31,32,2
31,2,511
31,34,6
31,14,357
6,5,569
6,23,323
6,19,13
6,24,484
6,22,772
6,7,907
6,8,41
6,10,386
6,9,614
6,12,363
6,33,27
6,18,440
6,21,137
6,4,243
6,32,7
6,29,30
6,27,174
6,11,464
6,34,6
25,15,249
25,19,8
25,0,806
25,16,66
25,1,240
25,8,23
25,26,318
25,30,247
25,33,19
25,28,572
25,17,448
25,3,745
25,13,479
25,20,223
25,32,4
25,2,1103
25,34,10
25,14,869
5,23,391
5,19,11
5,24,716
5,22,1212
5,7,1352
5,8,39
5,10,455
5,9,880
5,12,457
5,33,18
5,18,595
5,21,187
5,4,256
5,32,9
5,29,48
5,27,211
5,11,585
5,34,4
23,19,12
23,24,396
23,22,586
23,7,737
23,8,24
23,10,248
23,9,460
23,12,235
23,33,8
23,18,324
23,21,90
23,4,152
23,32,8
23,29,22
23,27,135
23,11,349
23,34,3
15,19,3
15,0,355
15,16,47
15,1,115
15,8,17
15,26,127
15,30,130
15,33,4
15,28,233
15,17,250
15,3,300
15,13,221
15,20,162
15,32,4
15,2,500
15,34,4
15,14,415
19,19,1
19,24,5
19,0,4
19,22,8
19,1,4
19,7,18
19,8,5
19,26,6
19,10,3
19,30,4
19,9,12
19,12,4
19,33,4
19,28,6
19,18,11
19,17,2
19,21,3
19,3,6
19,13,3
19,20,6
19,4,5
19,29,1
19,2,10
19,27,5
19,11,8
19,34,2
19,14,9
24,22,1179
24,7,1314
24,8,37
24,10,352
24,9,887
24,12,452
24,33,28
24,18,592
24,21,163
24,4,220
24,32,1
24,29,28
24,27,198
24,11,539
24,34,5
0,16,90
0,1,276
0,8,28
0,26,416
0,30,307
0,33,22
0,28,822
0,17,678
0,3,1024
0,13,586
0,20,355
0,32,7
0,2,1643
0,34,20
0,14,1303
22,7,2192
22,8,61
22,10,570
22,9,1411
22,12,572
22,33,29
22,18,984
22,21,261
22,4,323
22,32,16
22,29,40
22,27,275
22,11,1037
22,34,11
16,1,23
16,8,2
16,26,28
16,30,28
16,33,2
16,28,52
16,17,41
16,3,69
16,13,70
16,20,49
16,2,120
16,34,1
16,14,82
1,8,5
1,26,118
1,30,75
1,33,8
1,28,205
1,17,167
1,3,270
1,13,155
1,20,87
1,2,440
1,34,10
1,14,318
7,8,83
7,10,678
7,9,1591
7,12,711
7,33,33
7,18,1129
7,21,294
7,4,399
7,32,16
7,29,52
7,27,371
7,11,1170
7,34,8
8,8,20
8,26,12
8,10,25
8,30,8
8,9,51
8,12,19
8,33,16
8,28,22
8,18,29
8,17,19
8,21,9
8,3,32
8,13,18
8,20,10
8,4,14
8,32,6
8,29,2
8,2,42
8,27,11
8,11,40
8,34,17
8,14,24
26,30,158
26,33,7
26,28,333
26,17,270
26,3,423
26,13,231
26,20,164
26,32,3
26,2,628
26,34,7
26,14,519
10,9,463
10,12,298
10,33,15
10,18,305
10,21,101
10,4,187
10,32,4
10,29,23
10,27,145
10,11,334
10,34,5
30,33,8
30,28,213
30,17,218
30,3,315
30,13,211
30,20,128
30,32,3
30,2,448
30,34,4
30,14,359
9,12,477
9,33,20
9,18,705
9,21,199
9,4,257
9,32,7
9,29,31
9,27,244
9,11,763
9,34,4
12,33,7
12,18,324
12,21,97
12,4,186
12,32,2
12,29,29
12,27,194
12,11,297
12,34,1
33,33,3
33,28,20
33,18,16
33,17,13
33,21,5
33,3,14
33,13,14
33,20,8
33,4,10
33,29,1
33,2,32
33,27,5
33,11,18
33,34,5
33,14,24
28,17,499
28,3,697
28,13,457
28,20,289
28,32,6
28,2,1201
28,34,19
28,14,864
18,21,115
18,4,185
18,32,8
18,29,35
18,27,186
18,11,532
18,34,6
17,3,734
17,13,331
17,20,199
17,2,1079
17,34,9
17,14,1228
21,4,48
21,32,1
21,29,12
21,27,50
21,11,127
21,34,7
3,13,494
3,20,296
3,32,7
3,2,1460
3,34,21
3,14,1006
13,20,271
13,32,7
13,2,731
13,34,7
13,14,622
20,32,4
20,2,500
20,34,6
20,14,384
4,32,3
4,29,25
4,27,105
4,11,205
4,34,2
32,29,1
32,2,9
32,11,6
32,34,1
32,14,9
29,27,18
29,11,18
2,34,38
2,14,1828
27,11,193
27,34,2
11,34,4
34,34,4
34,14,18
