Source,Target,Weight
31,25,74
31,15,39
31,19,4
31,0,108
31,16,10
31,1,41
31,8,4
31,26,40
31,30,46
31,33,3
31,28,65
31,17,55
31,3,105
31,13,89
31,20,57
31,32,2
31,2,143
31,34,1
31,14,101
6,5,167
6,23,135
6,19,2
6,24,177
6,22,239
6,7,321
6,8,12
6,10,205
6,9,223
6,12,171
6,33,6
6,18,202
6,21,73
6,4,142
6,32,4
6,29,33
6,27,95
6,11,181
6,34,1
25,15,89
25,0,257
25,16,29
25,1,86
25,8,8
25,26,159
25,30,111
25,33,2
25,28,211
25,17,121
25,3,236
25,13,263
25,20,110
25,32,4
25,2,320
25,34,3
25,14,246
5,23,99
5,24,135
5,22,152
5,7,248
5,8,7
5,10,138
5,9,145
5,12,116
5,33,5
5,18,111
5,21,51
5,4,74
5,32,2
5,29,21
5,27,79
5,11,113
5,34,2
23,19,1
23,24,136
23,22,133
23,7,197
23,8,7
23,10,93
23,9,122
23,12,97
23,33,2
23,18,109
23,21,32
23,4,76
23,32,3
23,29,26
23,27,65
23,11,104
23,34,1
15,19,2
15,0,119
15,16,23
15,1,42
15,8,5
15,26,61
15,30,56
15,33,6
15,28,97
15,17,63
15,3,101
15,13,130
15,20,75
15,32,5
15,2,163
15,34,1
15,14,131
19,19,3
19,24,5
19,0,2
19,22,2
19,16,1
19,1,2
19,7,3
19,8,8
19,26,3
19,10,2
19,9,3
19,12,3
19,33,1
19,28,2
19,18,1
19,17,1
19,3,3
19,13,3
19,20,3
19,4,1
19,32,1
19,29,2
19,2,1
19,27,1
19,11,2
19,14,3
24,22,205
24,7,263
24,8,8
24,10,122
24,9,162
24,12,132
24,33,5
24,18,137
24,21,46
24,4,67
24,32,2
24,29,20
24,27,67
24,11,137
24,34,1
0,16,36
0,1,97
0,8,11
0,26,163
0,30,116
0,33,9
0,28,252
0,17,148
0,3,298
0,13,290
0,20,142
0,32,4
0,2,466
0,34,3
0,14,338
22,7,387
22,8,17
22,10,162
22,9,229
22,12,160
22,33,6
22,18,209
22,21,71
22,4,100
22,32,5
22,29,20
22,27,83
22,11,197
22,34,5
16,1,11
16,8,2
16,26,26
16,30,19
16,33,1
16,28,30
16,17,18
16,3,34
16,13,60
16,20,35
16,2,53
16,34,1
16,14,36
1,26,49
1,30,43
1,33,1
1,28,77
1,17,44
1,3,88
1,13,94
1,20,44
1,32,1
1,2,145
1,14,93
7,8,18
7,10,240
7,9,303
7,12,221
7,33,9
7,18,285
7,21,80
7,4,159
7,32,6
7,29,29
7,27,141
7,11,248
7,34,8
8,8,42
8,26,7
8,10,12
8,30,6
8,9,9
8,12,5
8,33,19
8,28,12
8,18,7
8,17,6
8,21,5
8,3,10
8,13,10
8,20,9
8,4,2
8,32,4
8,29,6
8,2,12
8,27,4
8,11,8
8,34,3
8,14,11
26,30,59
26,33,5
26,28,113
26,17,94
26,3,144
26,13,162
26,20,81
26,32,2
26,2,206
26,34,3
26,14,154
10,9,158
10,12,131
10,33,6
10,18,127
10,21,50
10,4,85
10,32,4
10,29,16
10,27,88
10,11,143
10,34,4
30,33,7
30,28,93
30,17,58
30,3,115
30,13,134
30,20,68
30,32,4
30,2,150
30,34,3
30,14,119
9,12,149
9,33,5
9,18,166
9,21,63
9,4,93
9,32,2
9,29,19
9,27,71
9,11,173
12,18,116
12,21,35
12,4,81
12,32,3
12,29,20
12,27,86
12,11,129
33,33,2
33,28,5
33,18,7
33,17,3
33,21,2
33,3,3
33,13,12
33,20,2
33,4,2
33,32,3
33,2,6
33,27,1
33,11,7
33,34,2
33,14,5
28,17,130
28,3,222
28,13,255
28,20,120
28,32,4
28,2,354
28,34,3
28,14,267
18,21,47
18,4,85
18,32,3
18,29,11
18,27,66
18,11,138
18,34,4
17,3,171
17,13,173
17,20,79
17,32,1
17,2,201
17,14,258
21,4,37
21,32,2
21,29,10
21,27,26
21,11,54
21,34,1
3,13,280
3,20,143
3,32,5
3,2,407
3,34,3
3,14,266
13,20,174
13,32,10
13,2,415
13,34,11
13,14,331
20,32,5
20,2,202
20,34,2
20,14,157
4,32,4
4,29,12
4,27,60
4,11,77
4,34,5
32,32,7
32,29,1
32,2,7
32,27,3
32,11,4
32,34,2
32,14,2
29,27,9
29,11,29
2,34,7
2,14,453
27,11,83
27,34,3
11,34,2
34,14,5
