Source,Target,Weight
31,25,129
31,15,58
31,0,176
31,16,13
31,1,47
31,8,6
31,26,58
31,30,41
31,33,3
31,28,106
31,17,59
31,3,168
31,13,107
31,20,43
31,2,259
31,34,3
31,14,133
6,6,1
6,5,218
6,23,132
6,19,5
6,24,240
6,22,316
6,7,434
6,8,18
6,10,166
6,9,288
6,12,130
6,33,12
6,18,263
6,21,81
6,4,105
6,32,6
6,29,14
6,27,72
6,11,204
6,34,8
25,15,145
25,19,2
25,0,373
25,16,30
25,1,106
25,8,12
25,26,149
25,30,111
25,33,10
25,28,265
25,17,171
25,3,360
25,13,279
25,20,103
25,32,6
25,2,485
25,34,11
25,14,317
5,23,116
5,19,5
5,24,243
5,22,307
5,7,402
5,8,15
5,10,157
5,9,246
5,12,135
5,33,11
5,18,221
5,21,71
5,4,111
5,32,2
5,29,14
5,27,90
5,11,167
5,34,4
23,19,3
23,24,172
23,22,219
23,7,296
23,8,11
23,10,111
23,9,181
23,12,92
23,33,2
23,18,160
23,21,54
23,4,64
23,29,9
23,27,58
23,11,143
23,34,2
15,19,3
15,0,165
15,16,29
15,1,40
15,8,4
15,26,64
15,30,56
15,33,2
15,28,134
15,17,93
15,3,158
15,13,151
15,20,66
15,32,2
15,2,242
15,34,3
15,14,157
19,19,1
19,24,1
19,0,1
19,22,2
19,16,1
19,1,3
19,7,3
19,8,5
19,26,3
19,10,2
19,30,1
19,9,4
19,12,2
19,33,2
19,28,5
19,18,3
19,17,1
19,21,1
19,3,6
19,13,9
19,20,5
19,4,2
19,32,1
19,2,6
19,27,1
19,11,2
19,14,5
24,22,448
24,7,607
24,8,12
24,10,183
24,9,384
24,12,189
24,33,9
24,18,338
24,21,89
24,4,102
24,32,6
24,29,18
24,27,108
24,11,265
24,34,3
0,16,47
0,1,136
0,8,16
0,26,213
0,30,127
0,33,8
0,28,375
0,17,231
0,3,488
0,13,362
0,20,147
0,32,4
0,2,690
0,34,14
0,14,463
22,7,866
22,8,23
22,10,225
22,9,509
22,12,199
22,33,11
22,18,479
22,21,118
22,4,122
22,32,5
22,29,20
22,27,133
22,11,397
22,34,5
16,1,15
16,8,2
16,26,23
16,30,14
16,33,1
16,28,37
16,17,29
16,3,44
16,13,61
16,20,27
16,32,1
16,2,62
16,14,38
1,8,3
1,26,51
1,30,34
1,33,3
1,28,107
1,17,63
1,3,111
1,13,113
1,20,47
1,2,207
1,34,6
1,14,115
7,8,35
7,10,333
7,9,678
7,12,291
7,33,18
7,18,612
7,21,151
7,4,184
7,32,4
7,29,22
7,27,207
7,11,544
7,34,9
8,8,20
8,26,8
8,10,10
8,30,7
8,9,25
8,12,10
8,33,4
8,28,10
8,18,18
8,17,6
8,21,8
8,3,9
8,13,12
8,20,10
8,4,4
8,32,2
8,29,1
8,2,25
8,27,2
8,11,9
8,34,3
8,14,10
26,30,62
26,33,6
26,28,161
26,17,117
26,3,220
26,13,184
26,20,74
26,32,1
26,2,295
26,34,1
26,14,202
10,9,207
10,12,130
10,33,9
10,18,182
10,21,62
10,4,96
10,32,3
10,29,8
10,27,82
10,11,174
10,34,5
30,33,6
30,28,99
30,17,64
30,3,133
30,13,117
30,20,65
30,32,2
30,2,194
30,34,1
30,14,128
9,12,198
9,33,7
9,18,381
9,21,92
9,4,113
9,32,1
9,29,13
9,27,133
9,11,324
9,34,4
12,33,7
12,18,176
12,21,42
12,4,77
12,29,9
12,27,81
12,11,119
12,34,2
33,33,1
33,28,12
33,18,6
33,17,5
33,21,3
33,3,12
33,13,11
33,20,9
33,4,4
33,32,1
33,29,2
33,2,11
33,27,5
33,11,12
33,14,9
28,17,168
28,3,362
28,13,307
28,20,130
28,32,4
28,2,532
28,34,10
28,14,328
18,21,86
18,4,105
18,32,1
18,29,14
18,27,128
18,11,297
18,34,8
17,3,260
17,13,195
17,20,67
17,2,338
17,34,4
17,14,368
21,4,30
21,32,2
21,29,1
21,27,33
21,11,60
21,34,1
3,13,397
3,20,131
3,32,2
3,2,712
3,34,7
3,14,393
13,20,175
13,32,3
13,2,526
13,34,6
13,14,365
20,32,1
20,2,191
20,34,1
20,14,131
4,32,2
4,29,9
4,27,48
4,11,92
32,2,6
32,27,2
32,11,4
32,14,1
29,27,4
29,11,13
2,34,13
2,14,638
27,11,103
27,34,1
11,34,7
34,34,3
34,14,5
