Source,Target,Weight
31,25,135
31,15,54
31,19,1
31,0,273
31,16,11
31,1,55
31,8,9
31,26,101
31,30,44
31,33,5
31,28,122
31,17,124
31,3,263
31,13,126
31,20,72
31,2,352
31,34,4
31,14,217
6,5,248
6,23,230
6,19,6
6,24,360
6,22,507
6,7,713
6,8,24
6,10,306
6,9,443
6,12,211
6,33,11
6,18,299
6,21,99
6,4,131
6,32,2
6,29,31
6,27,112
6,11,294
6,34,3
25,15,112
25,19,4
25,0,547
25,16,35
25,1,125
25,8,18
25,26,237
25,30,119
25,33,7
25,28,301
25,17,252
25,3,558
25,13,322
25,20,155
25,32,3
25,2,692
25,34,8
25,14,465
5,23,195
5,19,4
5,24,337
5,22,452
5,7,617
5,8,10
5,10,222
5,9,408
5,12,180
5,33,11
5,18,265
5,21,95
5,4,97
5,32,2
5,29,14
5,27,112
5,11,215
5,34,2
23,19,3
23,24,387
23,22,459
23,7,651
23,8,16
23,10,191
23,9,376
23,12,147
23,33,14
23,18,281
23,21,63
23,4,91
23,32,2
23,29,15
23,27,94
23,11,236
23,34,4
15,19,4
15,0,197
15,16,24
15,1,55
15,8,6
15,26,73
15,30,57
15,33,2
15,28,109
15,17,140
15,3,179
15,13,130
15,20,80
15,32,1
15,2,229
15,34,3
15,14,206
19,19,1
19,24,4
19,0,7
19,22,6
19,1,2
19,7,6
19,8,8
19,26,3
19,10,1
19,30,3
19,9,5
19,12,2
19,28,4
19,18,4
19,17,5
19,3,3
19,13,3
19,20,3
19,4,2
19,32,1
19,2,11
19,27,4
19,11,2
19,14,6
24,22,846
24,7,1213
24,8,30
24,10,356
24,9,810
24,12,280
24,33,13
24,18,508
24,21,164
24,4,153
24,32,2
24,29,20
24,27,180
24,11,431
24,34,4
0,16,42
0,1,212
0,8,19
0,26,353
0,30,185
0,33,20
0,28,549
0,17,426
0,3,934
0,13,451
0,20,269
0,32,6
0,2,1193
0,34,14
0,14,789
22,7,1649
22,8,51
22,10,453
22,9,1117
22,12,327
22,33,21
22,18,717
22,21,188
22,4,170
22,32,2
22,29,25
22,27,211
22,11,660
22,34,4
16,1,11
16,8,1
16,26,19
16,30,16
16,28,25
16,17,33
16,3,48
16,13,42
16,20,33
16,32,1
16,2,52
16,14,43
1,8,2
1,26,87
1,30,38
1,33,1
1,28,105
1,17,94
1,3,225
1,13,115
1,20,61
1,32,1
1,2,301
1,34,1
1,14,186
7,8,67
7,10,639
7,9,1495
7,12,501
7,33,28
7,18,1002
7,21,298
7,4,247
7,32,2
7,29,36
7,27,316
7,11,913
7,34,8
8,8,24
8,26,4
8,10,11
8,30,13
8,9,43
8,12,18
8,33,10
8,28,17
8,18,27
8,17,8
8,21,5
8,3,18
8,13,7
8,20,7
8,4,7
8,32,3
8,29,1
8,2,31
8,27,7
8,11,23
8,34,7
8,14,22
26,30,101
26,33,6
26,28,217
26,17,199
26,3,452
26,13,211
26,20,137
26,32,1
26,2,499
26,34,4
26,14,309
10,9,433
10,12,212
10,33,14
10,18,298
10,21,99
10,4,145
10,32,1
10,29,15
10,27,123
10,11,249
10,34,6
30,33,3
30,28,107
30,17,105
30,3,214
30,13,110
30,20,56
30,2,244
30,14,163
9,12,312
9,33,17
9,18,676
9,21,192
9,4,159
9,32,3
9,29,16
9,27,197
9,11,604
9,34,4
12,33,11
12,18,199
12,21,52
12,4,83
12,32,2
12,29,11
12,27,115
12,11,169
12,34,4
33,33,1
33,28,10
33,18,17
33,17,5
33,21,4
33,3,10
33,13,7
33,20,11
33,4,3
33,2,21
33,27,4
33,11,13
33,34,2
33,14,14
28,17,235
28,3,537
28,13,296
28,20,187
28,32,3
28,2,700
28,34,7
28,14,451
18,21,116
18,4,111
18,32,1
18,29,11
18,27,113
18,11,365
18,34,2
17,3,538
17,13,265
17,20,177
17,32,3
17,2,587
17,34,6
17,14,693
21,4,30
21,29,10
21,27,39
21,11,99
21,34,1
3,13,507
3,20,309
3,32,5
3,2,1244
3,34,9
3,14,721
13,20,186
13,32,5
13,2,580
13,34,6
13,14,417
20,32,3
20,2,342
20,34,5
20,14,282
4,32,2
4,29,13
4,27,60
4,11,113
4,34,2
32,32,1
32,2,7
32,27,1
32,11,1
32,14,3
29,27,9
29,11,22
2,34,20
2,14,1007
27,11,127
27,34,2
11,34,3
34,34,1
34,14,8
