Source,Target,Weight
31,25,66
31,15,31
31,0,88
31,16,11
31,1,27
31,8,4
31,26,36
31,30,34
31,33,4
31,28,66
31,17,54
31,3,102
31,13,90
31,20,46
31,32,1
31,2,110
31,14,88
6,5,115
6,23,93
6,19,3
6,24,119
6,22,145
6,7,209
6,8,10
6,10,145
6,9,142
6,12,123
6,33,10
6,18,136
6,21,44
6,4,82
6,32,2
6,29,14
6,27,55
6,11,125
6,34,3
25,15,78
25,19,1
25,0,254
25,16,38
25,1,84
25,8,7
25,26,104
25,30,83
25,33,12
25,28,176
25,17,142
25,3,233
25,13,260
25,20,149
25,32,5
25,2,303
25,34,4
25,14,256
5,23,70
5,19,5
5,24,82
5,22,99
5,7,141
5,8,3
5,10,92
5,9,98
5,12,92
5,33,6
5,18,81
5,21,22
5,4,58
5,32,1
5,29,16
5,27,47
5,11,70
23,19,2
23,24,91
23,22,78
23,7,143
23,8,5
23,10,83
23,9,74
23,12,89
23,33,4
23,18,77
23,21,17
23,4,48
23,32,2
23,29,6
23,27,41
23,11,70
23,34,1
15,19,1
15,0,93
15,16,19
15,1,26
15,8,4
15,26,51
15,30,48
15,33,9
15,28,77
15,17,64
15,3,105
15,13,94
15,20,73
15,32,1
15,2,133
15,34,3
15,14,97
19,19,3
19,24,3
19,0,7
19,22,4
19,16,2
19,1,1
19,7,3
19,8,1
19,26,3
19,10,1
19,9,5
19,12,3
19,33,1
19,28,3
19,18,2
19,17,1
19,3,2
19,13,1
19,20,4
19,32,2
19,2,9
19,27,2
19,11,3
19,14,6
24,22,134
24,7,197
24,8,7
24,10,118
24,9,123
24,12,112
24,33,10
24,18,91
24,21,34
24,4,65
24,29,12
24,27,54
24,11,86
24,34,1
0,16,32
0,1,83
0,8,12
0,26,134
0,30,104
0,33,11
0,28,193
0,17,139
0,3,259
0,13,284
0,20,175
0,32,8
0,2,364
0,34,3
0,14,289
22,7,228
22,8,7
22,10,122
22,9,164
22,12,119
22,33,5
22,18,117
22,21,32
22,4,70
22,32,2
22,29,9
22,27,60
22,11,98
22,34,2
16,1,13
16,8,3
16,26,16
16,30,19
16,33,1
16,28,27
16,17,22
16,3,29
16,13,55
16,20,36
16,2,53
16,14,38
1,8,2
1,26,42
1,30,22
1,33,5
1,28,73
1,17,52
1,3,84
1,13,92
1,20,65
1,32,3
1,2,129
1,34,1
1,14,77
7,8,8
7,10,186
7,9,217
7,12,186
7,33,13
7,18,177
7,21,49
7,4,115
7,32,3
7,29,20
7,27,93
7,11,164
8,8,11
8,26,3
8,10,10
8,30,3
8,9,4
8,12,3
8,33,1
8,28,12
8,18,4
8,17,7
8,21,1
8,3,12
8,13,8
8,20,5
8,4,5
8,32,1
8,2,14
8,27,6
8,11,7
8,34,2
8,14,10
26,30,44
26,33,9
26,28,82
26,17,64
26,3,120
26,13,132
26,20,77
26,32,1
26,2,162
26,34,3
26,14,133
10,9,121
10,12,125
10,33,10
10,18,116
10,21,31
10,4,73
10,29,14
10,27,49
10,11,97
10,34,1
30,33,5
30,28,62
30,17,47
30,3,76
30,13,107
30,20,78
30,32,1
30,2,117
30,34,1
30,14,91
9,12,105
9,33,5
9,18,108
9,21,31
9,4,59
9,32,2
9,29,10
9,27,54
9,11,101
9,34,1
12,33,7
12,18,103
12,21,28
12,4,72
12,32,2
12,29,10
12,27,72
12,11,88
33,28,7
33,18,5
33,17,12
33,21,5
33,3,9
33,13,18
33,20,4
33,4,4
33,32,1
33,2,20
33,27,4
33,11,5
33,14,12
28,17,130
28,3,199
28,13,218
28,20,133
28,32,5
28,2,262
28,34,5
28,14,206
18,21,29
18,4,53
18,29,13
18,27,45
18,11,87
18,34,1
17,3,210
17,13,185
17,20,138
17,32,4
17,2,235
17,34,3
17,14,288
21,4,25
21,29,2
21,27,11
21,11,32
3,13,263
3,20,161
3,32,2
3,2,342
3,34,4
3,14,232
13,20,234
13,32,5
13,2,361
13,34,6
13,14,297
20,32,3
20,2,240
20,34,4
20,14,225
4,32,4
4,29,13
4,27,32
4,11,57
32,2,5
32,27,1
32,11,2
32,14,4
29,27,11
29,11,9
2,34,4
2,14,382
27,11,45
11,34,1
34,14,5
