Source,Target,Weight
31,25,67
31,15,29
31,19,2
31,0,69
31,16,5
31,1,17
31,8,2
31,26,31
31,30,35
31,33,1
31,28,52
31,17,36
31,3,78
31,13,91
31,20,47
31,2,104
31,34,1
31,14,74
6,5,100
6,23,81
6,19,2
6,24,86
6,22,105
6,7,161
6,8,9
6,10,87
6,9,118
6,12,89
6,33,8
6,18,78
6,21,38
6,4,62
6,32,3
6,29,17
6,27,44
6,11,85
25,15,58
25,19,3
25,0,177
25,16,32
25,1,60
25,8,6
25,26,98
25,30,102
25,33,11
25,28,180
25,17,96
25,3,213
25,13,274
25,20,115
25,32,3
25,2,254
25,34,5
25,14,204
5,23,68
5,19,1
5,24,90
5,22,88
5,7,134
5,8,8
5,10,73
5,9,81
5,12,87
5,33,4
5,18,76
5,21,31
5,4,64
5,32,2
5,29,15
5,27,38
5,11,66
5,34,2
23,19,2
23,24,73
23,22,69
23,7,117
23,8,2
23,10,51
23,9,46
23,12,63
23,33,3
23,18,47
23,21,24
23,4,40
23,32,1
23,29,11
23,27,35
23,11,61
23,34,1
15,19,2
15,0,73
15,16,19
15,1,27
15,8,5
15,26,40
15,30,25
15,33,5
15,28,71
15,17,39
15,3,78
15,13,108
15,20,52
15,32,1
15,2,94
15,34,1
15,14,74
19,24,2
19,0,3
19,22,3
19,1,2
19,7,2
19,8,2
19,26,2
19,10,1
19,9,4
19,12,2
19,33,5
19,28,4
19,18,3
19,17,1
19,21,1
19,3,2
19,13,4
19,20,5
19,4,1
19,2,3
19,27,1
19,11,3
19,34,2
19,14,3
24,22,82
24,7,145
24,8,5
24,10,70
24,9,74
24,12,73
24,33,5
24,18,64
24,21,33
24,4,43
24,29,19
24,27,50
24,11,73
24,34,2
0,16,41
0,1,72
0,8,11
0,26,95
0,30,92
0,33,4
0,28,175
0,17,97
0,3,214
0,13,279
0,20,124
0,32,6
0,2,276
0,34,3
0,14,222
22,7,158
22,8,7
22,10,81
22,9,84
22,12,69
22,33,3
22,18,54
22,21,31
22,4,51
22,32,1
22,29,11
22,27,36
22,11,86
16,1,8
16,8,1
16,26,11
16,30,21
16,33,1
16,28,40
16,17,17
16,3,35
16,13,68
16,20,37
16,32,1
16,2,43
16,14,39
1,8,2
1,26,35
1,30,28
1,33,6
1,28,48
1,17,34
1,3,62
1,13,97
1,20,48
1,2,94
1,14,67
7,8,12
7,10,113
7,9,131
7,12,126
7,33,6
7,18,97
7,21,50
7,4,84
7,32,3
7,29,25
7,27,71
7,11,127
7,34,3
8,8,18
8,26,2
8,10,5
8,30,4
8,9,5
8,12,2
8,33,15
8,28,7
8,18,3
8,17,3
8,21,3
8,3,10
8,13,14
8,20,12
8,4,3
8,32,5
8,29,1
8,2,9
8,27,2
8,11,5
8,34,7
8,14,9
26,30,46
26,33,4
26,28,91
26,17,51
26,3,100
26,13,137
26,20,71
26,32,2
26,2,135
26,34,3
26,14,126
10,9,77
10,12,76
10,33,4
10,18,60
10,21,31
10,4,53
10,32,2
10,29,11
10,27,37
10,11,70
30,33,5
30,28,85
30,17,38
30,3,91
30,13,145
30,20,62
30,32,2
30,2,111
30,34,3
30,14,112
9,12,62
9,33,1
9,18,67
9,21,36
9,4,43
9,32,1
9,29,5
9,27,37
9,11,64
9,34,1
12,33,6
12,18,68
12,21,21
12,4,55
12,32,2
12,29,11
12,27,63
12,11,68
33,33,1
33,28,8
33,18,4
33,17,2
33,3,13
33,13,6
33,20,11
33,4,3
33,32,2
33,2,12
33,11,3
33,34,4
33,14,8
28,17,116
28,3,187
28,13,260
28,20,132
28,32,2
28,2,265
28,34,2
28,14,193
18,21,22
18,4,39
18,32,2
18,29,10
18,27,35
18,11,48
18,34,1
17,3,114
17,13,171
17,20,66
17,32,1
17,2,159
17,14,175
21,4,23
21,32,1
21,29,3
21,27,12
21,11,26
21,34,1
3,13,271
3,20,149
3,2,297
3,34,3
3,14,178
13,20,208
13,32,4
13,2,366
13,34,5
13,14,302
20,32,5
20,2,182
20,34,3
20,14,143
4,32,1
4,29,11
4,27,27
4,11,47
32,2,2
32,27,1
32,11,1
32,34,3
32,14,2
29,27,7
29,11,16
29,34,1
2,34,9
2,14,283
27,11,43
11,34,2
34,34,1
34,14,3
