Source,Target,Weight
31,25,146
31,15,53
31,19,7
31,0,170
31,16,25
31,1,41
31,8,1
31,26,77
31,30,71
31,33,5
31,28,121
31,17,75
31,3,183
31,13,166
31,20,89
31,32,6
31,2,240
31,34,3
31,14,149
6,5,301
6,23,175
6,19,7
6,24,257
6,22,332
6,7,520
6,8,16
6,10,225
6,9,294
6,12,213
6,33,19
6,18,258
6,21,87
6,4,149
6,32,4
6,29,35
6,27,143
6,11,251
6,34,8
25,15,159
25,19,8
25,0,470
25,16,54
25,1,125
25,8,12
25,26,210
25,30,177
25,33,21
25,28,374
25,17,210
25,3,505
25,13,489
25,20,232
25,32,12
25,2,634
25,34,9
25,14,394
5,23,176
5,19,7
5,24,242
5,22,339
5,7,495
5,8,19
5,10,230
5,9,298
5,12,248
5,33,13
5,18,227
5,21,105
5,4,151
5,32,1
5,29,34
5,27,135
5,11,229
5,34,4
23,19,2
23,24,199
23,22,243
23,7,332
23,8,8
23,10,130
23,9,174
23,12,152
23,33,10
23,18,153
23,21,62
23,4,97
23,32,2
23,29,15
23,27,99
23,11,184
23,34,3
15,19,3
15,0,187
15,16,30
15,1,54
15,8,8
15,26,94
15,30,62
15,33,6
15,28,155
15,17,96
15,3,184
15,13,187
15,20,96
15,32,1
15,2,274
15,34,6
15,14,191
19,19,1
19,24,5
19,0,7
19,22,3
19,1,2
19,7,12
19,26,4
19,10,4
19,30,1
19,9,6
19,12,5
19,28,7
19,18,1
19,17,3
19,21,7
19,3,5
19,13,13
19,20,9
19,4,3
19,2,14
19,27,5
19,11,4
19,14,9
24,22,355
24,7,481
24,8,13
24,10,199
24,9,302
24,12,231
24,33,8
24,18,230
24,21,84
24,4,122
24,32,3
24,29,26
24,27,125
24,11,203
24,34,2
0,16,68
0,1,157
0,8,17
0,26,243
0,30,189
0,33,18
0,28,412
0,17,244
0,3,591
0,13,575
0,20,290
0,32,6
0,2,779
0,34,12
0,14,530
22,7,692
22,8,15
22,10,261
22,9,400
22,12,290
22,33,15
22,18,326
22,21,112
22,4,160
22,29,31
22,27,157
22,11,309
22,34,7
16,1,20
16,8,2
16,26,33
16,30,31
16,33,3
16,28,50
16,17,26
16,3,79
16,13,97
16,20,54
16,32,1
16,2,89
16,14,57
1,8,1
1,26,66
1,30,57
1,33,10
1,28,105
1,17,63
1,3,151
1,13,173
1,20,80
1,32,1
1,2,211
1,34,2
1,14,139
7,8,30
7,10,370
7,9,542
7,12,386
7,33,29
7,18,455
7,21,174
7,4,248
7,32,5
7,29,45
7,27,231
7,11,449
7,34,11
8,8,24
8,26,5
8,10,10
8,30,4
8,9,16
8,12,13
8,33,8
8,28,18
8,18,15
8,17,13
8,21,6
8,3,21
8,13,15
8,20,3
8,4,8
8,32,2
8,29,2
8,2,27
8,27,12
8,11,12
8,34,12
8,14,13
26,30,104
26,33,6
26,28,183
26,17,125
26,3,265
26,13,257
26,20,176
26,32,7
26,2,355
26,34,4
26,14,247
10,9,214
10,12,207
10,33,10
10,18,181
10,21,79
10,4,117
10,32,3
10,29,29
10,27,111
10,11,185
10,34,6
30,33,6
30,28,147
30,17,78
30,3,196
30,13,229
30,20,146
30,32,5
30,2,251
30,34,4
30,14,185
9,12,246
9,33,15
9,18,279
9,21,96
9,4,134
9,32,1
9,29,21
9,27,126
9,11,240
9,34,4
12,33,14
12,18,193
12,21,72
12,4,136
12,32,3
12,29,29
12,27,151
12,11,176
12,34,4
33,33,2
33,28,16
33,18,8
33,17,7
33,21,5
33,3,18
33,13,19
33,20,15
33,4,10
33,32,1
33,29,2
33,2,28
33,27,5
33,11,16
33,34,2
33,14,8
28,17,208
28,3,478
28,13,438
28,20,236
28,32,6
28,2,632
28,34,11
28,14,408
18,21,86
18,4,115
18,32,5
18,29,28
18,27,95
18,11,200
18,34,4
17,3,300
17,13,298
17,20,133
17,32,4
17,2,391
17,34,4
17,14,414
21,4,45
21,29,12
21,27,52
21,11,83
21,34,1
3,13,549
3,20,295
3,32,11
3,2,811
3,34,15
3,14,477
13,20,399
13,32,12
13,2,694
13,34,24
13,14,572
20,32,5
20,2,416
20,34,12
20,14,296
4,32,1
4,29,23
4,27,69
4,11,135
4,34,2
32,2,12
32,11,2
32,14,8
29,27,16
29,11,20
29,34,1
2,34,25
2,14,764
27,11,103
27,34,6
11,34,8
34,34,2
34,14,10
