Source,Target,Weight
31,25,68
31,15,30
31,19,3
31,0,74
31,16,7
31,1,22
31,8,2
31,26,35
31,30,32
31,33,1
31,28,61
31,17,22
31,3,73
31,13,59
31,20,38
31,2,105
31,34,1
31,14,48
6,5,124
6,23,105
6,19,1
6,24,144
6,22,149
6,7,254
6,8,8
6,10,121
6,9,140
6,12,88
6,33,8
6,18,124
6,21,47
6,4,70
6,32,4
6,29,15
6,27,59
6,11,142
6,34,5
25,15,74
25,19,6
25,0,207
25,16,19
25,1,77
25,8,5
25,26,92
25,30,90
25,33,6
25,28,201
25,17,65
25,3,187
25,13,187
25,20,101
25,32,1
25,2,293
25,34,8
25,14,123
5,23,83
5,19,1
5,24,88
5,22,118
5,7,182
5,8,9
5,10,78
5,9,99
5,12,76
5,33,5
5,18,85
5,21,31
5,4,51
5,32,2
5,29,14
5,27,44
5,11,85
5,34,2
23,19,3
23,24,86
23,22,85
23,7,165
23,8,8
23,10,66
23,9,77
23,12,43
23,33,5
23,18,80
23,21,29
23,4,40
23,32,3
23,29,5
23,27,28
23,11,82
23,34,2
15,19,2
15,0,72
15,16,16
15,1,19
15,8,2
15,26,22
15,30,33
15,33,5
15,28,58
15,17,20
15,3,59
15,13,78
15,20,54
15,2,105
15,14,47
19,19,1
19,24,3
19,0,6
19,22,1
19,16,1
19,1,1
19,7,3
19,26,2
19,10,1
19,30,3
19,9,2
19,33,1
19,28,11
19,18,2
19,21,1
19,3,5
19,13,6
19,20,6
19,4,1
19,2,9
19,11,2
19,34,3
19,14,2
24,22,140
24,7,219
24,8,10
24,10,92
24,9,108
24,12,77
24,33,2
24,18,107
24,21,30
24,4,58
24,32,3
24,29,12
24,27,53
24,11,95
24,34,3
0,16,18
0,1,85
0,8,7
0,26,96
0,30,69
0,33,11
0,28,211
0,17,60
0,3,218
0,13,206
0,20,109
0,32,3
0,2,350
0,34,3
0,14,140
22,7,275
22,8,6
22,10,93
22,9,139
22,12,63
22,33,4
22,18,137
22,21,34
22,4,65
22,32,2
22,29,8
22,27,43
22,11,116
22,34,1
16,1,10
16,8,1
16,26,8
16,30,7
16,33,1
16,28,21
16,17,8
16,3,19
16,13,28
16,20,14
16,2,28
16,34,1
16,14,10
1,8,3
1,26,26
1,30,26
1,33,2
1,28,58
1,17,22
1,3,69
1,13,73
1,20,36
1,32,2
1,2,128
1,14,46
7,8,10
7,10,151
7,9,208
7,12,134
7,33,7
7,18,206
7,21,64
7,4,90
7,32,4
7,29,17
7,27,92
7,11,191
7,34,3
8,8,9
8,26,5
8,10,6
8,30,2
8,9,10
8,12,7
8,33,1
8,28,6
8,18,7
8,21,1
8,3,8
8,13,8
8,20,4
8,4,7
8,32,3
8,29,1
8,2,6
8,27,2
8,11,3
8,34,2
8,14,4
26,30,39
26,33,4
26,28,74
26,17,29
26,3,86
26,13,97
26,20,58
26,32,1
26,2,146
26,34,3
26,14,69
10,9,82
10,12,65
10,33,3
10,18,71
10,21,26
10,4,50
10,32,4
10,29,7
10,27,41
10,11,68
10,34,1
30,33,3
30,28,69
30,17,22
30,3,74
30,13,95
30,20,44
30,32,1
30,2,117
30,14,46
9,12,67
9,33,2
9,18,100
9,21,35
9,4,57
9,32,3
9,29,11
9,27,47
9,11,94
9,34,4
12,33,3
12,18,62
12,21,17
12,4,41
12,32,2
12,29,7
12,27,50
12,11,59
12,34,3
33,28,6
33,18,2
33,17,3
33,3,5
33,13,9
33,20,3
33,4,1
33,32,1
33,2,13
33,11,5
33,34,2
33,14,4
28,17,64
28,3,168
28,13,187
28,20,106
28,32,2
28,2,285
28,34,7
28,14,119
18,21,29
18,4,55
18,32,2
18,29,8
18,27,45
18,11,82
17,3,60
17,13,73
17,20,22
17,2,89
17,34,2
17,14,77
21,4,18
21,32,1
21,29,2
21,27,14
21,11,24
3,13,172
3,20,78
3,32,2
3,2,279
3,34,3
3,14,99
13,20,136
13,32,2
13,2,272
13,34,5
13,14,149
20,32,2
20,2,154
20,34,4
20,14,73
4,32,3
4,29,10
4,27,25
4,11,32
4,34,2
32,29,1
32,2,4
32,27,2
32,11,3
29,27,7
29,11,7
2,34,6
2,14,197
27,11,39
11,34,5
34,14,4
