Source,Target,Weight
31,25,203
31,15,71
31,19,2
31,0,273
31,16,17
31,1,83
31,8,10
31,26,118
31,30,109
31,33,8
31,28,184
31,17,142
31,3,251
31,13,185
31,20,100
31,32,4
31,2,407
31,34,2
31,14,241
6,5,339
6,23,265
6,19,6
6,24,468
6,22,571
6,7,878
6,8,29
6,10,375
6,9,548
6,12,324
6,33,16
6,18,411
6,21,139
6,4,217
6,32,6
6,29,40
6,27,203
6,11,415
6,34,7
25,15,162
25,19,9
25,0,693
25,16,66
25,1,209
25,8,16
25,26,269
25,30,271
25,33,15
25,28,440
25,17,337
25,3,636
25,13,567
25,20,248
25,32,9
25,2,940
25,34,10
25,14,622
5,5,1
5,23,186
5,19,3
5,24,367
5,22,380
5,7,573
5,8,18
5,10,212
5,9,351
5,12,223
5,33,14
5,18,264
5,21,103
5,4,115
5,32,2
5,29,37
5,27,157
5,11,261
5,34,7
23,19,7
23,24,343
23,22,408
23,7,595
23,8,15
23,10,191
23,9,339
23,12,172
23,33,9
23,18,250
23,21,92
23,4,124
23,32,2
23,29,22
23,27,114
23,11,250
23,34,2
15,19,4
15,0,219
15,16,39
15,1,61
15,8,9
15,26,94
15,30,101
15,33,6
15,28,133
15,17,124
15,3,190
15,13,209
15,20,137
15,32,1
15,2,274
15,34,2
15,14,231
19,19,1
19,24,6
19,0,7
19,22,11
19,16,3
19,1,8
19,7,9
19,8,11
19,26,7
19,10,7
19,30,5
19,9,9
19,12,1
19,33,1
19,28,13
19,18,6
19,17,10
19,21,1
19,3,10
19,13,11
19,20,8
19,4,2
19,32,4
19,29,1
19,2,17
19,27,5
19,11,5
19,34,7
19,14,13
24,22,746
24,7,1153
24,8,24
24,10,355
24,9,692
24,12,359
24,33,18
24,18,525
24,21,176
24,4,174
24,32,7
24,29,28
24,27,223
24,11,451
24,34,5
0,16,67
0,1,249
0,8,21
0,26,363
0,30,360
0,33,15
0,28,599
0,17,483
0,3,806
0,13,630
0,20,325
0,32,9
0,2,1263
0,34,11
0,14,865
22,7,1389
22,8,46
22,10,393
22,9,849
22,12,369
22,33,16
22,18,628
22,21,167
22,4,205
22,32,5
22,29,42
22,27,230
22,11,620
22,34,9
16,1,15
16,8,2
16,26,33
16,30,34
16,28,49
16,17,34
16,3,68
16,13,79
16,20,53
16,32,2
16,2,92
16,34,2
16,14,78
1,8,5
1,26,91
1,30,88
1,33,1
1,28,199
1,17,122
1,3,220
1,13,178
1,20,95
1,32,2
1,2,404
1,34,3
1,14,210
7,8,62
7,10,634
7,9,1258
7,12,601
7,33,34
7,18,936
7,21,278
7,4,316
7,32,8
7,29,53
7,27,378
7,11,913
7,34,8
8,8,58
8,26,8
8,10,16
8,30,6
8,9,35
8,12,22
8,33,16
8,28,19
8,18,26
8,17,11
8,21,11
8,3,20
8,13,11
8,20,10
8,4,19
8,32,8
8,29,3
8,2,30
8,27,16
8,11,25
8,34,17
8,14,15
26,30,160
26,33,11
26,28,256
26,17,193
26,3,359
26,13,271
26,20,163
26,32,9
26,2,516
26,34,8
26,14,330
10,9,370
10,12,240
10,33,13
10,18,261
10,21,101
10,4,159
10,32,5
10,29,21
10,27,155
10,11,279
10,34,5
30,30,1
30,33,7
30,28,268
30,17,191
30,3,346
30,13,275
30,20,138
30,32,1
30,2,508
30,34,4
30,14,286
9,12,374
9,33,18
9,18,575
9,21,180
9,4,180
9,32,6
9,29,50
9,27,255
9,11,559
9,34,5
12,33,12
12,18,239
12,21,85
12,4,136
12,32,3
12,29,21
12,27,190
12,11,258
12,34,10
33,33,2
33,28,13
33,18,15
33,17,8
33,21,5
33,3,16
33,13,15
33,20,15
33,4,5
33,32,5
33,29,1
33,2,22
33,27,7
33,11,13
33,34,5
33,14,12
28,17,302
28,3,542
28,13,455
28,20,245
28,32,8
28,2,884
28,34,12
28,14,556
18,21,118
18,4,160
18,32,4
18,29,29
18,27,166
18,11,404
18,34,6
17,3,526
17,13,405
17,20,210
17,32,4
17,2,759
17,34,5
17,14,858
21,4,49
21,32,1
21,29,7
21,27,60
21,11,122
3,13,589
3,20,297
3,32,7
3,2,1127
3,34,17
3,14,688
13,20,326
13,32,16
13,2,836
13,34,13
13,14,650
20,32,8
20,2,448
20,34,9
20,14,350
4,32,1
4,29,19
4,27,98
4,11,158
4,34,2
32,32,8
32,2,12
32,27,3
32,11,5
32,34,2
32,14,13
29,27,15
29,11,23
2,34,24
2,14,1213
27,11,167
27,34,4
11,34,4
34,34,4
34,14,9
