Source,Target,Weight
31,25,81
31,15,36
31,19,1
31,0,77
31,16,11
31,1,30
31,8,5
31,26,40
31,30,44
31,33,3
31,28,85
31,17,47
31,3,100
31,13,102
31,20,64
31,32,2
31,2,146
31,34,2
31,14,91
6,5,115
6,23,97
6,19,2
6,24,132
6,22,177
6,7,239
6,8,13
6,10,145
6,9,128
6,12,108
6,33,4
6,18,124
6,21,47
6,4,107
6,32,4
6,29,8
6,27,53
6,11,146
6,34,1
25,15,77
25,19,7
25,0,196
25,16,26
25,1,69
25,8,14
25,26,110
25,30,73
25,33,5
25,28,142
25,17,98
25,3,208
25,13,195
25,20,153
25,32,1
25,2,300
25,34,3
25,14,196
5,23,57
5,24,76
5,22,112
5,7,164
5,8,6
5,10,83
5,9,106
5,12,85
5,33,5
5,18,72
5,21,24
5,4,63
5,32,2
5,29,2
5,27,53
5,11,78
5,34,2
23,24,103
23,22,100
23,7,176
23,8,7
23,10,83
23,9,91
23,12,86
23,33,3
23,18,67
23,21,27
23,4,56
23,32,2
23,29,8
23,27,43
23,11,83
23,34,1
15,19,4
15,0,78
15,16,22
15,1,37
15,8,10
15,26,35
15,30,41
15,33,4
15,28,68
15,17,51
15,3,91
15,13,88
15,20,83
15,32,2
15,2,128
15,34,1
15,14,111
19,19,12
19,24,5
19,0,7
19,22,3
19,16,2
19,1,2
19,7,3
19,8,7
19,26,4
19,10,2
19,9,3
19,12,3
19,28,4
19,18,4
19,21,1
19,3,6
19,13,7
19,20,5
19,4,1
19,2,8
19,11,4
19,34,3
19,14,5
24,22,197
24,7,248
24,8,6
24,10,111
24,9,153
24,12,96
24,33,5
24,18,112
24,21,35
24,4,69
24,32,4
24,29,7
24,27,50
24,11,130
0,16,33
0,1,68
0,8,6
0,26,115
0,30,79
0,33,12
0,28,218
0,17,100
0,3,276
0,13,263
0,20,171
0,32,2
0,2,382
0,34,6
0,14,278
22,7,350
22,8,21
22,10,167
22,9,199
22,12,152
22,33,7
22,18,159
22,21,42
22,4,104
22,32,4
22,29,5
22,27,55
22,11,176
16,1,9
16,8,2
16,26,13
16,30,13
16,33,1
16,28,22
16,17,8
16,3,34
16,13,51
16,20,29
16,2,47
16,14,27
1,8,3
1,26,35
1,30,26
1,33,4
1,28,64
1,17,33
1,3,78
1,13,77
1,20,61
1,32,2
1,2,111
1,34,1
1,14,75
7,8,29
7,10,209
7,9,250
7,12,215
7,33,8
7,18,215
7,21,74
7,4,149
7,32,5
7,29,17
7,27,100
7,11,257
7,34,4
8,8,32
8,26,3
8,10,7
8,30,5
8,9,9
8,12,10
8,33,13
8,28,17
8,18,14
8,17,3
8,21,8
8,3,12
8,13,10
8,20,10
8,4,9
8,32,9
8,2,16
8,27,3
8,11,13
8,34,15
8,14,10
26,30,54
26,33,3
26,28,105
26,17,80
26,3,131
26,13,146
26,20,119
26,32,1
26,2,179
26,34,3
26,14,155
10,9,124
10,12,101
10,33,5
10,18,87
10,21,40
10,4,86
10,32,2
10,29,7
10,27,53
10,11,117
10,34,1
30,33,2
30,28,76
30,17,54
30,3,100
30,13,112
30,20,70
30,32,3
30,2,131
30,34,4
30,14,100
9,12,119
9,33,5
9,18,99
9,21,34
9,4,72
9,32,3
9,29,7
9,27,55
9,11,131
12,33,6
12,18,96
12,21,34
12,4,65
12,32,3
12,29,9
12,27,68
12,11,107
12,34,1
33,33,1
33,28,15
33,18,3
33,17,3
33,21,2
33,3,7
33,13,10
33,20,9
33,4,3
33,32,3
33,2,13
33,27,6
33,11,9
33,34,1
33,14,15
28,17,107
28,3,214
28,13,211
28,20,160
28,32,6
28,2,316
28,34,6
28,14,233
18,21,41
18,4,64
18,32,3
18,29,7
18,27,45
18,11,99
18,34,1
17,3,160
17,13,135
17,20,103
17,2,198
17,14,247
21,4,24
21,32,2
21,29,3
21,27,10
21,11,42
21,34,1
3,13,257
3,20,179
3,32,3
3,2,383
3,34,5
3,14,287
13,20,249
13,32,3
13,2,354
13,34,4
13,14,286
20,32,3
20,2,262
20,34,2
20,14,217
4,32,1
4,29,5
4,27,35
4,11,81
4,34,2
32,2,2
32,27,1
32,11,3
32,34,1
32,14,3
29,27,4
29,11,11
29,34,1
2,34,5
2,14,425
27,11,48
11,34,1
34,34,9
34,14,5
