Source,Target,Weight
31,25,262
31,15,104
31,19,1
31,0,379
31,16,28
31,1,91
31,8,9
31,26,167
31,30,89
31,33,7
31,28,257
31,17,195
31,3,373
31,13,204
31,20,178
31,32,3
31,2,573
31,34,4
31,14,365
6,5,311
6,23,278
6,19,12
6,24,457
6,22,711
6,7,877
6,8,39
6,10,344
6,9,550
6,12,352
6,33,20
6,18,449
6,21,137
6,4,236
6,32,3
6,29,25
6,27,161
6,11,478
6,34,10
25,15,242
25,19,9
25,0,725
25,16,69
25,1,197
25,8,36
25,26,374
25,30,200
25,33,21
25,28,505
25,17,351
25,3,771
25,13,544
25,20,375
25,32,6
25,2,1079
25,34,13
25,14,727
5,23,199
5,19,6
5,24,328
5,22,510
5,7,635
5,8,24
5,10,221
5,9,384
5,12,247
5,33,9
5,18,299
5,21,87
5,4,147
5,32,7
5,29,26
5,27,125
5,11,315
5,34,12
23,19,4
23,24,428
23,22,599
23,7,740
23,8,19
23,10,226
23,9,443
23,12,260
23,33,15
23,18,342
23,21,101
23,4,174
23,32,1
23,29,21
23,27,116
23,11,370
23,34,9
15,19,2
15,0,303
15,16,54
15,1,75
15,8,19
15,26,169
15,30,81
15,33,5
15,28,233
15,17,190
15,3,323
15,13,212
15,20,196
15,32,3
15,2,466
15,34,5
15,14,360
19,24,8
19,0,10
19,22,14
19,16,1
19,1,5
19,7,15
19,8,16
19,26,4
19,10,5
19,30,2
19,9,4
19,12,3
19,33,2
19,28,11
19,18,4
19,17,5
19,21,3
19,3,9
19,13,12
19,20,12
19,4,1
19,2,15
19,27,3
19,11,9
19,34,5
19,14,12
24,24,1
24,22,1142
24,7,1261
24,8,39
24,10,358
24,9,832
24,12,508
24,33,24
24,18,592
24,21,161
24,4,239
24,32,8
24,29,21
24,27,158
24,11,626
24,34,14
0,16,87
0,1,261
0,8,33
0,26,479
0,30,234
0,33,31
0,28,806
0,17,479
0,3,1065
0,13,641
0,20,524
0,32,9
0,2,1659
0,34,24
0,14,1162
22,7,2112
22,8,67
22,10,523
22,9,1414
22,12,711
22,33,29
22,18,1059
22,21,282
22,4,309
22,32,7
22,29,41
22,27,252
22,11,1118
22,34,25
16,1,21
16,8,3
16,26,33
16,30,26
16,33,2
16,28,65
16,17,38
16,3,78
16,13,85
16,20,69
16,32,4
16,2,113
16,34,1
16,14,85
1,8,5
1,26,142
1,30,57
1,33,9
1,28,224
1,17,131
1,3,279
1,13,157
1,20,136
1,32,2
1,2,472
1,34,5
1,14,279
7,8,88
7,10,667
7,9,1632
7,12,897
7,33,50
7,18,1264
7,21,333
7,4,439
7,32,11
7,29,47
7,27,338
7,11,1341
7,34,24
8,8,54
8,26,13
8,10,21
8,30,8
8,9,51
8,12,18
8,33,12
8,28,30
8,18,37
8,17,12
8,21,16
8,3,36
8,13,24
8,20,26
8,4,16
8,32,7
8,29,3
8,2,53
8,27,7
8,11,38
8,34,14
8,14,26
26,30,153
26,33,16
26,28,410
26,17,335
26,3,565
26,13,321
26,20,337
26,32,7
26,2,854
26,34,7
26,14,608
10,9,401
10,12,315
10,33,21
10,18,326
10,21,110
10,4,200
10,32,3
10,29,25
10,27,134
10,11,355
10,34,15
30,33,6
30,28,200
30,17,150
30,3,291
30,13,230
30,20,170
30,32,3
30,2,399
30,34,7
30,14,304
9,12,532
9,33,22
9,18,802
9,21,202
9,4,258
9,32,5
9,29,29
9,27,191
9,11,851
9,34,14
12,33,17
12,18,398
12,21,117
12,4,225
12,32,2
12,29,31
12,27,198
12,11,430
12,34,7
33,33,6
33,28,14
33,18,21
33,17,17
33,21,5
33,3,33
33,13,21
33,20,19
33,4,10
33,29,5
33,2,44
33,27,8
33,11,22
33,34,9
33,14,32
28,17,435
28,3,783
28,13,508
28,20,421
28,32,9
28,2,1265
28,34,12
28,14,908
18,21,152
18,4,235
18,32,5
18,29,22
18,27,181
18,11,643
18,34,14
17,3,721
17,13,388
17,20,373
17,32,3
17,2,974
17,34,9
17,14,1133
21,4,49
21,32,2
21,29,8
21,27,45
21,11,159
21,34,1
3,13,699
3,20,646
3,32,9
3,2,1662
3,34,14
3,14,1134
13,20,490
13,32,7
13,2,935
13,34,15
13,14,738
20,32,7
20,2,849
20,34,5
20,14,673
4,32,2
4,29,17
4,27,110
4,11,246
4,34,4
32,32,1
32,2,13
32,27,1
32,11,5
32,34,1
32,14,10
29,27,11
29,11,28
29,34,4
2,34,30
2,14,1823
27,11,173
27,34,3
11,34,9
34,34,5
34,14,19
