Source,Target,Weight
31,25,58
31,15,17
31,0,56
31,16,12
31,1,17
31,8,2
31,26,27
31,30,20
31,33,2
31,28,36
31,17,36
31,3,54
31,13,60
31,20,27
31,2,91
31,34,1
31,14,73
6,5,119
6,23,79
6,19,2
6,24,83
6,22,145
6,7,213
6,8,10
6,10,122
6,9,120
6,12,107
6,33,6
6,18,115
6,21,38
6,4,72
6,32,1
6,29,17
6,27,46
6,11,122
25,15,80
25,19,1
25,0,170
25,16,30
25,1,54
25,8,4
25,26,94
25,30,61
25,33,11
25,28,127
25,17,102
25,3,161
25,13,181
25,20,85
25,32,1
25,2,240
25,34,3
25,14,185
5,23,72
5,19,1
5,24,113
5,22,156
5,7,192
5,8,11
5,10,100
5,9,124
5,12,117
5,33,6
5,18,110
5,21,35
5,4,63
5,32,2
5,29,13
5,27,56
5,11,101
5,34,1
23,19,1
23,24,82
23,22,102
23,7,126
23,8,5
23,10,70
23,9,83
23,12,69
23,33,6
23,18,72
23,21,19
23,4,50
23,32,4
23,29,11
23,27,34
23,11,75
23,34,2
15,0,80
15,16,23
15,1,30
15,8,4
15,26,40
15,30,36
15,33,2
15,28,59
15,17,51
15,3,78
15,13,87
15,20,63
15,2,112
15,34,2
15,14,92
19,19,2
19,24,2
19,0,1
19,22,3
19,7,1
19,8,2
19,10,1
19,9,2
19,12,2
19,33,6
19,18,1
19,21,1
19,3,1
19,4,3
19,27,1
19,14,1
24,22,165
24,7,209
24,8,6
24,10,93
24,9,121
24,12,89
24,33,4
24,18,113
24,21,33
24,4,55
24,32,1
24,29,9
24,27,47
24,11,99
24,34,1
0,16,30
0,1,57
0,8,8
0,26,87
0,30,76
0,33,10
0,28,154
0,17,87
0,3,202
0,13,185
0,20,117
0,32,1
0,2,299
0,34,3
0,14,224
22,7,313
22,8,10
22,10,131
22,9,190
22,12,142
22,33,4
22,18,142
22,21,46
22,4,85
22,32,1
22,29,19
22,27,59
22,11,153
22,34,3
16,1,15
16,8,5
16,26,15
16,30,14
16,33,1
16,28,22
16,17,12
16,3,30
16,13,32
16,20,38
16,2,41
16,34,1
16,14,30
1,8,2
1,26,26
1,30,24
1,33,3
1,28,46
1,17,32
1,3,63
1,13,56
1,20,36
1,2,96
1,34,1
1,14,60
7,8,11
7,10,169
7,9,238
7,12,189
7,33,12
7,18,196
7,21,79
7,4,102
7,32,5
7,29,16
7,27,88
7,11,198
7,34,4
8,8,4
8,26,4
8,10,6
8,30,3
8,9,6
8,12,7
8,33,3
8,28,6
8,18,8
8,17,3
8,21,1
8,3,10
8,13,8
8,20,7
8,4,6
8,32,3
8,2,10
8,27,1
8,11,9
8,14,4
26,30,36
26,33,3
26,28,78
26,17,58
26,3,106
26,13,98
26,20,57
26,32,1
26,2,152
26,14,105
10,9,111
10,12,96
10,33,6
10,18,73
10,21,35
10,4,55
10,32,3
10,29,7
10,27,45
10,11,91
30,33,1
30,28,54
30,17,37
30,3,71
30,13,73
30,20,51
30,2,105
30,34,2
30,14,78
9,12,115
9,33,4
9,18,126
9,21,40
9,4,65
9,32,1
9,29,13
9,27,47
9,11,111
9,34,2
12,33,6
12,18,110
12,21,33
12,4,71
12,32,1
12,29,10
12,27,45
12,11,95
12,34,2
33,33,2
33,28,4
33,18,2
33,21,3
33,3,3
33,13,5
33,20,4
33,4,2
33,2,9
33,27,5
33,11,7
33,14,5
28,17,83
28,3,135
28,13,156
28,20,102
28,2,212
28,34,3
28,14,166
18,21,41
18,4,68
18,32,1
18,29,12
18,27,40
18,11,99
18,34,2
17,3,132
17,13,106
17,20,63
17,32,1
17,2,162
17,14,203
21,4,27
21,32,1
21,29,4
21,27,15
21,11,38
21,34,1
3,13,186
3,20,103
3,32,2
3,2,274
3,34,2
3,14,192
13,20,135
13,32,3
13,2,248
13,34,7
13,14,208
20,32,3
20,2,179
20,34,4
20,14,142
4,29,5
4,27,30
4,11,52
4,34,1
32,2,2
32,27,1
32,11,2
32,34,1
32,14,2
29,27,7
29,11,16
29,34,1
2,34,8
2,14,323
27,11,55
27,34,1
11,34,5
34,14,4
