Source,Target,Weight
31,25,61
31,15,34
31,0,114
31,16,19
31,1,23
31,8,5
31,26,31
31,30,26
31,28,77
31,17,64
31,3,102
31,13,73
31,20,53
31,32,1
31,2,149
31,34,3
31,14,113
6,5,121
6,23,105
6,24,135
6,22,194
6,7,253
6,8,13
6,10,117
6,9,153
6,12,94
6,33,8
6,18,139
6,21,37
6,4,84
6,32,3
6,29,10
6,27,59
6,11,127
6,34,4
25,15,60
25,19,1
25,0,233
25,16,24
25,1,60
25,8,5
25,26,96
25,30,71
25,33,7
25,28,155
25,17,129
25,3,199
25,13,190
25,20,107
25,32,1
25,2,327
25,34,7
25,14,250
5,23,94
5,19,5
5,24,168
5,22,196
5,7,275
5,8,15
5,10,104
5,9,175
5,12,110
5,33,8
5,18,144
5,21,40
5,4,63
5,32,2
5,29,8
5,27,43
5,11,130
5,34,1
23,19,1
23,24,159
23,22,204
23,7,274
23,8,6
23,10,76
23,9,162
23,12,79
23,33,8
23,18,133
23,21,23
23,4,58
23,32,4
23,29,7
23,27,47
23,11,110
23,34,3
15,0,89
15,16,16
15,1,26
15,8,3
15,26,37
15,30,39
15,33,2
15,28,55
15,17,57
15,3,71
15,13,61
15,20,60
15,32,1
15,2,131
15,34,1
15,14,103
19,19,1
19,24,4
19,0,1
19,22,2
19,7,2
19,8,4
19,26,1
19,10,2
19,30,2
19,9,2
19,12,2
19,28,1
19,18,2
19,17,1
19,21,1
19,13,2
19,20,1
19,4,1
19,32,2
19,2,1
19,27,1
19,11,6
19,14,1
24,22,406
24,7,502
24,8,20
24,10,144
24,9,301
24,12,149
24,33,11
24,18,242
24,21,62
24,4,73
24,32,4
24,29,12
24,27,65
24,11,195
24,34,3
0,16,29
0,1,84
0,8,8
0,26,135
0,30,77
0,33,5
0,28,249
0,17,186
0,3,306
0,13,210
0,20,140
0,32,3
0,2,509
0,34,7
0,14,363
22,7,704
22,8,30
22,10,206
22,9,463
22,12,174
22,33,13
22,18,343
22,21,73
22,4,90
22,32,5
22,29,13
22,27,82
22,11,312
22,34,2
16,1,9
16,8,2
16,26,17
16,30,5
16,33,4
16,28,21
16,17,16
16,3,20
16,13,29
16,20,32
16,2,35
16,34,2
16,14,34
1,8,1
1,26,33
1,30,21
1,28,67
1,17,33
1,3,56
1,13,59
1,20,37
1,2,123
1,34,1
1,14,82
7,7,1
7,8,36
7,10,234
7,9,551
7,12,239
7,33,11
7,18,447
7,21,101
7,4,127
7,32,4
7,29,21
7,27,111
7,11,396
7,34,2
8,8,11
8,26,4
8,10,17
8,9,26
8,12,16
8,33,4
8,28,8
8,18,15
8,17,3
8,21,6
8,3,6
8,13,4
8,20,4
8,4,4
8,32,4
8,29,1
8,2,12
8,27,5
8,11,20
8,14,7
26,30,38
26,33,4
26,28,93
26,17,74
26,3,116
26,13,102
26,20,69
26,32,3
26,2,174
26,34,3
26,14,158
10,9,152
10,12,97
10,33,10
10,18,131
10,21,27
10,4,74
10,32,2
10,29,13
10,27,42
10,11,120
10,34,3
30,33,2
30,28,59
30,17,50
30,3,73
30,13,62
30,20,48
30,2,133
30,34,1
30,14,95
9,12,134
9,33,12
9,18,285
9,21,62
9,4,79
9,32,5
9,29,11
9,27,65
9,11,236
9,34,4
12,33,6
12,18,120
12,21,35
12,4,62
12,32,1
12,29,10
12,27,49
12,11,114
12,34,2
33,33,4
33,28,7
33,18,7
33,17,3
33,21,2
33,13,2
33,20,2
33,4,8
33,29,1
33,2,6
33,27,7
33,11,9
33,14,7
28,17,119
28,3,217
28,13,173
28,20,108
28,2,356
28,34,9
28,14,257
18,21,55
18,4,75
18,29,11
18,27,55
18,11,208
18,34,2
17,3,192
17,13,153
17,20,80
17,32,2
17,2,291
17,34,4
17,14,343
21,4,17
21,29,1
21,27,15
21,11,48
3,13,182
3,20,126
3,32,1
3,2,420
3,34,4
3,14,305
13,20,127
13,32,3
13,2,313
13,34,3
13,14,260
20,32,5
20,2,204
20,34,4
20,14,150
4,32,2
4,29,11
4,27,34
4,11,74
32,2,4
32,27,1
32,11,2
32,14,3
29,27,6
29,11,8
2,34,7
2,14,552
27,11,58
11,34,2
34,14,3
