Source,Target,Weight
31,25,198
31,15,81
31,19,6
31,0,316
31,16,24
31,1,110
31,8,3
31,26,129
31,30,117
31,33,10
31,28,204
31,17,189
31,3,248
31,13,256
31,20,220
31,32,2
31,2,446
31,34,2
31,14,328
6,5,276
6,23,201
6,19,4
6,24,287
6,22,381
6,7,591
6,8,27
6,10,298
6,9,352
6,12,264
6,33,14
6,18,333
6,21,97
6,4,169
6,32,6
6,29,28
6,27,127
6,11,288
6,34,7
25,15,168
25,19,8
25,0,597
25,16,55
25,1,162
25,8,24
25,26,239
25,30,229
25,33,19
25,28,402
25,17,405
25,3,542
25,13,496
25,20,465
25,32,14
25,2,811
25,34,14
25,14,657
5,23,237
5,19,5
5,24,461
5,22,431
5,7,736
5,8,21
5,10,307
5,9,437
5,12,321
5,33,16
5,18,391
5,21,128
5,4,145
5,32,2
5,29,25
5,27,196
5,11,283
5,34,3
23,19,4
23,24,372
23,22,380
23,7,626
23,8,15
23,10,239
23,9,344
23,12,222
23,33,13
23,18,306
23,21,92
23,4,105
23,32,9
23,29,17
23,27,109
23,11,241
23,34,4
15,19,2
15,0,255
15,16,30
15,1,74
15,8,11
15,26,93
15,30,110
15,33,3
15,28,144
15,17,226
15,3,230
15,13,243
15,20,234
15,32,4
15,2,319
15,34,6
15,14,332
19,19,1
19,24,11
19,0,6
19,22,10
19,1,3
19,7,20
19,8,2
19,10,7
19,30,4
19,9,9
19,12,6
19,33,3
19,28,4
19,18,3
19,17,8
19,21,4
19,3,5
19,13,9
19,20,11
19,4,3
19,32,1
19,29,1
19,2,7
19,27,2
19,11,7
19,34,1
19,14,12
24,24,3
24,22,783
24,7,1176
24,8,24
24,10,381
24,9,725
24,12,441
24,33,24
24,18,670
24,21,184
24,4,162
24,32,5
24,29,23
24,27,180
24,11,439
24,34,11
0,16,71
0,1,254
0,8,22
0,26,313
0,30,342
0,33,18
0,28,622
0,17,611
0,3,802
0,13,702
0,20,693
0,32,8
0,2,1317
0,34,17
0,14,957
22,7,1327
22,8,50
22,10,388
22,9,784
22,12,399
22,33,21
22,18,708
22,21,197
22,4,170
22,32,7
22,29,33
22,27,172
22,11,541
22,34,9
16,1,16
16,8,3
16,26,36
16,30,28
16,33,2
16,28,41
16,17,32
16,3,56
16,13,79
16,20,90
16,32,2
16,2,92
16,34,3
16,14,78
1,8,8
1,26,97
1,30,99
1,33,7
1,28,180
1,17,152
1,3,196
1,13,204
1,20,178
1,32,3
1,2,372
1,34,5
1,14,261
7,8,58
7,10,689
7,9,1229
7,12,697
7,33,40
7,18,1129
7,21,319
7,4,316
7,32,11
7,29,53
7,27,325
7,11,854
7,34,11
8,8,27
8,26,11
8,10,15
8,30,12
8,9,27
8,12,21
8,33,15
8,28,22
8,18,30
8,17,17
8,21,4
8,3,28
8,13,18
8,20,35
8,4,11
8,32,14
8,29,1
8,2,35
8,27,6
8,11,22
8,34,2
8,14,39
26,30,145
26,33,9
26,28,244
26,17,228
26,3,274
26,13,301
26,20,323
26,32,2
26,2,495
26,34,9
26,14,395
10,9,394
10,12,303
10,33,10
10,18,406
10,21,117
10,4,168
10,32,6
10,29,21
10,27,159
10,11,282
10,34,3
30,33,12
30,28,210
30,17,229
30,3,307
30,13,309
30,20,298
30,32,3
30,2,470
30,34,3
30,14,352
9,12,395
9,33,17
9,18,668
9,21,159
9,4,171
9,32,7
9,29,34
9,27,176
9,11,494
9,34,9
12,33,15
12,18,384
12,21,100
12,4,143
12,32,6
12,29,18
12,27,203
12,11,269
12,34,4
33,33,1
33,28,18
33,18,16
33,17,9
33,21,5
33,3,21
33,13,24
33,20,14
33,4,2
33,32,3
33,29,1
33,2,22
33,27,3
33,11,12
33,34,4
33,14,28
28,17,388
28,3,485
28,13,516
28,20,507
28,32,7
28,2,890
28,34,15
28,14,631
18,21,148
18,4,169
18,32,5
18,29,34
18,27,193
18,11,455
18,34,6
17,3,680
17,13,464
17,20,586
17,32,10
17,2,894
17,34,11
17,14,1211
21,4,44
21,29,4
21,27,59
21,11,133
21,34,3
3,13,601
3,20,647
3,32,18
3,2,1090
3,34,10
3,14,845
13,20,697
13,32,13
13,2,971
13,34,14
13,14,771
20,32,7
20,2,965
20,34,16
20,14,888
4,32,2
4,29,16
4,27,96
4,11,141
4,34,2
32,32,8
32,29,2
32,2,9
32,27,2
32,11,7
32,14,12
29,27,22
29,11,21
29,34,2
2,34,24
2,14,1402
27,11,139
27,34,1
11,34,2
34,34,2
34,14,11
