Source,Target,Weight
31,25,216
31,15,73
31,0,291
31,16,27
31,1,73
31,8,6
31,26,138
31,30,104
31,33,7
31,28,227
31,17,70
31,3,255
31,13,212
31,20,124
31,32,2
31,2,399
31,34,6
31,14,155
6,5,289
6,23,279
6,19,4
6,24,422
6,22,488
6,7,777
6,8,21
6,10,346
6,9,523
6,12,245
6,33,29
6,18,340
6,21,128
6,4,203
6,32,4
6,29,35
6,27,150
6,11,341
6,34,10
25,15,170
25,19,6
25,0,600
25,16,69
25,1,160
25,8,18
25,26,279
25,30,198
25,33,11
25,28,433
25,17,166
25,3,532
25,13,491
25,20,248
25,32,8
25,2,818
25,34,15
25,14,349
5,23,186
5,19,5
5,24,306
5,22,364
5,7,590
5,8,11
5,10,240
5,9,396
5,12,158
5,33,10
5,18,249
5,21,118
5,4,158
5,32,1
5,29,25
5,27,136
5,11,228
5,34,4
23,19,2
23,24,342
23,22,403
23,7,567
23,8,24
23,10,208
23,9,371
23,12,148
23,33,25
23,18,233
23,21,94
23,4,122
23,32,1
23,29,15
23,27,108
23,11,234
23,34,6
15,19,3
15,0,175
15,16,29
15,1,47
15,8,6
15,26,66
15,30,58
15,33,8
15,28,128
15,17,60
15,3,168
15,13,184
15,20,134
15,32,1
15,2,263
15,14,125
19,24,4
19,0,9
19,22,6
19,16,1
19,7,11
19,8,4
19,26,4
19,10,4
19,30,5
19,9,6
19,12,3
19,33,2
19,28,5
19,18,6
19,17,6
19,21,1
19,3,13
19,13,7
19,20,4
19,4,2
19,29,1
19,2,15
19,27,3
19,11,3
19,14,9
24,22,723
24,7,1011
24,8,16
24,10,335
24,9,669
24,12,286
24,33,16
24,18,426
24,21,128
24,4,166
24,32,2
24,29,18
24,27,168
24,11,395
24,34,9
0,16,69
0,1,206
0,8,17
0,26,336
0,30,262
0,33,15
0,28,641
0,17,177
0,3,666
0,13,561
0,20,327
0,32,8
0,2,1091
0,34,14
0,14,412
22,7,1327
22,8,36
22,10,407
22,9,882
22,12,276
22,33,13
22,18,561
22,21,174
22,4,183
22,32,8
22,29,31
22,27,197
22,11,541
22,34,5
16,1,13
16,8,2
16,26,35
16,30,31
16,33,4
16,28,46
16,17,13
16,3,52
16,13,81
16,20,59
16,2,104
16,34,2
16,14,37
1,8,6
1,26,103
1,30,66
1,33,5
1,28,188
1,17,42
1,3,187
1,13,166
1,20,87
1,32,2
1,2,298
1,34,2
1,14,102
7,8,41
7,10,597
7,9,1226
7,12,463
7,33,28
7,18,866
7,21,264
7,4,328
7,32,7
7,29,49
7,27,338
7,11,804
7,34,7
8,8,26
8,26,12
8,10,18
8,30,5
8,9,33
8,12,12
8,33,9
8,28,14
8,18,15
8,17,2
8,21,8
8,3,14
8,13,19
8,20,12
8,4,7
8,32,6
8,29,2
8,2,22
8,27,8
8,11,23
8,34,6
8,14,6
26,30,150
26,33,10
26,28,278
26,17,72
26,3,315
26,13,279
26,20,153
26,32,5
26,2,506
26,34,7
26,14,194
10,9,431
10,12,207
10,33,17
10,18,247
10,21,91
10,4,160
10,32,6
10,29,16
10,27,134
10,11,222
10,34,5
30,33,6
30,28,201
30,17,78
30,3,260
30,13,240
30,20,136
30,32,5
30,2,404
30,34,4
30,14,137
9,12,296
9,33,21
9,18,569
9,21,155
9,4,178
9,32,4
9,29,29
9,27,169
9,11,538
9,34,7
12,33,9
12,18,210
12,21,72
12,4,121
12,32,2
12,29,18
12,27,136
12,11,205
12,34,7
33,33,14
33,28,17
33,18,14
33,17,3
33,21,11
33,3,13
33,13,22
33,20,14
33,4,9
33,32,4
33,29,1
33,2,28
33,27,7
33,11,12
33,34,4
33,14,18
28,17,164
28,3,532
28,13,446
28,20,281
28,32,5
28,2,863
28,34,13
28,14,342
18,21,109
18,4,131
18,32,3
18,29,17
18,27,131
18,11,348
18,34,3
17,3,205
17,13,205
17,20,104
17,2,285
17,34,5
17,14,201
21,4,46
21,29,11
21,27,51
21,11,117
21,34,1
3,13,533
3,20,290
3,32,2
3,2,988
3,34,21
3,14,313
13,20,329
13,32,9
13,2,810
13,34,15
13,14,384
20,32,5
20,2,462
20,34,9
20,14,214
4,32,2
4,29,30
4,27,91
4,11,149
4,34,4
32,32,1
32,29,2
32,2,13
32,27,1
32,11,1
32,34,2
32,14,6
29,27,7
29,11,25
2,34,25
2,14,606
27,11,124
27,34,4
11,34,7
34,34,1
34,14,8
