Source,Target,Weight
31,25,148
31,15,89
31,19,2
31,0,195
31,16,13
31,1,54
31,8,6
31,26,86
31,30,83
31,33,6
31,28,146
31,17,52
31,3,164
31,13,164
31,20,99
31,32,2
31,2,281
31,34,8
31,14,108
6,5,200
6,23,146
6,19,6
6,24,186
6,22,238
6,7,348
6,8,11
6,10,163
6,9,203
6,12,139
6,33,9
6,18,175
6,21,80
6,4,110
6,32,1
6,29,24
6,27,78
6,11,156
6,34,4
25,15,170
25,19,3
25,0,426
25,16,42
25,1,131
25,8,16
25,26,230
25,30,170
25,33,15
25,28,325
25,17,127
25,3,386
25,13,408
25,20,226
25,32,2
25,2,566
25,34,6
25,14,281
5,23,132
5,19,2
5,24,189
5,22,201
5,7,325
5,8,9
5,10,159
5,9,182
5,12,123
5,33,8
5,18,132
5,21,76
5,4,86
5,32,4
5,29,17
5,27,81
5,11,102
5,34,2
23,19,3
23,24,133
23,22,173
23,7,237
23,8,6
23,10,96
23,9,142
23,12,86
23,33,5
23,18,111
23,21,46
23,4,75
23,32,3
23,29,16
23,27,58
23,11,109
23,34,3
15,19,1
15,0,200
15,16,33
15,1,58
15,8,4
15,26,91
15,30,90
15,33,7
15,28,165
15,17,82
15,3,182
15,13,182
15,20,153
15,32,2
15,2,297
15,34,2
15,14,138
19,24,1
19,0,1
19,22,5
19,1,1
19,7,5
19,26,1
19,10,2
19,30,4
19,9,3
19,33,4
19,28,4
19,18,3
19,3,2
19,13,7
19,20,3
19,4,1
19,29,1
19,2,5
19,27,1
19,11,2
19,14,3
24,22,228
24,7,315
24,8,7
24,10,120
24,9,194
24,12,128
24,33,7
24,18,142
24,21,71
24,4,87
24,32,2
24,29,21
24,27,74
24,11,116
24,34,1
0,16,46
0,1,161
0,8,17
0,26,242
0,30,167
0,33,15
0,28,360
0,17,148
0,3,428
0,13,419
0,20,265
0,32,3
0,2,679
0,34,6
0,14,323
22,7,462
22,8,11
22,10,156
22,9,264
22,12,134
22,33,7
22,18,196
22,21,97
22,4,109
22,29,20
22,27,82
22,11,160
22,34,6
16,1,17
16,8,3
16,26,23
16,30,23
16,33,1
16,28,44
16,17,16
16,3,51
16,13,64
16,20,41
16,2,62
16,34,2
16,14,39
1,8,5
1,26,70
1,30,67
1,33,7
1,28,128
1,17,37
1,3,149
1,13,114
1,20,95
1,32,2
1,2,215
1,34,2
1,14,98
7,8,19
7,10,216
7,9,385
7,12,204
7,33,9
7,18,299
7,21,145
7,4,160
7,32,4
7,29,30
7,27,130
7,11,239
7,34,5
8,8,7
8,26,9
8,10,7
8,30,4
8,9,8
8,12,3
8,33,3
8,28,9
8,18,6
8,17,3
8,21,2
8,3,15
8,13,10
8,20,12
8,4,4
8,29,3
8,2,24
8,27,6
8,11,6
8,34,3
8,14,11
26,30,111
26,33,10
26,28,216
26,17,79
26,3,216
26,13,225
26,20,160
26,32,2
26,2,346
26,34,3
26,14,165
10,9,148
10,12,99
10,33,5
10,18,87
10,21,47
10,4,82
10,32,3
10,29,21
10,27,47
10,11,95
10,34,4
30,33,6
30,28,171
30,17,75
30,3,175
30,13,212
30,20,133
30,32,6
30,2,295
30,34,1
30,14,117
9,12,114
9,33,6
9,18,175
9,21,71
9,4,88
9,32,4
9,29,22
9,27,75
9,11,117
9,34,2
12,33,6
12,18,102
12,21,40
12,4,72
12,32,1
12,29,13
12,27,68
12,11,73
12,34,3
33,33,2
33,28,21
33,18,7
33,17,5
33,21,3
33,3,17
33,13,21
33,20,13
33,4,5
33,2,20
33,27,1
33,11,5
33,14,9
28,17,130
28,3,326
28,13,383
28,20,266
28,32,5
28,2,575
28,34,9
28,14,283
18,21,67
18,4,67
18,32,1
18,29,12
18,27,64
18,11,122
18,34,3
17,3,159
17,13,169
17,20,106
17,32,2
17,2,241
17,34,2
17,14,185
21,4,27
21,29,5
21,27,22
21,11,54
3,13,395
3,20,218
3,32,4
3,2,636
3,34,5
3,14,246
13,20,310
13,32,3
13,2,628
13,34,14
13,14,336
20,32,4
20,2,392
20,34,4
20,14,196
4,32,1
4,29,15
4,27,40
4,11,61
4,34,2
32,2,9
32,27,1
32,11,1
32,14,2
29,27,8
29,11,15
2,2,1
2,34,17
2,14,470
27,11,62
27,34,1
11,34,2
34,14,7
14,14,1
