Source,Target,Weight
31,25,86
31,15,31
31,19,1
31,0,119
31,16,3
31,1,34
31,8,2
31,26,51
31,30,42
31,28,86
31,17,37
31,3,110
31,13,109
31,20,89
31,32,1
31,2,176
31,34,2
31,14,74
6,5,188
6,23,151
6,19,2
6,24,163
6,22,249
6,7,379
6,8,13
6,10,186
6,9,212
6,12,183
6,33,10
6,18,152
6,21,55
6,4,124
6,32,6
6,29,14
6,27,104
6,11,168
6,34,5
25,15,91
25,19,6
25,0,295
25,16,29
25,1,96
25,8,8
25,26,129
25,30,115
25,33,12
25,28,195
25,17,123
25,3,249
25,13,333
25,20,233
25,32,4
25,2,360
25,34,5
25,14,242
5,23,125
5,19,2
5,24,178
5,22,235
5,7,349
5,8,5
5,10,162
5,9,198
5,12,172
5,33,6
5,18,122
5,21,56
5,4,102
5,32,4
5,29,21
5,27,119
5,11,132
5,34,4
23,19,1
23,24,182
23,22,202
23,7,308
23,8,10
23,10,124
23,9,179
23,12,120
23,33,9
23,18,125
23,21,44
23,4,86
23,32,4
23,29,12
23,27,90
23,11,115
23,34,2
15,19,4
15,0,121
15,16,24
15,1,25
15,8,3
15,26,47
15,30,63
15,33,2
15,28,86
15,17,60
15,3,87
15,13,136
15,20,118
15,2,148
15,34,1
15,14,93
19,24,1
19,0,5
19,22,4
19,16,3
19,1,3
19,7,5
19,8,4
19,26,2
19,10,3
19,30,3
19,9,2
19,12,2
19,33,1
19,28,2
19,18,1
19,17,2
19,21,2
19,3,6
19,13,5
19,20,7
19,4,2
19,2,2
19,11,3
19,14,3
24,22,319
24,7,438
24,8,15
24,10,186
24,9,259
24,12,206
24,33,13
24,18,190
24,21,64
24,4,107
24,32,4
24,29,16
24,27,95
24,11,167
24,34,1
0,16,35
0,1,98
0,8,16
0,26,144
0,30,142
0,33,7
0,28,250
0,17,170
0,3,309
0,13,380
0,20,300
0,32,4
0,2,481
0,34,11
0,14,332
22,7,579
22,8,20
22,10,210
22,9,346
22,12,238
22,33,9
22,18,226
22,21,78
22,4,136
22,32,4
22,29,24
22,27,116
22,11,238
22,34,1
16,1,15
16,8,1
16,26,18
16,30,23
16,33,1
16,28,26
16,17,16
16,3,38
16,13,59
16,20,54
16,2,39
16,14,38
1,8,4
1,26,59
1,30,32
1,33,1
1,28,66
1,17,35
1,3,85
1,13,108
1,20,73
1,32,1
1,2,159
1,34,1
1,14,83
7,8,20
7,10,324
7,9,487
7,12,379
7,33,19
7,18,334
7,21,123
7,4,198
7,32,6
7,29,31
7,27,207
7,11,329
7,34,5
8,8,6
8,26,5
8,10,7
8,30,6
8,9,14
8,12,6
8,33,2
8,28,5
8,18,8
8,17,6
8,21,3
8,3,8
8,13,10
8,20,9
8,4,6
8,32,5
8,29,1
8,2,12
8,27,7
8,11,15
8,34,11
8,14,10
26,30,74
26,33,6
26,28,123
26,17,68
26,3,151
26,13,188
26,20,164
26,32,2
26,2,212
26,34,4
26,14,118
10,9,193
10,12,157
10,33,13
10,18,143
10,21,47
10,4,111
10,32,5
10,29,15
10,27,103
10,11,141
10,34,1
30,33,2
30,28,88
30,17,62
30,3,115
30,13,170
30,20,151
30,32,1
30,2,169
30,34,5
30,14,133
9,12,218
9,33,10
9,18,194
9,21,81
9,4,131
9,32,4
9,29,14
9,27,110
9,11,202
12,33,11
12,18,140
12,21,60
12,4,96
12,32,1
12,29,19
12,27,136
12,11,142
12,34,4
33,33,12
33,28,7
33,18,4
33,17,2
33,21,5
33,3,3
33,13,7
33,20,8
33,4,6
33,32,7
33,2,12
33,27,7
33,11,7
33,34,3
33,14,11
28,17,118
28,3,215
28,13,277
28,20,242
28,32,5
28,2,356
28,34,4
28,14,214
18,21,50
18,4,83
18,32,5
18,29,12
18,27,84
18,11,136
18,34,2
17,3,183
17,13,186
17,20,146
17,2,230
17,34,3
17,14,250
21,4,39
21,32,2
21,29,2
21,27,35
21,11,46
21,34,1
3,13,330
3,20,267
3,32,3
3,2,423
3,34,5
3,14,242
13,20,349
13,32,6
13,2,448
13,34,7
13,14,324
20,32,3
20,2,372
20,34,10
20,14,257
4,32,3
4,29,19
4,27,74
4,11,92
4,34,2
32,32,4
32,29,1
32,2,9
32,27,1
32,11,2
32,34,3
32,14,5
29,27,19
29,11,12
29,34,1
2,34,5
2,14,401
27,11,91
27,34,3
11,34,5
34,34,2
34,14,5
