Source,Target,Weight
31,31,1
31,25,195
31,15,71
31,19,2
31,0,272
31,16,19
31,1,72
31,8,10
31,26,103
31,30,81
31,33,9
31,28,203
31,17,91
31,3,280
31,13,192
31,20,114
31,2,400
31,34,1
31,14,174
6,5,304
6,23,233
6,19,6
6,24,399
6,22,446
6,7,687
6,8,21
6,10,311
6,9,394
6,12,240
6,33,17
6,18,342
6,21,102
6,4,155
6,32,6
6,29,30
6,27,159
6,11,326
6,34,3
25,15,164
25,19,4
25,0,556
25,16,50
25,1,154
25,8,17
25,26,243
25,30,174
25,33,11
25,28,411
25,17,245
25,3,580
25,13,467
25,20,225
25,32,5
25,2,773
25,34,7
25,14,412
5,23,179
5,19,9
5,24,317
5,22,382
5,7,568
5,8,16
5,10,213
5,9,331
5,12,212
5,33,13
5,18,273
5,21,85
5,4,118
5,32,1
5,29,19
5,27,130
5,11,240
5,34,3
23,19,5
23,24,316
23,22,357
23,7,523
23,8,12
23,10,177
23,9,291
23,12,150
23,33,10
23,18,247
23,21,57
23,4,105
23,32,3
23,29,15
23,27,116
23,11,249
23,34,5
15,0,166
15,16,36
15,1,61
15,8,7
15,26,79
15,30,74
15,33,7
15,28,138
15,17,98
15,3,200
15,13,190
15,20,100
15,32,3
15,2,265
15,34,1
15,14,171
19,24,7
19,0,3
19,22,10
19,1,1
19,7,15
19,8,6
19,26,5
19,10,4
19,30,6
19,9,7
19,12,8
19,33,4
19,28,2
19,18,7
19,17,2
19,21,4
19,3,7
19,13,7
19,20,3
19,4,2
19,32,1
19,29,2
19,2,6
19,27,4
19,11,10
19,14,2
24,22,652
24,7,954
24,8,27
24,10,318
24,9,532
24,12,293
24,33,13
24,18,488
24,21,139
24,4,160
24,32,3
24,29,26
24,27,176
24,11,366
24,34,2
0,16,56
0,1,187
0,8,20
0,26,259
0,30,235
0,33,15
0,28,505
0,17,279
0,3,718
0,13,563
0,20,269
0,32,5
0,2,936
0,34,17
0,14,497
22,22,2
22,7,1269
22,8,25
22,10,363
22,9,709
22,12,325
22,33,15
22,18,638
22,21,147
22,4,153
22,32,3
22,29,24
22,27,180
22,11,520
22,34,8
16,1,26
16,8,9
16,26,29
16,30,19
16,33,2
16,28,52
16,17,21
16,3,56
16,13,72
16,20,34
16,32,2
16,2,72
16,14,53
1,8,10
1,26,82
1,30,61
1,33,4
1,28,132
1,17,79
1,3,195
1,13,165
1,20,93
1,32,1
1,2,268
1,34,7
1,14,144
7,8,53
7,10,577
7,9,1038
7,12,533
7,33,20
7,18,918
7,21,233
7,4,284
7,32,5
7,29,45
7,27,332
7,11,742
7,34,9
8,8,58
8,26,8
8,10,18
8,30,9
8,9,25
8,12,17
8,33,21
8,28,15
8,18,16
8,17,6
8,21,11
8,3,19
8,13,22
8,20,16
8,4,9
8,32,1
8,2,36
8,27,11
8,11,19
8,34,6
8,14,11
26,30,112
26,33,8
26,28,217
26,17,114
26,3,304
26,13,272
26,20,138
26,32,3
26,2,418
26,34,5
26,14,224
10,9,342
10,12,216
10,33,12
10,18,310
10,21,86
10,4,128
10,32,1
10,29,19
10,27,134
10,11,249
10,34,4
30,33,4
30,28,166
30,17,99
30,3,229
30,13,230
30,20,116
30,32,2
30,2,313
30,34,4
30,14,168
9,12,280
9,33,10
9,18,520
9,21,124
9,4,141
9,32,4
9,29,23
9,27,167
9,11,443
9,34,5
12,33,10
12,18,268
12,21,62
12,4,115
12,32,4
12,29,16
12,27,163
12,11,191
33,33,1
33,28,16
33,18,10
33,17,6
33,21,3
33,3,15
33,13,18
33,20,9
33,4,6
33,29,2
33,2,27
33,27,5
33,11,18
33,34,3
33,14,17
28,17,208
28,3,542
28,13,449
28,20,253
28,32,3
28,2,763
28,34,11
28,14,377
18,18,1
18,21,103
18,4,148
18,32,4
18,29,17
18,27,171
18,11,351
18,34,2
17,3,376
17,13,261
17,20,136
17,32,5
17,2,402
17,14,355
21,4,44
21,29,9
21,27,45
21,11,84
21,34,1
3,13,526
3,20,265
3,32,6
3,2,1014
3,34,10
3,14,466
13,20,334
13,32,9
13,2,745
13,34,10
13,14,459
20,32,2
20,2,388
20,34,5
20,14,243
4,32,1
4,29,11
4,27,90
4,11,124
32,32,6
32,2,5
32,11,2
32,14,1
29,27,9
29,11,18
2,34,16
2,14,727
27,11,150
27,34,1
11,34,4
34,34,9
34,14,8
