Source,Target,Weight
31,25,158
31,15,98
31,0,201
31,16,29
31,1,43
31,8,8
31,26,87
31,30,55
31,33,4
31,28,144
31,17,52
31,3,221
31,13,89
31,20,235
31,32,2
31,2,294
31,34,3
31,14,126
6,5,515
6,23,345
6,19,5
6,24,508
6,22,638
6,7,902
6,8,31
6,10,357
6,9,558
6,12,330
6,33,19
6,18,483
6,21,187
6,4,235
6,32,13
6,29,76
6,27,212
6,11,473
6,34,7
25,15,288
25,19,6
25,0,546
25,16,86
25,1,154
25,8,19
25,26,188
25,30,148
25,33,15
25,28,355
25,17,182
25,3,514
25,13,281
25,20,605
25,32,6
25,2,710
25,34,9
25,14,323
5,23,270
5,19,11
5,24,491
5,22,601
5,7,780
5,8,16
5,10,307
5,9,456
5,12,352
5,33,14
5,18,459
5,21,179
5,4,194
5,32,3
5,29,67
5,27,163
5,11,356
5,34,3
23,19,3
23,24,365
23,22,430
23,7,608
23,8,18
23,10,199
23,9,312
23,12,212
23,33,12
23,18,329
23,21,111
23,4,146
23,32,3
23,29,36
23,27,119
23,11,257
23,34,5
15,19,3
15,0,333
15,16,49
15,1,94
15,8,8
15,26,152
15,30,111
15,33,13
15,28,240
15,17,136
15,3,379
15,13,193
15,20,477
15,32,2
15,2,495
15,34,2
15,14,241
19,24,5
19,0,13
19,22,10
19,16,1
19,1,1
19,7,13
19,8,8
19,26,3
19,10,1
19,30,4
19,9,1
19,12,3
19,33,4
19,28,9
19,18,5
19,17,1
19,21,1
19,3,6
19,13,5
19,20,6
19,4,3
19,29,1
19,2,12
19,27,4
19,11,5
19,34,2
19,14,7
24,22,696
24,7,926
24,8,32
24,10,306
24,9,530
24,12,331
24,33,18
24,18,527
24,21,165
24,4,190
24,32,5
24,29,63
24,27,163
24,11,357
24,34,4
0,16,77
0,1,164
0,8,14
0,26,238
0,30,187
0,33,26
0,28,491
0,17,179
0,3,687
0,13,294
0,20,723
0,32,5
0,2,945
0,34,13
0,14,447
22,7,1337
22,8,28
22,10,359
22,9,721
22,12,364
22,33,24
22,18,683
22,21,211
22,4,232
22,32,7
22,29,49
22,27,201
22,11,607
22,34,6
16,1,23
16,8,1
16,26,38
16,30,25
16,33,5
16,28,55
16,17,31
16,3,77
16,13,55
16,20,129
16,32,1
16,2,127
16,34,2
16,14,53
1,8,3
1,26,58
1,30,39
1,33,5
1,28,97
1,17,54
1,3,153
1,13,88
1,20,204
1,2,224
1,34,5
1,14,106
7,8,57
7,10,507
7,9,923
7,12,553
7,33,25
7,18,903
7,21,284
7,4,325
7,32,10
7,29,92
7,27,295
7,11,786
7,34,15
8,8,23
8,26,11
8,10,12
8,30,3
8,9,26
8,12,19
8,33,8
8,28,17
8,18,26
8,17,5
8,21,12
8,3,14
8,13,9
8,20,29
8,4,6
8,32,1
8,29,1
8,2,27
8,27,6
8,11,26
8,34,3
8,14,12
26,30,66
26,33,7
26,28,182
26,17,67
26,3,239
26,13,105
26,20,306
26,32,2
26,2,349
26,34,6
26,14,149
10,9,336
10,12,245
10,33,9
10,18,276
10,21,100
10,4,172
10,32,8
10,29,47
10,27,120
10,11,264
10,34,4
30,33,9
30,28,125
30,17,65
30,3,185
30,13,124
30,20,238
30,32,1
30,2,251
30,34,2
30,14,119
9,12,278
9,33,23
9,18,503
9,21,156
9,4,193
9,32,6
9,29,55
9,27,168
9,11,440
9,34,7
12,33,11
12,18,301
12,21,99
12,4,178
12,32,2
12,29,38
12,27,193
12,11,246
12,34,5
33,33,3
33,28,17
33,18,17
33,17,5
33,21,5
33,3,18
33,13,13
33,20,20
33,4,7
33,29,4
33,2,29
33,27,6
33,11,13
33,34,3
33,14,11
28,17,136
28,3,472
28,13,228
28,20,519
28,32,4
28,2,672
28,34,8
28,14,315
18,21,146
18,4,179
18,32,3
18,29,53
18,27,166
18,11,424
18,34,6
17,3,256
17,13,114
17,20,245
17,32,2
17,2,283
17,34,2
17,14,266
21,4,73
21,32,5
21,29,16
21,27,54
21,11,137
21,34,6
3,3,1
3,13,318
3,20,708
3,32,5
3,2,967
3,34,8
3,14,408
13,20,385
13,32,1
13,2,375
13,34,7
13,14,246
20,20,1
20,32,6
20,2,975
20,34,13
20,14,538
4,32,7
4,29,27
4,27,107
4,11,187
4,34,3
32,29,1
32,2,5
32,27,1
32,11,5
32,14,2
29,27,28
29,11,38
29,34,1
2,2,1
2,34,17
2,14,596
27,11,137
27,34,1
11,34,7
34,34,1
34,14,9
