Source,Target,Weight
31,25,222
31,15,165
31,19,3
31,0,350
31,16,36
31,1,80
31,8,10
31,26,118
31,30,71
31,33,8
31,28,210
31,17,77
31,3,297
31,13,127
31,20,500
31,32,4
31,2,480
31,34,7
31,14,165
6,5,707
6,23,320
6,19,10
6,24,488
6,22,689
6,7,983
6,8,31
6,10,456
6,9,584
6,12,396
6,33,26
6,18,561
6,21,191
6,4,296
6,32,13
6,29,75
6,27,228
6,11,510
6,34,11
25,15,387
25,19,5
25,0,795
25,16,91
25,1,207
25,8,23
25,26,305
25,30,235
25,33,23
25,28,480
25,17,245
25,3,701
25,13,349
25,20,1194
25,32,13
25,2,1061
25,34,16
25,14,502
5,23,425
5,19,10
5,24,828
5,22,1019
5,7,1432
5,8,56
5,10,522
5,9,756
5,12,554
5,33,34
5,18,914
5,21,267
5,4,326
5,32,9
5,29,75
5,27,349
5,11,613
5,34,11
23,19,7
23,24,376
23,22,497
23,7,706
23,8,23
23,10,231
23,9,332
23,12,247
23,33,10
23,18,387
23,21,115
23,4,164
23,32,5
23,29,35
23,27,140
23,11,297
23,34,11
15,19,4
15,0,578
15,16,117
15,1,117
15,8,14
15,26,243
15,30,169
15,33,10
15,28,373
15,17,190
15,3,549
15,13,238
15,20,1025
15,32,12
15,2,794
15,34,10
15,14,391
19,24,5
19,0,5
19,22,8
19,16,1
19,7,11
19,26,3
19,10,5
19,30,2
19,9,8
19,12,6
19,33,2
19,28,7
19,18,10
19,17,3
19,21,3
19,3,9
19,13,6
19,20,12
19,4,3
19,32,3
19,29,3
19,2,8
19,27,3
19,11,5
19,14,7
24,22,887
24,7,1198
24,8,44
24,10,401
24,9,621
24,12,425
24,33,14
24,18,704
24,21,189
24,4,251
24,32,5
24,29,64
24,27,260
24,11,474
24,34,7
0,16,129
0,1,250
0,8,29
0,26,374
0,30,266
0,33,21
0,28,699
0,17,300
0,3,1018
0,13,401
0,20,1662
0,32,13
0,2,1521
0,34,14
0,14,706
22,7,1723
22,8,69
22,10,450
22,9,910
22,12,490
22,33,34
22,18,978
22,21,241
22,4,302
22,32,9
22,29,52
22,27,278
22,11,749
22,34,10
16,1,36
16,8,4
16,26,53
16,30,37
16,33,2
16,28,74
16,17,47
16,3,99
16,13,97
16,20,248
16,32,2
16,2,160
16,34,1
16,14,88
1,8,6
1,26,99
1,30,72
1,33,4
1,28,185
1,17,75
1,3,234
1,13,110
1,20,422
1,32,3
1,2,401
1,34,4
1,14,155
7,8,92
7,10,728
7,9,1210
7,12,707
7,33,44
7,18,1355
7,21,333
7,4,458
7,32,13
7,29,92
7,27,465
7,11,1005
7,34,21
8,8,17
8,26,17
8,10,27
8,30,6
8,9,37
8,12,27
8,33,6
8,28,25
8,18,58
8,17,6
8,21,11
8,3,26
8,13,15
8,20,58
8,4,25
8,32,7
8,29,2
8,2,39
8,27,15
8,11,37
8,34,7
8,14,15
26,30,125
26,33,5
26,28,243
26,17,105
26,3,330
26,13,192
26,20,614
26,32,6
26,2,491
26,34,4
26,14,245
10,9,454
10,12,317
10,33,19
10,18,429
10,21,135
10,4,245
10,32,5
10,29,36
10,27,176
10,11,324
10,34,8
30,33,4
30,28,152
30,17,74
30,3,240
30,13,137
30,20,463
30,32,1
30,2,381
30,34,9
30,14,176
9,9,1
9,12,366
9,33,31
9,18,723
9,21,208
9,4,240
9,32,10
9,29,55
9,27,212
9,11,570
9,34,13
12,33,23
12,18,469
12,21,155
12,4,237
12,32,4
12,29,42
12,27,233
12,11,320
12,34,8
33,33,2
33,28,16
33,18,28
33,17,8
33,21,14
33,3,14
33,13,19
33,20,35
33,4,12
33,32,1
33,29,2
33,2,31
33,27,7
33,11,19
33,34,6
33,14,13
28,17,206
28,3,632
28,13,285
28,20,1123
28,32,12
28,2,1052
28,34,14
28,14,454
18,18,1
18,21,228
18,4,277
18,32,12
18,29,63
18,27,279
18,11,575
18,34,15
17,3,369
17,13,139
17,20,536
17,32,3
17,2,493
17,34,4
17,14,394
21,4,81
21,32,2
21,29,14
21,27,91
21,11,157
21,34,8
3,13,345
3,20,1475
3,32,10
3,2,1419
3,34,18
3,14,585
13,20,719
13,32,9
13,2,530
13,34,6
13,14,299
20,32,28
20,2,2222
20,34,31
20,14,1067
4,32,5
4,29,39
4,27,146
4,11,226
4,34,8
32,32,2
32,2,23
32,27,6
32,11,17
32,14,10
29,27,35
29,11,45
29,34,1
2,34,27
2,14,944
27,11,188
11,34,15
34,34,1
34,14,14
