Source,Target,Weight
31,25,95
31,15,40
31,0,129
31,16,19
31,1,28
31,8,2
31,26,44
31,30,35
31,33,1
31,28,107
31,17,28
31,3,101
31,13,124
31,20,40
31,32,1
31,2,158
31,34,4
31,14,86
6,5,151
6,23,139
6,19,5
6,24,166
6,22,224
6,7,340
6,8,14
6,10,195
6,9,216
6,12,157
6,33,15
6,18,204
6,21,74
6,4,133
6,32,5
6,29,17
6,27,99
6,11,188
6,34,7
25,15,90
25,19,3
25,0,279
25,16,36
25,1,86
25,8,9
25,26,130
25,30,103
25,33,7
25,28,220
25,17,97
25,3,274
25,13,297
25,20,103
25,32,2
25,2,370
25,34,5
25,14,179
5,23,91
5,19,3
5,24,113
5,22,135
5,7,221
5,8,10
5,10,123
5,9,137
5,12,98
5,33,9
5,18,107
5,21,55
5,4,73
5,32,3
5,29,10
5,27,75
5,11,110
23,19,1
23,24,109
23,22,125
23,7,196
23,8,14
23,10,98
23,9,89
23,12,100
23,33,10
23,18,90
23,21,37
23,4,73
23,32,2
23,29,13
23,27,66
23,11,103
23,34,2
15,19,2
15,0,91
15,16,33
15,1,21
15,8,8
15,26,51
15,30,42
15,33,2
15,28,81
15,17,41
15,3,79
15,13,139
15,20,45
15,32,3
15,2,125
15,34,3
15,14,73
19,19,3
19,24,1
19,0,6
19,22,3
19,16,2
19,1,2
19,7,8
19,8,5
19,26,1
19,10,3
19,9,3
19,12,3
19,33,3
19,28,2
19,18,3
19,21,1
19,3,6
19,13,9
19,20,3
19,4,3
19,32,3
19,29,1
19,2,7
19,11,5
19,14,6
24,22,164
24,7,262
24,8,16
24,10,134
24,9,151
24,12,127
24,33,14
24,18,126
24,21,52
24,4,97
24,32,3
24,29,17
24,27,68
24,11,120
24,34,4
0,16,46
0,1,97
0,8,10
0,26,120
0,30,117
0,33,11
0,28,267
0,17,137
0,3,305
0,13,348
0,20,127
0,32,7
0,2,482
0,34,7
0,14,241
22,7,379
22,8,15
22,10,171
22,9,238
22,12,137
22,33,8
22,18,184
22,21,55
22,4,100
22,32,2
22,29,9
22,27,81
22,11,208
22,34,3
16,1,14
16,8,4
16,26,19
16,30,17
16,33,1
16,28,41
16,17,17
16,3,42
16,13,80
16,20,35
16,32,1
16,2,60
16,34,1
16,14,41
1,8,4
1,26,41
1,30,30
1,33,2
1,28,67
1,17,28
1,3,67
1,13,96
1,20,40
1,32,1
1,2,129
1,34,2
1,14,56
7,8,19
7,10,289
7,9,339
7,12,222
7,33,14
7,18,270
7,21,100
7,4,174
7,32,7
7,29,22
7,27,126
7,11,285
7,34,5
8,8,24
8,26,6
8,10,12
8,30,10
8,9,12
8,12,9
8,33,8
8,28,8
8,18,11
8,17,2
8,21,5
8,3,11
8,13,12
8,20,9
8,4,10
8,32,4
8,29,2
8,2,12
8,27,8
8,11,17
8,34,11
8,14,2
26,30,67
26,33,4
26,28,107
26,17,63
26,3,123
26,13,151
26,20,67
26,32,3
26,2,162
26,34,3
26,14,96
10,9,186
10,12,138
10,33,10
10,18,143
10,21,51
10,4,117
10,32,2
10,29,13
10,27,76
10,11,150
30,33,4
30,28,99
30,17,31
30,3,99
30,13,144
30,20,60
30,32,3
30,2,141
30,34,2
30,14,70
9,12,122
9,33,11
9,18,159
9,21,61
9,4,105
9,32,2
9,29,11
9,27,75
9,11,191
9,34,3
12,33,10
12,18,103
12,21,35
12,4,94
12,32,2
12,29,18
12,27,88
12,11,104
12,34,2
33,33,2
33,28,5
33,18,15
33,17,1
33,21,3
33,3,8
33,13,8
33,20,5
33,4,6
33,29,2
33,2,10
33,27,8
33,11,12
33,34,1
33,14,3
28,17,89
28,3,242
28,13,274
28,20,106
28,32,3
28,2,371
28,34,7
28,14,158
18,21,45
18,4,86
18,32,3
18,29,14
18,27,65
18,11,147
18,34,3
17,3,140
17,13,148
17,20,49
17,32,2
17,2,164
17,34,1
17,14,136
21,4,39
21,29,6
21,27,34
21,11,52
21,34,2
3,13,295
3,20,107
3,32,3
3,2,395
3,34,7
3,14,182
13,20,168
13,32,8
13,2,441
13,34,8
13,14,261
20,32,1
20,2,173
20,34,5
20,14,96
4,32,1
4,29,16
4,27,67
4,11,90
4,34,4
32,2,5
32,27,2
32,11,1
32,34,2
32,14,4
29,27,11
29,11,13
2,34,8
2,14,303
27,11,72
27,34,4
11,34,2
34,14,2
