Source,Target,Weight
31,25,272
31,15,84
31,19,6
31,0,449
31,16,36
31,1,110
31,8,13
31,26,161
31,30,110
31,33,7
31,28,304
31,17,111
31,3,394
31,13,263
31,20,124
31,32,3
31,2,583
31,34,8
31,14,256
6,5,421
6,23,358
6,19,15
6,24,510
6,22,818
6,7,1116
6,8,36
6,10,537
6,9,732
6,12,391
6,33,21
6,18,531
6,21,185
6,4,266
6,32,7
6,29,42
6,27,199
6,11,564
6,34,12
25,15,229
25,19,5
25,0,923
25,16,90
25,1,226
25,8,23
25,26,355
25,30,265
25,33,24
25,28,660
25,17,285
25,3,824
25,13,637
25,20,215
25,32,5
25,2,1244
25,34,14
25,14,602
5,23,237
5,19,10
5,24,498
5,22,677
5,7,894
5,8,35
5,10,383
5,9,530
5,12,286
5,33,19
5,18,424
5,21,153
5,4,150
5,32,3
5,29,23
5,27,167
5,11,414
5,34,5
23,19,8
23,24,399
23,22,507
23,7,688
23,8,19
23,10,289
23,9,423
23,12,228
23,33,11
23,18,330
23,21,85
23,4,140
23,32,4
23,29,24
23,27,126
23,11,321
23,34,9
15,19,5
15,0,324
15,16,62
15,1,78
15,8,13
15,26,122
15,30,106
15,33,8
15,28,229
15,17,117
15,3,273
15,13,259
15,20,100
15,32,3
15,2,425
15,34,5
15,14,248
19,19,2
19,24,6
19,0,17
19,22,11
19,16,1
19,1,3
19,7,16
19,8,4
19,26,4
19,10,8
19,30,3
19,9,15
19,12,7
19,33,5
19,28,13
19,18,7
19,17,4
19,21,2
19,3,13
19,13,13
19,20,6
19,4,6
19,32,1
19,2,14
19,27,2
19,11,6
19,34,8
19,14,11
24,22,1152
24,7,1410
24,8,31
24,10,548
24,9,850
24,12,407
24,33,21
24,18,651
24,21,197
24,4,220
24,32,2
24,29,32
24,27,188
24,11,599
24,34,8
0,0,1
0,16,103
0,1,340
0,8,38
0,26,459
0,30,353
0,33,26
0,28,994
0,17,369
0,3,1185
0,13,714
0,20,365
0,32,10
0,2,1812
0,34,22
0,14,898
22,7,2129
22,8,66
22,10,716
22,9,1337
22,12,507
22,33,32
22,18,1025
22,21,259
22,4,283
22,32,8
22,29,38
22,27,261
22,11,992
22,34,7
16,1,32
16,8,3
16,26,48
16,30,36
16,33,5
16,28,96
16,17,32
16,3,101
16,13,111
16,20,53
16,32,3
16,2,172
16,34,4
16,14,95
1,8,6
1,26,118
1,30,81
1,33,7
1,28,273
1,17,111
1,3,277
1,13,203
1,20,88
1,32,5
1,2,525
1,34,5
1,14,233
7,8,87
7,10,972
7,9,1670
7,12,737
7,33,44
7,18,1275
7,21,352
7,4,446
7,32,8
7,29,52
7,27,381
7,11,1244
7,34,7
8,8,22
8,26,17
8,10,26
8,30,12
8,9,50
8,12,22
8,33,10
8,28,38
8,18,41
8,17,10
8,21,15
8,3,40
8,13,21
8,20,21
8,4,16
8,32,2
8,29,4
8,2,63
8,27,17
8,11,33
8,34,7
8,14,16
26,30,160
26,33,11
26,28,327
26,17,155
26,3,443
26,13,312
26,20,144
26,32,7
26,2,692
26,34,8
26,14,361
10,9,649
10,12,390
10,33,22
10,18,469
10,21,153
10,4,253
10,32,8
10,29,30
10,27,204
10,11,430
10,34,9
30,33,6
30,28,232
30,17,153
30,3,331
30,13,289
30,20,134
30,32,6
30,2,527
30,34,6
30,14,284
9,12,413
9,33,29
9,18,764
9,21,229
9,4,249
9,32,3
9,29,28
9,27,208
9,11,803
9,34,14
12,33,14
12,18,364
12,21,114
12,4,179
12,32,1
12,29,21
12,27,189
12,11,321
12,34,6
33,33,1
33,28,19
33,18,30
33,17,7
33,21,8
33,3,24
33,13,24
33,20,16
33,4,17
33,32,1
33,29,2
33,2,38
33,27,10
33,11,29
33,34,10
33,14,15
28,17,280
28,3,841
28,13,565
28,20,285
28,32,10
28,2,1371
28,34,17
28,14,652
18,21,153
18,4,230
18,32,4
18,29,21
18,27,165
18,11,541
18,34,9
17,3,398
17,13,281
17,20,119
17,32,2
17,2,589
17,34,3
17,14,513
21,4,71
21,32,1
21,29,16
21,27,57
21,11,158
21,34,3
3,13,619
3,20,298
3,32,7
3,2,1549
3,34,17
3,14,675
13,20,318
13,32,13
13,2,996
13,34,22
13,14,560
20,32,8
20,2,476
20,34,8
20,14,243
4,32,4
4,29,19
4,27,111
4,11,234
4,34,10
32,32,1
32,29,2
32,2,14
32,27,4
32,11,5
32,34,3
32,14,9
29,27,10
29,11,26
2,34,24
2,14,1267
27,11,182
27,34,6
11,34,7
34,34,13
34,14,16
