Source,Target,Weight
31,25,123
31,15,52
31,19,1
31,0,128
31,16,19
31,1,34
31,8,5
31,26,60
31,30,48
31,33,5
31,28,112
31,17,36
31,3,128
31,13,80
31,20,48
31,32,2
31,2,188
31,34,3
31,14,93
6,5,257
6,23,176
6,19,13
6,24,250
6,22,293
6,7,454
6,8,19
6,10,249
6,9,256
6,12,171
6,33,6
6,18,216
6,21,92
6,4,150
6,32,4
6,29,23
6,27,103
6,11,211
6,34,3
25,15,130
25,19,7
25,0,359
25,16,47
25,1,108
25,8,12
25,26,167
25,30,112
25,33,11
25,28,298
25,17,139
25,3,309
25,13,223
25,20,100
25,32,7
25,2,470
25,34,9
25,14,324
5,23,112
5,19,3
5,24,177
5,22,199
5,7,293
5,8,11
5,10,152
5,9,163
5,12,123
5,33,4
5,18,151
5,21,57
5,4,90
5,32,4
5,29,14
5,27,66
5,11,113
5,34,1
23,19,5
23,24,129
23,22,146
23,7,206
23,8,8
23,10,113
23,9,116
23,12,83
23,33,2
23,18,107
23,21,41
23,4,88
23,32,4
23,29,12
23,27,65
23,11,91
23,34,3
15,19,2
15,0,167
15,16,34
15,1,57
15,8,3
15,26,71
15,30,57
15,33,3
15,28,127
15,17,92
15,3,157
15,13,135
15,20,59
15,32,1
15,2,207
15,34,5
15,14,156
19,24,3
19,0,6
19,22,4
19,16,1
19,7,10
19,8,1
19,26,2
19,10,4
19,9,4
19,12,2
19,28,4
19,18,5
19,17,2
19,21,3
19,3,6
19,13,6
19,20,3
19,4,3
19,29,3
19,2,7
19,27,3
19,11,7
19,14,3
24,22,258
24,7,320
24,8,12
24,10,147
24,9,179
24,12,128
24,33,2
24,18,164
24,21,59
24,4,88
24,32,4
24,29,12
24,27,72
24,11,142
24,34,2
0,16,50
0,1,120
0,8,13
0,26,167
0,30,126
0,33,11
0,28,348
0,17,192
0,3,385
0,13,252
0,20,109
0,32,5
0,2,582
0,34,8
0,14,360
22,7,423
22,8,22
22,10,171
22,9,238
22,12,139
22,33,8
22,18,199
22,21,70
22,4,120
22,32,2
22,29,15
22,27,77
22,11,192
22,34,3
16,1,14
16,8,4
16,26,36
16,30,18
16,33,4
16,28,49
16,17,27
16,3,37
16,13,61
16,20,25
16,32,3
16,2,70
16,14,57
1,8,5
1,26,59
1,30,38
1,33,4
1,28,77
1,17,54
1,3,102
1,13,88
1,20,40
1,32,1
1,2,176
1,34,5
1,14,107
7,8,23
7,10,273
7,9,352
7,12,216
7,33,8
7,18,307
7,21,111
7,4,149
7,32,9
7,29,17
7,27,132
7,11,269
7,34,5
8,8,9
8,26,5
8,10,12
8,30,2
8,9,9
8,12,19
8,33,2
8,28,12
8,18,19
8,17,6
8,21,3
8,3,12
8,13,12
8,20,6
8,4,6
8,32,4
8,29,3
8,2,23
8,27,3
8,11,5
8,14,9
26,30,64
26,33,4
26,28,151
26,17,59
26,3,146
26,13,140
26,20,78
26,32,3
26,2,255
26,34,4
26,14,161
10,9,157
10,12,90
10,33,2
10,18,130
10,21,56
10,4,97
10,32,6
10,29,16
10,27,75
10,11,128
10,34,1
30,33,3
30,28,114
30,17,45
30,3,106
30,13,88
30,20,45
30,2,166
30,34,3
30,14,112
9,12,108
9,33,7
9,18,182
9,21,50
9,4,102
9,32,3
9,29,10
9,27,61
9,11,153
9,34,3
12,33,3
12,18,116
12,21,40
12,4,76
12,32,2
12,29,13
12,27,69
12,11,106
12,34,2
33,28,11
33,18,7
33,17,4
33,21,3
33,3,11
33,13,10
33,20,3
33,4,3
33,32,1
33,29,2
33,2,14
33,27,1
33,11,4
33,34,2
33,14,6
28,17,139
28,3,304
28,13,205
28,20,100
28,32,6
28,2,471
28,34,12
28,14,287
18,21,57
18,4,73
18,32,3
18,29,16
18,27,63
18,11,135
18,34,1
17,3,181
17,13,137
17,20,59
17,32,4
17,2,269
17,34,1
17,14,272
21,4,27
21,32,1
21,29,3
21,27,24
21,11,38
21,34,1
3,13,222
3,20,104
3,32,3
3,2,520
3,34,11
3,14,257
13,20,102
13,32,4
13,2,331
13,34,7
13,14,239
20,32,5
20,2,186
20,34,3
20,14,110
4,32,1
4,29,8
4,27,52
4,11,72
4,34,2
32,2,11
32,27,3
32,11,3
32,14,7
29,27,11
29,11,13
2,34,12
2,14,493
27,11,61
27,34,2
11,34,2
34,14,6
