Source,Target,Weight
31,25,119
31,15,50
31,19,2
31,0,128
31,16,15
31,1,46
31,8,5
31,26,69
31,30,52
31,33,8
31,28,115
31,17,51
31,3,122
31,13,96
31,20,52
31,32,4
31,2,165
31,34,3
31,14,88
6,5,231
6,23,178
6,19,2
6,24,206
6,22,255
6,7,390
6,8,32
6,10,257
6,9,231
6,12,209
6,33,11
6,18,205
6,21,78
6,4,159
6,32,6
6,29,25
6,27,129
6,11,226
6,34,8
25,15,133
25,19,9
25,0,391
25,16,53
25,1,146
25,8,11
25,26,200
25,30,146
25,33,13
25,28,306
25,17,143
25,3,333
25,13,316
25,20,139
25,32,8
25,2,486
25,34,6
25,14,295
5,23,111
5,19,4
5,24,143
5,22,177
5,7,255
5,8,16
5,10,178
5,9,155
5,12,134
5,33,7
5,18,131
5,21,65
5,4,101
5,32,4
5,29,10
5,27,82
5,11,137
5,34,4
23,19,2
23,24,170
23,22,147
23,7,228
23,8,13
23,10,128
23,9,132
23,12,95
23,33,9
23,18,123
23,21,43
23,4,103
23,32,4
23,29,19
23,27,62
23,11,127
23,34,1
15,19,2
15,0,153
15,16,29
15,1,43
15,8,2
15,26,63
15,30,45
15,33,6
15,28,134
15,17,69
15,3,123
15,13,146
15,20,78
15,2,186
15,34,2
15,14,127
19,24,1
19,0,13
19,22,1
19,16,2
19,1,6
19,7,6
19,26,6
19,10,3
19,30,6
19,9,1
19,12,1
19,33,1
19,28,3
19,18,3
19,17,5
19,21,1
19,3,11
19,13,11
19,20,1
19,4,3
19,2,9
19,27,3
19,11,4
19,14,12
24,22,201
24,7,302
24,8,12
24,10,172
24,9,176
24,12,131
24,33,7
24,18,143
24,21,54
24,4,102
24,32,2
24,29,19
24,27,81
24,11,132
24,34,2
0,16,42
0,1,133
0,8,12
0,26,186
0,30,143
0,33,18
0,28,350
0,17,158
0,3,373
0,13,339
0,20,140
0,32,10
0,2,567
0,34,5
0,14,321
22,7,350
22,8,10
22,10,184
22,9,191
22,12,142
22,33,3
22,18,184
22,21,55
22,4,89
22,32,2
22,29,24
22,27,95
22,11,186
22,34,1
16,1,18
16,8,3
16,26,26
16,30,25
16,33,2
16,28,42
16,17,16
16,3,43
16,13,53
16,20,33
16,2,60
16,14,44
1,8,4
1,26,60
1,30,39
1,33,3
1,28,112
1,17,45
1,3,106
1,13,99
1,20,51
1,32,4
1,2,171
1,34,1
1,14,91
7,8,25
7,10,286
7,9,292
7,12,248
7,33,7
7,18,247
7,21,84
7,4,182
7,32,5
7,29,40
7,27,159
7,11,277
7,34,5
8,8,4
8,26,10
8,10,11
8,30,7
8,9,12
8,12,17
8,33,8
8,28,16
8,18,11
8,17,4
8,21,7
8,3,13
8,13,14
8,20,6
8,4,11
8,29,2
8,2,17
8,27,10
8,11,18
8,34,7
8,14,9
26,30,76
26,33,9
26,28,158
26,17,66
26,3,162
26,13,174
26,20,90
26,32,2
26,2,248
26,34,5
26,14,145
10,9,186
10,12,148
10,33,4
10,18,149
10,21,62
10,4,118
10,32,2
10,29,12
10,27,104
10,11,152
10,34,7
30,33,4
30,28,101
30,17,48
30,3,121
30,13,143
30,20,56
30,32,4
30,2,182
30,34,4
30,14,118
9,12,141
9,33,5
9,18,137
9,21,50
9,4,110
9,32,3
9,29,14
9,27,86
9,11,161
9,34,4
12,33,7
12,18,133
12,21,47
12,4,103
12,32,1
12,29,27
12,27,93
12,11,129
12,34,7
33,33,3
33,28,19
33,18,8
33,17,3
33,21,1
33,3,9
33,13,14
33,20,9
33,4,8
33,32,3
33,29,2
33,2,21
33,27,3
33,11,9
33,34,5
33,14,12
28,17,143
28,3,296
28,13,276
28,20,122
28,32,8
28,2,436
28,34,6
28,14,250
18,21,47
18,4,99
18,29,14
18,27,74
18,11,129
18,34,4
17,3,171
17,13,128
17,20,62
17,32,4
17,2,211
17,34,3
17,14,202
21,4,34
21,32,2
21,29,5
21,27,28
21,11,51
21,34,1
3,13,257
3,20,121
3,32,3
3,2,458
3,34,4
3,14,238
13,20,175
13,32,8
13,2,372
13,34,6
13,14,287
20,32,1
20,2,205
20,34,2
20,14,125
4,32,1
4,29,13
4,27,66
4,11,96
4,34,2
32,2,9
32,27,1
32,11,3
32,14,7
29,27,13
29,11,18
29,34,1
2,34,9
2,14,394
27,11,84
27,34,1
11,34,2
34,34,4
34,14,4
