Id,Label
0,GIGN-TWITCH
1,GSG9-IQ
2,SWAT-ASH
3,SAT-HIBANA
4,SPETSNAZ-KAPKAN
5,G.E.O.-MIRA
6,BOPE-CAVEIRA
7,GSG9-JAGER
8,GSG9-RESERVE
9,NAVYSEAL-VALKYRIE
10,JTF2-FROST
11,SWAT-PULSE
12,SAS-MUTE
13,SPETSNAZ-FUZE
14,SWAT-THERMITE
15,GIGN-MONTAGNE
16,GSG9-BLITZ
17,SAS-THATCHER
18,SAS-SMOKE
19,GIGN-RESERVE
20,SPETSNAZ-GLAZ
21,SAT-ECHO
22,GSG9-BANDIT
23,GIGN-DOC
24,GIGN-ROOK
25,G.E.O.-JACKAL
26,JTF2-BUCK
27,SWAT-CASTLE
28,SAS-SLEDGE
29,SPETSNAZ-TACHANKA
30,NAVYSEAL-BLACKBEARD
31,BOPE-CAPITAO
32,SPETSNAZ-RESERVE
33,SAS-RESERVE
34,SWAT-RESERVE
